Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-11-14,15,953986.00,104938460.00,110.00,110.00,110.00
2014-03-20,2,8890.00,960120.00,108.00,108.00,108.00
2014-03-23,1,6944.00,749952.00,108.00,108.00,108.00
2014-04-30,1,10000.00,1100000.00,110.00,110.00,110.00
2014-05-19,1,3000.00,330000.00,110.00,110.00,110.00
2014-05-26,2,7833.00,861630.00,110.00,110.00,110.00
2014-06-25,5,150000.00,16500000.00,110.00,110.00,110.00
2014-07-06,1,100000.00,11000000.00,110.00,110.00,110.00
2014-08-25,5,62000.00,6430000.00,108.00,102.00,102.00
2014-10-12,2,30750.00,3227000.00,105.00,104.00,105.00
2014-10-19,4,55556.00,6222096.00,112.00,107.00,112.00
2014-12-01,1,7980.00,893760.00,112.00,112.00,112.00
2014-12-07,5,60000.00,6300000.00,110.00,104.00,104.00
2014-12-08,1,25000.00,2600000.00,104.00,104.00,104.00
2015-02-11,2,90000.00,9360000.00,104.00,104.00,104.00
