Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-20,4,370.00,67640.00,185.00,182.00,182.00
2010-04-21,1,63.00,11277.00,179.00,179.00,179.00
2010-04-22,1,100.00,18200.00,182.00,182.00,182.00
2010-04-26,1,513.00,92340.00,180.00,180.00,180.00
2010-04-27,3,300.00,55200.00,186.00,183.00,183.00
2010-04-28,1,100.00,18600.00,186.00,186.00,186.00
2010-04-29,12,1050.00,182150.00,183.00,168.00,175.00
2010-05-10,2,613.00,108814.00,178.00,175.00,178.00
2010-05-12,15,952.00,182428.00,195.00,181.00,195.00
2010-05-13,8,1288.00,263469.00,205.00,198.00,205.00
2010-05-16,3,206.00,40709.00,201.00,194.00,194.00
2010-05-18,1,11.00,2101.00,191.00,191.00,191.00
2010-05-19,4,744.00,142878.00,195.00,191.00,191.00
2010-05-20,1,1000.00,192000.00,192.00,192.00,192.00
2010-05-23,1,11.00,2145.00,195.00,195.00,195.00
2010-05-24,24,1070.00,200390.00,198.00,176.00,176.00
2010-05-25,11,1571.00,298617.00,193.00,179.00,193.00
2010-05-26,24,3851.00,763034.00,209.00,193.00,196.00
2010-05-30,3,690.00,140710.00,206.00,199.00,206.00
2010-05-31,18,3259.00,697861.00,222.00,205.00,205.00
2010-06-01,8,1254.00,242363.00,201.00,188.00,191.00
2010-06-02,5,1607.00,305630.00,193.00,190.00,193.00
2010-06-03,2,332.00,65072.00,196.00,196.00,196.00
2010-06-06,4,417.00,82032.00,199.00,196.00,196.00
2010-06-07,1,500.00,97500.00,195.00,195.00,195.00
2010-06-08,10,1776.00,346270.00,200.00,192.00,196.00
2010-06-09,5,2839.00,540010.00,193.00,190.00,190.00
2010-06-10,5,2035.00,386880.00,193.00,190.00,191.00
2010-06-13,1,20.00,3820.00,191.00,191.00,191.00
2010-06-15,3,308.00,58520.00,190.00,190.00,190.00
2010-06-17,9,1622.00,306138.00,190.00,187.00,190.00
2010-06-20,2,70.00,13300.00,190.00,190.00,190.00
2010-06-21,1,100.00,19000.00,190.00,190.00,190.00
2010-06-22,1,100.00,19000.00,190.00,190.00,190.00
2010-06-23,2,200.00,37400.00,187.00,187.00,187.00
2010-07-04,3,411.00,74874.00,184.00,181.00,181.00
2010-07-05,6,976.00,172952.00,180.00,175.00,175.00
2010-07-06,6,800.00,137900.00,175.00,171.00,173.00
2010-07-08,11,2561.00,445384.00,178.00,170.00,178.00
2010-07-18,2,529.00,94462.00,181.00,178.00,178.00
2010-07-19,3,350.00,63800.00,185.00,180.00,185.00
2010-07-20,2,130.00,24500.00,190.00,188.00,190.00
2010-07-21,3,400.00,74000.00,187.00,184.00,184.00
2010-07-22,2,384.00,70656.00,184.00,184.00,184.00
2010-07-26,1,100.00,18300.00,183.00,183.00,183.00
2010-07-27,2,150.00,27150.00,181.00,181.00,181.00
2010-07-28,2,170.00,30970.00,183.00,181.00,183.00
2010-07-29,1,200.00,36000.00,180.00,180.00,180.00
2010-08-03,3,250.00,44400.00,180.00,177.00,177.00
2010-08-04,4,744.00,127942.00,174.00,170.00,170.00
2010-08-05,10,2865.00,476969.00,168.00,165.00,165.00
2010-08-09,1,30.00,5040.00,168.00,168.00,168.00
2010-08-10,1,30.00,5130.00,171.00,171.00,171.00
2010-08-11,1,100.00,17400.00,174.00,174.00,174.00
2010-08-12,3,242.00,43134.00,180.00,177.00,177.00
2010-08-15,1,182.00,32396.00,178.00,178.00,178.00
2010-08-16,4,336.00,61308.00,186.00,178.00,186.00
2010-09-12,3,876.00,159480.00,183.00,180.00,180.00
2010-09-13,2,100.00,17550.00,177.00,174.00,174.00
2010-09-19,2,100.00,17100.00,171.00,171.00,171.00
2010-09-26,3,252.00,41730.00,168.00,165.00,165.00
2010-09-28,3,30.00,4950.00,165.00,165.00,165.00
2010-09-30,1,140.00,22680.00,162.00,162.00,162.00
2010-10-03,7,893.00,138164.00,161.00,147.00,147.00
2010-10-05,9,2760.00,378802.00,140.00,135.00,135.00
2010-10-07,9,2674.00,359358.00,137.00,133.00,136.00
2010-10-10,1,100.00,13800.00,138.00,138.00,138.00
2010-10-11,3,1721.00,245940.00,144.00,140.00,144.00
2010-10-24,3,1152.00,167236.00,146.00,144.00,146.00
2010-10-25,1,429.00,62634.00,146.00,146.00,146.00
2010-10-26,6,250.00,38880.00,159.00,148.00,159.00
2010-10-27,1,120.00,19200.00,160.00,160.00,160.00
2010-10-28,5,620.00,99680.00,166.00,160.00,166.00
2010-10-31,6,3021.00,504849.00,172.00,166.00,172.00
2010-11-02,3,400.00,67000.00,169.00,167.00,169.00
2010-11-04,2,137.00,22771.00,167.00,166.00,167.00
2010-11-09,2,596.00,97906.00,167.00,164.00,167.00
2010-11-10,15,5613.00,902077.00,167.00,157.00,160.00
