Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-09-19,1,590.00,47200.00,80.00,80.00,80.00
2013-09-26,2,3328.00,259594.00,79.00,78.00,78.00
2013-09-29,1,100.00,7700.00,77.00,77.00,77.00
2013-10-31,1,50.00,3950.00,79.00,79.00,79.00
2013-12-22,2,510.00,41300.00,81.00,80.00,81.00
2013-12-23,3,96.00,7872.00,82.00,82.00,82.00
2013-12-24,1,10.00,830.00,83.00,83.00,83.00
2013-12-26,2,1618.00,131886.00,82.00,81.00,81.00
2013-12-29,3,86.00,7052.00,82.00,82.00,82.00
2014-01-05,6,2786.00,225999.00,82.00,80.00,80.00
2014-01-06,3,463.00,37503.00,81.00,81.00,81.00
2014-01-08,1,68.00,5576.00,82.00,82.00,82.00
2014-01-13,1,20.00,1620.00,81.00,81.00,81.00
2014-01-23,4,142.00,11707.00,84.00,82.00,84.00
2014-01-27,5,257.00,21381.00,84.00,83.00,84.00
2014-02-02,1,10.00,850.00,85.00,85.00,85.00
2014-02-03,1,217.00,18662.00,86.00,86.00,86.00
2014-02-05,9,806.00,75124.00,94.00,87.00,94.00
2014-02-06,13,758.00,76782.00,103.00,95.00,103.00
2014-02-09,7,2099.00,221572.00,109.00,105.00,109.00
2014-02-10,4,390.00,43470.00,113.00,111.00,113.00
2014-02-11,4,656.00,73816.00,113.00,111.00,111.00
2014-02-12,3,171.00,18519.00,109.00,107.00,107.00
2014-02-13,2,600.00,64400.00,109.00,107.00,107.00
2014-02-16,4,2456.00,250528.00,105.00,101.00,101.00
2014-02-17,7,2050.00,209280.00,104.00,100.00,100.00
2014-02-18,1,60.00,6120.00,102.00,102.00,102.00
2014-02-26,1,611.00,61100.00,100.00,100.00,100.00
2014-03-03,1,20.00,2020.00,101.00,101.00,101.00
2014-03-05,5,715.00,70116.00,100.00,97.00,97.00
2014-03-06,1,41.00,3936.00,96.00,96.00,96.00
2014-03-09,3,307.00,29255.00,96.00,95.00,96.00
2014-03-24,4,920.00,87400.00,95.00,95.00,95.00
2014-03-26,1,21.00,2016.00,96.00,96.00,96.00
2014-04-06,2,355.00,34020.00,96.00,95.00,96.00
2014-04-10,1,30.00,2910.00,97.00,97.00,97.00
2014-04-20,6,180.00,17280.00,96.00,96.00,96.00
2014-04-21,5,2378.00,225686.00,97.00,94.00,94.00
2014-04-22,2,104.00,9880.00,95.00,95.00,95.00
2014-04-28,2,42.00,4032.00,96.00,96.00,96.00
2014-05-12,9,2267.00,207121.00,95.00,89.00,90.00
2014-05-13,3,1112.00,97621.00,89.00,87.00,87.00
2014-05-15,3,247.00,21255.00,87.00,85.00,85.00
2014-05-18,20,2643.00,235306.00,92.00,86.00,88.00
2014-05-19,4,1009.00,90459.00,90.00,89.00,90.00
2014-05-20,3,140.00,12420.00,89.00,88.00,88.00
2014-05-21,3,572.00,51441.00,91.00,89.00,91.00
2014-05-22,22,10486.00,1030137.00,100.00,92.00,100.00
2014-05-25,25,12368.00,1252407.00,103.00,100.00,102.00
2014-05-26,13,6319.00,632259.00,102.00,99.00,99.00
2014-05-27,12,2404.00,239435.00,102.00,98.00,99.00
2014-05-28,5,1458.00,145800.00,100.00,100.00,100.00
2014-06-01,1,41.00,4018.00,98.00,98.00,98.00
2014-06-02,3,983.00,94833.00,97.00,96.00,96.00
2014-06-03,13,1886.00,182989.00,98.00,96.00,96.00
2014-06-04,6,2015.00,195315.00,98.00,96.00,98.00
2014-06-09,6,2890.00,275024.00,97.00,94.00,95.00
2014-06-10,5,731.00,69524.00,96.00,95.00,95.00
2014-06-12,4,1619.00,151186.00,94.00,93.00,94.00
2014-06-15,2,619.00,58805.00,95.00,95.00,95.00
2014-06-16,1,40.00,3760.00,94.00,94.00,94.00
2014-06-17,4,627.00,60655.00,97.00,95.00,0.00
2014-06-18,6,1146.00,111246.00,98.00,96.00,97.00
2014-06-19,10,4528.00,439010.00,98.00,96.00,96.00
2014-06-23,10,2660.00,248066.00,95.00,90.00,90.00
2014-06-24,15,4057.00,358076.00,89.00,87.00,88.00
2014-06-25,4,579.00,49954.00,87.00,86.00,87.00
2014-06-26,3,893.00,77342.00,88.00,86.00,88.00
2014-06-29,14,8560.00,769460.00,91.00,89.00,90.00
2014-06-30,2,362.00,33214.00,92.00,91.00,92.00
2014-07-01,16,9943.00,903402.00,92.00,90.00,91.00
2014-07-02,21,19513.00,1751050.00,91.00,89.00,90.00
2014-07-03,29,51980.00,4837612.00,99.00,90.00,99.00
2014-07-06,40,62745.00,6517440.00,108.00,98.00,108.00
2014-07-07,110,84731.00,9460730.00,117.00,108.00,115.00
2014-07-08,52,38215.00,4265510.00,115.00,107.00,113.00
2014-07-09,13,5167.00,568101.00,112.00,109.00,112.00
2014-07-10,21,15721.00,1667131.00,111.00,105.00,107.00
2014-07-13,14,10585.00,1116765.00,109.00,103.00,105.00
2014-07-14,24,12019.00,1273565.00,109.00,104.00,106.00
2014-07-15,18,9203.00,978945.00,108.00,105.00,108.00
2014-07-16,13,5438.00,574684.00,108.00,103.00,105.00
2014-07-17,28,22251.00,2426749.00,115.00,105.00,114.00
2014-07-20,28,15662.00,1819325.00,120.00,113.00,115.00
2014-07-21,35,28660.00,3405278.00,121.00,117.00,118.00
2014-07-22,22,14551.00,1738950.00,122.00,116.00,116.00
2014-07-23,31,17867.00,2101684.00,121.00,115.00,119.00
2014-07-24,53,43902.00,5433301.00,130.00,117.00,130.00
2014-07-27,31,26097.00,3565182.00,143.00,131.00,143.00
2014-07-28,6,4490.00,624132.00,141.00,136.00,136.00
2014-07-30,51,29352.00,4103733.00,144.00,135.00,140.00
2014-08-03,4,160.00,21744.00,138.00,134.00,134.00
2014-08-04,4,1529.00,202666.00,134.00,130.00,130.00
2014-08-05,16,5967.00,755394.00,130.00,125.00,125.00
2014-08-06,12,6520.00,777300.00,124.00,115.00,119.00
2014-08-07,3,1971.00,236349.00,121.00,117.00,117.00
2014-08-12,10,3641.00,417317.00,117.00,113.00,117.00
2014-08-13,9,3946.00,456747.00,118.00,115.00,116.00
2014-08-14,13,5749.00,689690.00,125.00,118.00,122.00
2014-08-18,23,8196.00,910046.00,120.00,110.00,110.00
2014-08-19,4,3000.00,325000.00,109.00,108.00,109.00
2014-08-20,4,760.00,81320.00,107.00,107.00,107.00
2014-08-24,6,3922.00,402596.00,105.00,101.00,103.00
2014-08-25,2,149.00,15109.00,103.00,101.00,101.00
2014-08-26,6,1692.00,174572.00,105.00,100.00,100.00
2014-08-27,3,1233.00,127578.00,104.00,102.00,104.00
2014-08-28,6,3819.00,394414.00,106.00,102.00,106.00
2014-08-31,2,237.00,24470.00,104.00,102.00,102.00
2014-09-01,2,608.00,60800.00,100.00,100.00,100.00
2014-09-03,18,5538.00,563263.00,104.00,101.00,104.00
2014-09-04,3,140.00,14280.00,102.00,102.00,102.00
2014-09-07,1,94.00,9400.00,100.00,100.00,100.00
2014-09-09,5,1805.00,182597.00,103.00,100.00,102.00
2014-09-10,6,563.00,57065.00,104.00,100.00,100.00
2014-09-11,8,5464.00,538872.00,100.00,97.00,100.00
2014-09-14,2,803.00,79006.00,100.00,98.00,98.00
2014-09-15,4,3030.00,297910.00,99.00,97.00,99.00
2014-09-16,5,5199.00,515840.00,100.00,98.00,99.00
2014-09-17,1,40.00,4000.00,100.00,100.00,100.00
2014-09-18,2,1086.00,106600.00,100.00,98.00,98.00
2014-09-21,1,491.00,48118.00,98.00,98.00,98.00
2014-09-22,2,459.00,44523.00,97.00,97.00,97.00
2014-09-23,4,1466.00,140736.00,96.00,96.00,96.00
2014-09-24,1,500.00,48000.00,96.00,96.00,96.00
2014-09-28,2,1029.00,99813.00,97.00,97.00,97.00
2014-09-29,1,500.00,48000.00,96.00,96.00,96.00
2014-09-30,1,472.00,45784.00,97.00,97.00,97.00
2014-10-08,3,459.00,44523.00,97.00,97.00,97.00
2014-10-12,3,253.00,24288.00,96.00,96.00,96.00
2014-10-13,5,1275.00,122371.00,96.00,95.00,96.00
2014-10-14,2,1965.00,184810.00,95.00,94.00,94.00
2014-10-15,3,4060.00,381700.00,95.00,94.00,95.00
2014-10-16,4,1499.00,140594.00,95.00,93.00,94.00
2014-10-19,1,60.00,5580.00,93.00,93.00,93.00
2014-10-21,1,2000.00,184000.00,92.00,92.00,92.00
2014-10-26,1,60.00,5520.00,92.00,92.00,92.00
2014-10-27,2,1008.00,90824.00,91.00,90.00,90.00
2014-11-04,1,500.00,44500.00,89.00,89.00,89.00
2014-11-05,2,1200.00,109000.00,91.00,90.00,91.00
2014-11-06,3,889.00,82721.00,94.00,92.00,94.00
2014-11-09,1,200.00,19000.00,95.00,95.00,95.00
2014-11-13,7,2794.00,263430.00,95.00,94.00,95.00
2014-12-10,26,7469.00,650130.00,94.00,86.00,86.00
2014-12-11,9,5273.00,443410.00,86.00,83.00,86.00
2014-12-14,5,9348.00,814614.00,89.00,87.00,89.00
2014-12-15,3,865.00,77850.00,90.00,90.00,90.00
2014-12-16,2,591.00,52718.00,90.00,89.00,89.00
2014-12-21,2,112.00,10020.00,90.00,89.00,90.00
2014-12-31,1,40.00,3600.00,90.00,90.00,90.00
2015-01-01,1,178.00,16020.00,90.00,90.00,90.00
2015-01-04,2,340.00,30640.00,91.00,90.00,90.00
2015-01-08,1,29.00,2639.00,91.00,91.00,91.00
2015-01-11,2,780.00,70200.00,90.00,90.00,90.00
2015-01-12,14,5122.00,434532.00,89.00,84.00,84.00
2015-01-13,3,2858.00,237214.00,83.00,83.00,83.00
2015-01-14,6,3500.00,284500.00,82.00,80.00,82.00
2015-01-18,10,7726.00,652370.00,86.00,83.00,85.00
2015-01-19,2,161.00,13846.00,86.00,86.00,86.00
2015-01-20,3,144.00,12580.00,88.00,87.00,88.00
2015-01-22,4,1190.00,106249.00,92.00,89.00,92.00
2015-01-25,19,8672.00,827397.00,99.00,93.00,99.00
2015-01-26,14,6172.00,610186.00,102.00,95.00,96.00
2015-01-27,5,4484.00,423596.00,95.00,94.00,94.00
2015-01-28,2,1000.00,93500.00,94.00,93.00,94.00
2015-01-29,8,4904.00,466384.00,97.00,93.00,96.00
2015-02-01,4,2719.00,265462.00,98.00,97.00,98.00
2015-02-02,17,15970.00,1591812.00,107.00,97.00,107.00
2015-02-03,29,11620.00,1288439.00,117.00,107.00,110.00
2015-02-04,4,203.00,22308.00,110.00,108.00,108.00
2015-02-05,4,1966.00,204914.00,106.00,103.00,103.00
2015-02-08,3,2386.00,242886.00,102.00,100.00,102.00
2015-02-09,8,4582.00,469102.00,104.00,102.00,102.00
2015-02-11,2,8627.00,871275.00,101.00,100.00,101.00
2015-02-12,6,753.00,76494.00,102.00,101.00,102.00
2015-02-15,30,12989.00,1391958.00,112.00,104.00,110.00
2015-02-16,9,4359.00,470802.00,110.00,107.00,109.00
2015-02-18,5,1476.00,158430.00,108.00,106.00,106.00
2015-02-22,6,2368.00,238004.00,104.00,100.00,100.00
