Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2011-10-02,14,51250.00,6406250.00,125.00,125.00,125.00
2011-10-17,34,80699.00,9925977.00,123.00,123.00,123.00
2011-11-30,3,3950.00,485850.00,123.00,123.00,123.00
2011-12-07,1,3860.00,474780.00,123.00,123.00,123.00
2012-02-23,1,1500.00,181500.00,121.00,121.00,121.00
2012-04-09,1,1631.00,195720.00,120.00,120.00,120.00
2012-12-16,2,7894.00,1290669.00,165.00,162.00,162.00
2012-12-19,1,6856.00,1090104.00,159.00,159.00,159.00
2012-12-24,2,7894.00,1231464.00,156.00,156.00,156.00
2012-12-26,3,19520.00,2986560.00,153.00,153.00,153.00
2012-12-27,4,58851.00,8761650.00,150.00,147.00,147.00
