Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-11-10,1,10.00,3590.00,359.00,359.00,359.00
2010-11-11,4,60.00,21060.00,351.00,351.00,351.00
2010-11-14,1,10.00,3340.00,334.00,334.00,334.00
2010-11-15,1,10.00,3180.00,318.00,318.00,318.00
2010-11-23,1,10.00,3100.00,310.00,310.00,310.00
2010-12-13,1,10.00,2950.00,295.00,295.00,295.00
2010-12-19,1,10.00,2810.00,281.00,281.00,281.00
2010-12-22,1,10.00,2670.00,267.00,267.00,267.00
2010-12-26,2,20.00,5080.00,254.00,254.00,254.00
2011-01-02,4,40.00,9920.00,249.00,245.00,245.00
2011-01-03,1,20.00,4660.00,233.00,233.00,233.00
2011-01-04,1,10.00,2220.00,222.00,222.00,222.00
2011-01-06,7,70.00,14240.00,211.00,200.00,200.00
2011-01-13,10,130.00,23920.00,190.00,181.00,181.00
2011-01-16,16,210.00,35010.00,172.00,166.00,166.00
2011-01-18,2,40.00,6320.00,158.00,158.00,158.00
2011-01-19,12,130.00,19070.00,151.00,143.00,143.00
2011-01-20,156,2250.00,293770.00,136.00,129.00,130.00
2011-01-23,87,1320.00,170680.00,131.00,126.00,130.00
2011-01-24,65,970.00,127390.00,134.00,130.00,133.00
2011-01-31,2,20.00,2640.00,132.00,132.00,132.00
2011-02-01,76,1490.00,198790.00,135.00,131.00,133.00
2011-02-02,43,930.00,126320.00,141.00,133.00,139.00
2011-02-03,84,950.00,130020.00,139.00,135.00,136.00
2011-02-06,15,530.00,74550.00,142.00,138.00,141.00
2011-02-07,33,600.00,82650.00,143.00,134.00,134.00
2011-02-08,38,410.00,53460.00,134.00,129.00,130.00
2011-02-09,10,200.00,26110.00,134.00,128.00,132.00
2011-02-10,103,2700.00,358650.00,134.00,130.00,132.00
2011-02-13,39,970.00,126970.00,132.00,130.00,130.00
2011-02-14,8,90.00,11590.00,130.00,128.00,128.00
2011-02-15,37,420.00,54250.00,130.00,128.00,129.00
2011-02-16,13,190.00,25420.00,141.00,130.00,141.00
2011-02-17,31,820.00,121950.00,153.00,142.00,148.00
2011-02-20,16,290.00,41250.00,146.00,136.00,136.00
2011-02-21,34,540.00,73960.00,138.00,134.00,134.00
2011-02-22,40,590.00,78250.00,133.00,131.00,132.00
2011-02-23,44,630.00,82800.00,133.00,130.00,132.00
2011-02-24,28,520.00,67480.00,131.00,128.00,130.00
2011-02-27,6,60.00,7800.00,130.00,130.00,130.00
2011-02-28,16,210.00,27240.00,132.00,128.00,132.00
2011-03-01,6,60.00,7850.00,131.00,130.00,130.00
2011-03-03,20,450.00,57970.00,131.00,127.00,127.00
2011-03-07,12,540.00,69170.00,129.00,127.00,129.00
2011-03-09,18,180.00,23240.00,130.00,128.00,128.00
2011-03-10,7,110.00,13990.00,128.00,126.00,127.00
2011-03-13,21,230.00,29120.00,128.00,124.00,124.00
2011-03-14,6,60.00,7490.00,125.00,124.00,125.00
2011-03-15,11,140.00,16900.00,123.00,117.00,117.00
2011-03-16,12,180.00,21150.00,119.00,115.00,119.00
2011-03-17,17,190.00,22850.00,122.00,119.00,120.00
2011-03-20,17,290.00,34880.00,122.00,120.00,122.00
2011-03-21,1,30.00,3600.00,120.00,120.00,120.00
2011-03-22,42,590.00,69230.00,119.00,116.00,117.00
2011-03-23,10,100.00,11600.00,116.00,116.00,116.00
2011-03-24,7,130.00,15010.00,118.00,114.00,117.00
2011-03-27,4,70.00,7930.00,115.00,112.00,112.00
2011-03-28,24,290.00,32360.00,113.00,111.00,111.00
2011-03-30,18,240.00,25800.00,110.00,105.00,107.00
2011-03-31,1,20.00,2100.00,105.00,105.00,105.00
2011-04-04,10,110.00,12000.00,111.00,107.00,111.00
2011-04-05,29,450.00,49120.00,111.00,107.00,110.00
2011-04-06,6,80.00,8580.00,109.00,105.00,109.00
2011-04-07,24,320.00,34810.00,110.00,108.00,108.00
2011-04-10,8,240.00,27210.00,115.00,110.00,115.00
2011-04-11,12,120.00,13460.00,113.00,111.00,111.00
2011-04-17,9,150.00,17520.00,118.00,113.00,118.00
2011-04-19,3,30.00,3440.00,116.00,114.00,114.00
2011-04-20,2,40.00,4560.00,114.00,114.00,114.00
2011-04-21,65,1800.00,202670.00,114.00,107.00,107.00
2011-04-25,14,250.00,26590.00,108.00,104.00,104.00
