Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2011-03-15,12,200.00,75800.00,379.00,379.00,379.00
2011-03-16,8,80.00,28760.00,372.00,342.00,342.00
2011-03-17,6,60.00,18910.00,325.00,308.00,308.00
2011-03-20,7,90.00,26260.00,302.00,279.00,279.00
2011-03-21,9,90.00,23490.00,274.00,252.00,252.00
2011-03-22,6,60.00,14220.00,247.00,227.00,227.00
2011-03-23,7,70.00,14950.00,223.00,205.00,205.00
2011-03-24,10,100.00,19350.00,201.00,185.00,185.00
2011-03-27,13,130.00,22610.00,182.00,167.00,167.00
2011-03-28,3,30.00,4830.00,164.00,158.00,158.00
2011-03-29,115,1410.00,203260.00,155.00,143.00,143.00
2011-03-30,171,2570.00,349310.00,141.00,133.00,135.00
2011-03-31,190,3050.00,412480.00,137.00,134.00,137.00
2011-04-04,259,3200.00,438980.00,139.00,135.00,136.00
2011-04-05,235,3150.00,432590.00,139.00,135.00,137.00
2011-04-06,198,3500.00,476690.00,138.00,135.00,136.00
2011-04-07,675,8150.00,1147630.00,145.00,134.00,143.00
2011-04-10,1007,12480.00,1791940.00,146.00,140.00,142.00
2011-04-11,863,12910.00,1829310.00,145.00,137.00,142.00
2011-04-13,711,9540.00,1408550.00,156.00,137.00,154.00
2011-04-17,4,60.00,9340.00,156.00,155.00,155.00
2011-04-18,84,960.00,142380.00,154.00,143.00,143.00
2011-04-19,69,1330.00,190330.00,144.00,142.00,143.00
2011-04-20,132,2540.00,361880.00,143.00,132.00,132.00
2011-04-21,133,1750.00,220370.00,130.00,122.00,122.00
2011-04-25,12,150.00,17620.00,120.00,116.00,117.00
2011-04-27,65,820.00,96140.00,119.00,115.00,119.00
2011-04-28,12,130.00,15120.00,118.00,114.00,114.00
2011-05-02,197,5630.00,646300.00,115.00,112.00,112.00
2011-05-03,100,1890.00,215120.00,116.00,110.00,112.00
2011-05-04,96,1410.00,158840.00,114.00,111.00,112.00
2011-05-05,110,2050.00,231410.00,115.00,109.00,113.00
2011-05-08,73,750.00,86210.00,115.00,114.00,114.00
2011-05-10,31,490.00,55810.00,115.00,112.00,114.00
2011-05-11,52,630.00,74980.00,120.00,116.00,119.00
2011-05-12,1,20.00,2420.00,121.00,121.00,121.00
2011-05-15,139,2780.00,330040.00,120.00,115.00,120.00
2011-05-16,91,930.00,111570.00,120.00,119.00,119.00
2011-05-18,52,530.00,64070.00,125.00,120.00,125.00
2011-05-19,144,1640.00,197190.00,123.00,118.00,120.00
2011-05-22,37,490.00,57440.00,120.00,114.00,118.00
2011-05-23,21,280.00,32900.00,119.00,117.00,117.00
2011-05-24,33,420.00,50370.00,120.00,119.00,120.00
2011-05-25,7,70.00,8640.00,124.00,122.00,124.00
2011-05-26,13,300.00,37460.00,125.00,123.00,123.00
2011-05-30,78,780.00,94700.00,122.00,120.00,120.00
2011-05-31,128,2070.00,250800.00,124.00,119.00,119.00
2011-06-01,43,440.00,51820.00,118.00,114.00,114.00
2011-06-02,194,2010.00,228140.00,116.00,108.00,108.00
2011-06-05,23,990.00,105550.00,108.00,105.00,107.00
2011-06-06,16,390.00,42600.00,111.00,107.00,108.00
2011-06-08,44,660.00,68380.00,106.00,102.00,104.00
2011-06-09,31,350.00,36930.00,107.00,105.00,105.00
