name,symbol
Agricultural Development Bank Ltd,ADBL
Arun Valley Hydropower Development Company Limited,AHPC
Alpine Development Bank Limited,ALDBL
Asian Life Insurance Co. Limited,ALICL
Butwal Power Co. Ltd.,BPCL
Bishwa Bikas Bank Limited,BSBL
Business Universal Development Bank Ltd.,BUDBL
Civil Bank Ltd,CBL
Century Commercial Bank Ltd.,CCBL
City Development Bank Limited,CDBL
Clean Energy Development Bank Limited,CEDBL
Central Finance Co. Ltd.,CFCL
Chilime Hydro power Co.,CHCL
Country Development Bank Ltd.,CNDBL
Citizens Bank International Limited,CZBIL
Diprox Development Bank,DDBL
Everest Bank Ltd,EBL
First Microfinance Development Bank Ltd.,FMDBL
Garima Bikas Bank Limited,GBBL
Global IME Bank Limited,GBIME
Guras Life Insurance Co. Ltd.,GLICL
Grand Bank Nepal Ltd.,GRAND
Hama Merchant & Finance Ltd.,HAMA
H & B Development Bank Ltd.,HBDL
Himalayan Bank Ltd.,HBL
Himalayan Gen.Insu. Co.Ltd.,HGI
ICFC Finance Limited,ICFC
Infrastructure Development Bank Limited,IDBL
Jyoti Bikas Bank Limited,JBBL
Janata Bank Nepal Ltd.,JBNL
Kaski Finance Limited,KAFIL
Kumari Bank Ltd,KBL
Kasthamandap Development Bank Ltd.,KDBL
Kankai Bikas Bank Ltd.,KNBL
Laxmi Bank Limited,LBL
Lalitpur Finance Ltd.,LFC
Lumbini Bank Ltd.,LUBL
Machhachapuchhre Bank Ltd,MBL
Mega Bank Nepal Ltd.,MEGA
Muktinath Bikas Bank Ltd.,MNBBL
Nabil Bank Ltd.,NABIL
NABIL Bank Limited Promotor Share,NABILP
Nepal Bangladesh Bank Ltd.,NBB
Nepal Bank Limited,NBL
Nepal Credit And Com. Bank,NCCB
Nepal Finance Ltd.,NFS
National Hydro Power Co.,NHPC
Nepal Investment Bank Ltd.,NIB
NIC Asia Bank Ltd.,NICA
Nepal Insurance Co.Ltd.,NICL
Neco Insurance Co.,NIL
Nerude Laghubita Bikas Bank Limited,NLBBL
Nepal Life Insurance Co. Ltd.,NLIC
National LifeInsu. Co.Ltd.,NLICL
NMB Bank Ltd.,NMB
Naya Nepal Laghubitta Bikas Bank Ltd.,NNLB
Nepal Doorsanchar Company Limited,NTC
Nirdhan Utthan Bank Ltd.,NUBL
Oriental Hotel Ltd.,OHL
Pathibhara Bikas Bank Limited,PBSL
Prime Commercial Bank Limited,PCBL
Paschimanchal Bikash Bank,PDBL
Prudential Finance Company Limited,PFIL
Premier Insurance co. Ltd.,PIC
Prime Life Insurance Company Limited,PLIC
Reliable Development Bank  Limited,REDBL
Ridi Hydropower Development Company Ltd.,RHPC
Rural Microfinance Development Centre Ltd.,RMDC
Sanima Bank Ltd.,SANIMA
Sahayogi Vikas Bank,SBBLJ
Nepal SBI Bank Limited,SBI
Siddhartha Bank Limited,SBL
Standard Chartered Bank Ltd.,SCB
Sewa Bikas Bank Limited,SEWA
Siddhartha Finance Limited,SFL
Sanima Mai Hydropower Ltd.,SHPC
Siddhartha Insurance Limited,SIL
Sindhu Bikas Bank Ltd.,SINDU
Sana Kisan Bikas Bank Ltd,SKBBL
Surya Life Insurance Company Limited,SLICL
Sunrise Bank Limited,SRBL
Subhechha Bikas Bank Limited,SUBBL
Supreme Development Bank Ltd.,SUPRME
Swabalamwan Bikash Bank,SWBBL
Synergy Finance Ltd,SYFL
Tourism Development Bank Ltd.,TDBL
Taragaon Regency Hotel,TRH
Unique Finance Limited,UFIL
Vibor Bikas Bank Limited,VBBL
Yeti Development Bank Limited,YETI
