Date,Open
2009-10-22,0.0
2009-10-25,540.0
2009-10-26,555.0
2009-10-27,515.0
2009-10-28,503.0
2009-10-29,485.0
2009-11-01,485.0
2009-11-02,489.0
2009-11-03,480.0
2009-11-04,461.0
2009-11-05,470.0
2009-11-08,473.0
2009-11-09,475.0
2009-11-10,483.0
2009-11-11,471.0
2009-11-12,460.0
2009-11-15,449.0
2009-11-16,449.0
2009-11-17,442.0
2009-11-18,436.0
2009-11-19,440.0
2009-11-22,450.0
2009-11-23,450.0
2009-11-24,441.0
2009-11-26,440.0
2009-11-30,440.0
2009-12-01,424.0
2009-12-03,388.0
2009-12-06,362.0
2009-12-07,357.0
2009-12-08,360.0
2009-12-09,396.0
2009-12-10,405.0
2009-12-13,420.0
2009-12-14,420.0
2009-12-15,424.0
2009-12-16,410.0
2009-12-17,402.0
2009-12-20,395.0
2009-12-21,388.0
2009-12-22,388.0
2009-12-23,395.0
2009-12-24,394.0
2009-12-27,390.0
2009-12-28,397.0
2009-12-29,390.0
2009-12-31,395.0
2010-01-03,408.0
2010-01-04,400.0
2010-01-05,400.0
2010-01-06,401.0
2010-01-07,402.0
2010-01-10,404.0
2010-01-11,402.0
2010-01-12,402.0
2010-01-13,402.0
2010-01-14,399.0
2010-01-18,396.0
2010-01-20,399.0
2010-01-21,371.0
2010-01-24,375.0
2010-01-25,381.0
2010-01-26,381.0
2010-01-27,375.0
2010-01-28,375.0
2010-01-31,396.0
2010-02-01,390.0
2010-02-02,385.0
2010-02-04,389.0
2010-02-08,390.0
2010-02-09,389.0
2010-02-10,382.0
2010-02-11,376.0
2010-02-15,358.0
2010-02-16,354.0
2010-02-17,336.0
2010-03-01,326.0
2010-03-02,326.0
2010-03-03,320.0
2010-03-04,338.0
2010-03-07,340.0
2010-03-09,335.0
2010-03-10,349.0
2010-03-16,325.0
2010-03-17,325.0
2010-03-18,315.0
2010-03-22,315.0
2010-03-23,305.0
2010-03-25,302.0
2010-03-28,296.0
2010-03-29,291.0
2010-03-30,291.0
2010-04-04,280.0
2010-04-05,275.0
2010-04-06,265.0
2010-04-08,253.0
2010-04-12,258.0
2010-04-13,250.0
2010-04-15,243.0
2010-04-20,240.0
2010-04-25,240.0
2010-04-27,240.0
2010-04-28,240.0
2010-04-29,236.0
2010-05-09,240.0
2010-05-11,225.0
2010-05-12,226.0
2010-05-13,222.0
2010-05-16,230.0
2010-05-17,230.0
2010-05-18,226.0
2010-05-24,221.0
2010-05-25,243.0
2010-05-26,251.0
2010-05-30,265.0
2010-05-31,290.0
2010-06-01,300.0
2010-06-03,289.0
2010-06-07,284.0
2010-06-08,279.0
2010-06-10,284.0
2010-06-13,289.0
2010-06-14,294.0
2010-06-16,294.0
2010-06-17,289.0
2010-06-20,284.0
2010-06-22,283.0
2010-06-23,278.0
2010-06-28,278.0
2010-07-06,275.0
2010-07-12,265.0
2010-07-14,264.0
2010-07-15,251.0
2010-07-18,235.0
2010-07-19,236.0
2010-07-20,235.0
2010-07-21,235.0
2010-07-22,231.0
2010-07-25,243.0
2010-07-26,233.0
2010-07-27,234.0
2010-07-28,237.0
2010-08-01,233.0
2010-08-02,230.0
2010-08-03,232.0
2010-08-04,236.0
2010-08-05,240.0
2010-08-08,240.0
2010-08-09,242.0
2010-08-10,242.0
2010-08-11,242.0
2010-08-12,244.0
2010-08-17,248.0
2010-08-18,249.0
2010-08-19,250.0
2010-08-22,247.0
2010-08-23,244.0
2010-08-26,232.0
2010-08-29,236.0
2010-08-30,233.0
2010-08-31,236.0
2010-09-02,233.0
2010-09-05,233.0
2010-09-06,218.0
2010-09-07,219.0
2010-09-09,226.0
2010-09-12,226.0
2010-09-13,230.0
2010-09-14,227.0
2010-09-16,227.0
2010-09-23,223.0
2010-09-26,223.0
2010-09-27,219.0
2010-09-28,222.0
2010-09-29,222.0
2010-09-30,222.0
2010-10-03,226.0
2010-10-04,226.0
2010-10-05,231.0
2010-10-07,230.0
2010-10-12,234.0
2010-10-24,234.0
2010-10-26,234.0
2010-10-27,238.0
2010-10-28,242.0
2010-11-01,243.0
2010-11-02,244.0
2010-11-03,252.0
2010-11-04,262.0
2010-11-09,265.0
2010-11-10,263.0
2010-11-11,265.0
2010-11-14,260.0
2010-11-16,260.0
2010-11-18,255.0
2010-11-21,252.0
2010-11-22,252.0
2010-11-23,251.0
2010-11-24,251.0
2010-11-25,247.0
2010-11-28,243.0
2010-11-30,236.0
2010-12-01,232.0
2010-12-02,229.0
2010-12-05,225.0
2010-12-06,229.0
2010-12-07,223.0
2010-12-09,219.0
2010-12-12,220.0
2010-12-13,224.0
2010-12-15,220.0
2010-12-19,209.0
2010-12-20,210.0
2010-12-22,206.0
2010-12-23,209.0
2010-12-26,202.0
2010-12-29,206.0
2011-01-03,205.0
2011-01-05,199.0
2011-01-06,205.0
2011-01-09,203.0
2011-01-10,207.0
2011-01-11,213.0
2011-01-12,219.0
2011-01-13,218.0
2011-01-16,215.0
2011-01-17,212.0
2011-01-18,224.0
2011-01-19,224.0
2011-01-20,225.0
2011-01-23,226.0
2011-01-24,230.0
2011-01-31,238.0
2011-02-20,241.0
2011-02-21,174.0
2011-02-22,174.0
2011-02-27,179.0
2011-02-28,173.0
2011-03-03,173.0
2011-03-16,176.0
2011-03-22,168.0
2011-03-23,165.0
2011-03-27,162.0
2011-03-30,159.0
2011-04-04,156.0
2011-04-13,159.0
2011-04-19,159.0
2011-04-20,159.0
2011-04-26,156.0
2011-05-04,153.0
2011-05-10,150.0
2011-05-12,147.0
2011-05-16,150.0
2011-05-26,157.0
2011-05-31,154.0
2011-06-06,153.0
2011-06-07,153.0
2011-06-09,153.0
2011-06-20,153.0
2011-06-21,150.0
2011-06-30,160.0
2011-07-18,158.0
2011-07-19,165.0
2011-07-20,164.0
2011-08-22,161.0
2011-08-23,155.0
2011-08-24,140.0
2011-08-25,136.0
2011-08-28,136.0
2011-08-29,124.0
2011-08-30,123.0
2011-09-01,125.0
2011-09-04,125.0
2011-09-05,136.0
