Date,Open
2009-11-25,310.0
2009-12-03,790.0
2009-12-06,740.0
2009-12-07,687.0
2009-12-08,661.0
2009-12-09,700.0
2009-12-10,699.0
2009-12-13,700.0
2009-12-14,712.0
2009-12-15,712.0
2009-12-22,691.0
2009-12-28,486.0
2009-12-29,490.0
2009-12-31,508.0
2010-01-03,558.0
2010-01-04,580.0
2010-01-05,560.0
2010-01-06,546.0
2010-01-07,565.0
2010-01-10,555.0
2010-01-11,550.0
2010-01-12,546.0
2010-01-13,545.0
2010-01-14,556.0
2010-01-17,550.0
2010-01-18,550.0
2010-01-19,550.0
2010-01-20,550.0
2010-01-21,541.0
2010-01-24,541.0
2010-01-25,551.0
2010-01-26,553.0
2010-01-27,553.0
2010-01-28,550.0
2010-01-31,550.0
2010-02-01,540.0
2010-02-02,530.0
2010-02-03,500.0
2010-02-04,465.0
2010-02-08,483.0
2010-02-09,476.0
2010-02-10,460.0
2010-02-11,461.0
2010-02-15,479.0
2010-02-16,476.0
2010-02-17,480.0
2010-02-18,483.0
2010-03-01,492.0
2010-03-02,492.0
2010-03-03,495.0
2010-03-04,514.0
2010-03-07,500.0
2010-03-09,481.0
2010-03-11,478.0
2010-03-14,469.0
2010-03-16,440.0
2010-03-17,448.0
2010-03-23,448.0
2010-03-28,455.0
2010-03-29,457.0
2010-03-30,467.0
2010-03-31,462.0
2010-04-01,445.0
2010-04-04,455.0
2010-04-05,464.0
2010-04-06,465.0
2010-04-07,460.0
2010-04-08,455.0
2010-04-11,460.0
2010-04-12,440.0
2010-04-13,445.0
2010-04-15,438.0
2010-04-18,430.0
2010-04-19,425.0
2010-04-20,417.0
2010-04-21,396.0
2010-04-22,380.0
2010-04-25,390.0
2010-04-26,385.0
2010-04-28,386.0
2010-04-29,394.0
2010-05-09,413.0
2010-05-10,421.0
2010-05-11,428.0
2010-05-12,465.0
2010-05-13,485.0
2010-05-16,494.0
2010-05-17,472.0
2010-05-18,465.0
2010-05-19,479.0
2010-05-20,475.0
2010-05-23,490.0
2010-05-24,492.0
2010-05-25,486.0
2010-05-26,510.0
2010-05-30,495.0
2010-05-31,510.0
2010-06-01,510.0
2010-06-02,482.0
2010-06-06,481.0
2010-06-07,485.0
2010-06-08,480.0
2010-06-09,485.0
2010-06-10,485.0
2010-06-13,480.0
2010-06-14,470.0
2010-06-15,468.0
2010-06-16,470.0
2010-06-17,465.0
2010-06-20,466.0
2010-06-21,471.0
2010-06-22,470.0
2010-06-23,464.0
2010-06-24,470.0
2010-06-28,470.0
2010-06-29,464.0
2010-06-30,464.0
2010-07-01,452.0
2010-07-04,452.0
2010-07-05,460.0
2010-07-06,462.0
2010-07-07,457.0
2010-07-08,459.0
2010-07-11,457.0
2010-07-12,464.0
2010-07-13,451.0
2010-07-14,450.0
2010-07-15,449.0
2010-07-18,460.0
2010-07-19,462.0
2010-07-20,460.0
2010-07-21,455.0
2010-07-22,479.0
2010-07-25,470.0
2010-07-26,465.0
2010-07-27,462.0
2010-07-28,465.0
2010-07-29,465.0
2010-08-01,455.0
2010-08-02,448.0
2010-08-03,445.0
2010-08-04,450.0
2010-08-05,459.0
2010-08-08,452.0
2010-08-09,454.0
2010-08-10,443.0
2010-08-11,451.0
2010-08-12,441.0
2010-08-15,444.0
2010-08-16,430.0
2010-08-17,435.0
2010-08-18,432.0
2010-08-19,431.0
2010-08-22,420.0
2010-08-23,410.0
2010-08-26,426.0
2010-08-29,440.0
2010-08-30,436.0
2010-08-31,416.0
2010-09-02,410.0
2010-09-05,415.0
2010-09-06,394.0
2010-09-07,408.0
2010-09-08,408.0
2010-09-09,409.0
2010-09-12,400.0
2010-09-13,400.0
2010-09-14,401.0
2010-09-15,403.0
2010-09-16,406.0
2010-09-19,400.0
2010-09-20,411.0
2010-09-21,440.0
2010-09-23,440.0
2010-09-26,425.0
2010-09-27,423.0
2010-09-28,443.0
2010-09-29,442.0
2010-09-30,441.0
2010-10-03,442.0
2010-10-04,442.0
2010-10-07,440.0
2010-10-10,480.0
2010-10-11,476.0
2010-10-12,467.0
2010-10-13,465.0
2010-10-21,460.0
2010-10-24,465.0
2010-10-25,470.0
2010-10-26,476.0
2010-10-27,475.0
2010-10-28,470.0
2010-10-31,475.0
2010-11-01,475.0
2010-11-02,475.0
2010-11-03,475.0
2010-11-04,475.0
2010-11-09,482.0
2010-11-10,480.0
2010-11-11,485.0
2010-11-14,486.0
2010-11-15,521.0
2010-11-16,523.0
2010-11-18,520.0
2010-11-22,524.0
2010-11-24,452.0
2010-11-25,447.0
2010-11-29,447.0
2010-11-30,446.0
2010-12-02,440.0
2010-12-05,440.0
2010-12-06,432.0
2010-12-07,423.0
2010-12-08,402.0
2010-12-09,402.0
2010-12-12,410.0
2010-12-13,420.0
2010-12-14,418.0
2010-12-15,424.0
2010-12-16,425.0
2010-12-20,428.0
2010-12-22,426.0
2010-12-23,430.0
2010-12-26,439.0
2010-12-27,432.0
2010-12-28,438.0
2010-12-29,442.0
2011-01-02,447.0
2011-01-03,439.0
2011-01-04,440.0
2011-01-05,447.0
2011-01-06,445.0
2011-01-09,445.0
2011-01-10,446.0
2011-01-11,445.0
2011-01-13,450.0
2011-01-16,447.0
2011-01-17,446.0
2011-01-18,450.0
2011-01-19,451.0
2011-01-20,450.0
2011-01-24,450.0
2011-01-31,455.0
2011-02-01,448.0
2011-02-02,456.0
2011-02-03,455.0
2011-02-06,446.0
2011-02-07,455.0
2011-02-08,460.0
2011-02-09,450.0
2011-02-10,454.0
2011-02-13,459.0
2011-02-14,460.0
2011-02-15,462.0
2011-02-16,460.0
2011-02-17,474.0
2011-02-20,482.0
2011-02-21,474.0
2011-02-22,483.0
2011-02-23,474.0
2011-02-24,460.0
2011-02-27,460.0
2011-02-28,460.0
2011-03-01,452.0
2011-03-03,454.0
2011-03-07,460.0
2011-03-09,458.0
2011-03-10,455.0
2011-03-13,454.0
2011-03-14,445.0
2011-03-15,430.0
2011-03-16,417.0
2011-03-17,412.0
2011-03-20,423.0
2011-03-21,426.0
2011-03-22,425.0
2011-03-23,429.0
2011-03-24,425.0
2011-03-27,425.0
2011-03-28,425.0
2011-03-29,412.0
