Date,Open
2007-05-31,111.0
2008-01-14,111.0
2008-01-20,111.0
2008-01-21,115.0
2008-03-09,123.0
2008-03-11,125.0
2008-03-26,127.0
2008-04-22,129.0
2008-05-04,131.0
2008-05-07,137.0
2008-05-08,139.0
2008-05-21,141.0
2008-06-02,145.0
2008-06-04,147.0
2008-06-10,143.0
2008-07-10,145.0
2008-08-10,154.0
2008-08-20,157.0
2008-08-25,160.0
2008-08-31,163.0
2008-09-24,166.0
2008-11-23,166.0
2008-11-27,178.0
2008-12-16,181.0
2009-01-05,178.0
2009-01-07,178.0
2009-01-12,178.0
2009-01-13,181.0
2009-01-26,181.0
2009-02-16,184.0
2009-02-19,180.0
2009-05-13,180.0
2009-08-11,180.0
2009-10-08,183.0
2009-10-11,186.0
2010-03-18,192.0
2010-04-22,192.0
2010-05-17,171.0
2010-05-18,170.0
2010-06-06,170.0
2010-06-09,167.0
2010-06-28,170.0
2010-07-04,164.0
2010-07-05,158.0
2010-07-12,152.0
2010-07-13,145.0
2010-07-19,143.0
2010-07-20,135.0
2010-07-21,131.0
2010-08-03,129.0
2010-08-04,127.0
2010-08-08,127.0
2010-08-11,129.0
2010-08-19,131.0
2010-08-30,129.0
2010-09-12,127.0
2010-11-21,128.0
2010-11-24,126.0
2010-12-22,130.0
2010-12-23,132.0
2010-12-27,134.0
2010-12-29,136.0
2011-01-10,136.0
2011-02-02,138.0
2011-03-16,133.0
2011-03-22,131.0
2011-03-24,131.0
2011-03-31,129.0
2011-05-02,125.0
2011-05-09,127.0
2011-05-18,125.0
2011-06-14,129.0
2011-07-04,120.0
2011-08-25,118.0
2011-08-28,116.0
2011-11-08,116.0
2012-01-04,114.0
2012-01-05,112.0
2012-01-31,110.0
2012-02-01,108.0
2012-02-02,106.0
2012-02-05,106.0
2012-02-07,98.0
2012-02-12,98.0
2012-02-21,97.0
2012-03-01,100.0
2012-03-12,97.0
2012-03-13,95.0
2012-04-05,95.0
2012-04-10,96.0
2012-07-04,97.0
2012-08-14,98.0
2012-08-19,99.0
2012-08-21,100.0
2012-08-27,106.0
2012-09-02,110.0
2012-10-01,112.0
2012-10-02,122.0
2012-10-03,124.0
2012-10-04,136.0
2012-10-07,146.0
2012-10-08,151.0
2012-10-11,150.0
2012-10-14,147.0
2012-10-15,143.0
2012-10-17,146.0
2012-10-18,145.0
2012-11-01,143.0
2012-11-04,145.0
2012-11-05,144.0
2012-11-06,147.0
2012-11-20,146.0
2012-11-25,144.0
2012-11-26,142.0
2012-11-29,140.0
2012-12-09,140.0
2012-12-10,138.0
2012-12-17,136.0
2012-12-19,138.0
2013-01-21,136.0
2013-01-22,144.0
2013-01-28,146.0
2013-01-30,141.0
2013-01-31,141.0
2013-02-10,140.0
2013-02-12,146.0
2013-02-13,148.0
2013-02-14,147.0
2013-02-20,148.0
2013-05-07,146.0
2013-06-06,131.0
2013-06-09,132.0
2013-06-10,134.0
2013-06-20,134.0
2013-06-26,132.0
2013-07-02,132.0
2013-07-03,133.0
2013-07-09,134.0
2013-07-15,134.0
2013-07-16,134.0
2013-07-17,134.0
2013-07-18,136.0
2013-07-29,138.0
2013-07-31,142.0
2013-08-01,144.0
2013-08-05,144.0
2013-08-06,158.0
2013-08-07,172.0
2013-08-11,164.0
2013-08-12,155.0
2013-08-13,149.0
2013-08-14,153.0
2013-08-20,162.0
2013-08-25,178.0
2013-08-26,195.0
2013-08-27,214.0
2013-08-29,235.0
2013-09-01,258.0
2013-09-02,283.0
2013-09-03,275.0
2013-09-04,265.0
2013-09-05,250.0
2013-09-08,241.0
2013-09-09,248.0
2013-09-10,247.0
2013-09-11,251.0
2013-09-15,248.0
2013-09-16,251.0
2013-09-17,252.0
2013-09-19,251.0
2013-09-22,250.0
2013-09-24,250.0
2013-09-25,247.0
2013-09-26,249.0
2013-09-29,250.0
2013-09-30,247.0
2013-10-02,248.0
2013-10-03,247.0
2013-10-07,250.0
2013-10-08,245.0
2013-10-09,242.0
2013-10-10,246.0
2013-10-21,244.0
2013-10-22,262.0
2013-10-23,270.0
2013-10-24,260.0
2013-10-27,254.0
2013-10-28,251.0
2013-10-29,246.0
2013-10-30,246.0
2013-10-31,250.0
2013-11-07,253.0
2013-11-10,245.0
2013-11-11,241.0
2013-11-12,245.0
2013-11-13,255.0
2013-11-14,263.0
2013-11-24,263.0
2013-11-25,268.0
2013-11-26,285.0
2013-11-27,313.0
2013-11-28,344.0
2013-12-01,378.0
2013-12-02,415.0
2013-12-03,456.0
2013-12-04,499.0
2013-12-05,470.0
2013-12-08,424.0
2013-12-09,400.0
2013-12-10,360.0
2013-12-11,357.0
2013-12-12,385.0
2013-12-15,392.0
2013-12-16,393.0
2013-12-19,400.0
2013-12-22,395.0
2013-12-23,419.0
2013-12-24,441.0
2013-12-26,451.0
2013-12-29,451.0
2013-12-31,466.0
2014-01-01,469.0
2014-01-02,442.0
2014-01-05,451.0
2014-01-06,470.0
2014-01-07,462.0
2014-01-08,471.0
