Date,Open
2010-05-12,865.0
2010-05-20,337.0
2010-05-23,313.0
2010-05-24,285.0
2010-05-25,257.0
2010-05-26,232.0
2010-05-30,209.0
2010-05-31,198.0
2010-06-01,188.0
2010-06-02,197.0
2010-06-03,198.0
2010-06-06,194.0
2010-06-07,199.0
2010-06-08,200.0
2010-06-09,202.0
2010-06-10,217.0
2010-06-13,226.0
2010-06-14,226.0
2010-06-15,222.0
2010-06-16,229.0
2010-06-17,231.0
2010-06-20,240.0
2010-06-21,260.0
2010-06-22,270.0
2010-06-23,270.0
2010-06-24,255.0
2010-06-28,243.0
2010-06-29,230.0
2010-06-30,232.0
2010-07-01,225.0
2010-07-04,231.0
2010-07-05,232.0
2010-07-06,233.0
2010-07-07,233.0
2010-07-08,236.0
2010-07-11,244.0
2010-07-12,242.0
2010-07-13,238.0
2010-07-14,240.0
2010-07-15,245.0
2010-07-18,257.0
2010-07-19,249.0
2010-07-20,250.0
2010-07-21,253.0
2010-07-22,270.0
2010-07-25,265.0
2010-07-26,255.0
2010-07-27,251.0
2010-07-28,248.0
2010-07-29,244.0
2010-08-01,245.0
2010-08-02,245.0
2010-08-03,247.0
2010-08-04,243.0
2010-08-05,240.0
2010-08-08,244.0
2010-08-09,240.0
2010-08-10,233.0
2010-08-11,237.0
2010-08-12,237.0
2010-08-15,239.0
2010-08-16,241.0
2010-08-17,242.0
2010-08-18,243.0
2010-08-19,240.0
2010-08-22,243.0
2010-08-23,241.0
2010-08-26,232.0
2010-08-29,230.0
2010-08-30,230.0
2010-08-31,227.0
2010-09-02,220.0
2010-09-05,215.0
2010-09-06,205.0
2010-09-07,221.0
2010-09-08,233.0
2010-09-09,235.0
2010-09-12,227.0
2010-09-13,221.0
2010-09-14,224.0
2010-09-15,220.0
2010-09-16,226.0
2010-09-19,228.0
2010-09-20,220.0
2010-09-21,225.0
2010-09-23,225.0
2010-09-26,223.0
2010-09-27,225.0
2010-09-28,227.0
2010-09-29,226.0
2010-09-30,224.0
2010-10-03,232.0
2010-10-04,222.0
2010-10-05,233.0
2010-10-06,232.0
2010-10-07,230.0
2010-10-10,240.0
2010-10-11,243.0
2010-10-12,245.0
2010-10-20,246.0
2010-10-21,246.0
2010-10-24,242.0
2010-10-25,246.0
2010-10-26,242.0
2010-10-27,242.0
2010-10-28,244.0
2010-10-31,243.0
2010-11-01,244.0
2010-11-02,241.0
2010-11-03,245.0
2010-11-04,241.0
2010-11-09,255.0
2010-11-10,250.0
2010-11-11,252.0
2010-11-14,260.0
2010-11-15,262.0
2010-11-16,263.0
2010-11-18,270.0
2010-11-21,269.0
2010-11-22,274.0
2010-11-23,265.0
2010-11-24,275.0
2010-11-25,285.0
2010-11-28,283.0
2010-11-29,271.0
2010-11-30,265.0
2010-12-01,265.0
2010-12-02,261.0
2010-12-05,264.0
2010-12-06,265.0
2010-12-07,265.0
2010-12-08,262.0
2010-12-09,260.0
2010-12-12,265.0
2010-12-13,256.0
2010-12-14,254.0
2010-12-15,255.0
2010-12-16,253.0
2010-12-19,255.0
2010-12-20,255.0
2010-12-22,258.0
2010-12-23,250.0
2010-12-26,260.0
2010-12-27,262.0
2010-12-28,256.0
2010-12-29,255.0
2011-01-02,253.0
2011-01-03,252.0
2011-01-04,260.0
2011-01-05,260.0
2011-01-06,251.0
2011-01-09,260.0
2011-01-10,257.0
2011-01-11,255.0
2011-01-12,253.0
