Date,Open
2013-12-23,131.0
2013-12-24,121.0
2013-12-26,133.0
2013-12-29,146.0
2013-12-31,160.0
2014-01-01,176.0
2014-01-02,169.0
2014-01-05,163.0
2014-01-06,160.0
2014-01-07,150.0
2014-01-08,145.0
2014-01-09,152.0
2014-01-12,151.0
2014-01-13,154.0
2014-01-14,160.0
2014-01-16,163.0
2014-01-19,155.0
2014-01-20,153.0
2014-01-21,150.0
2014-01-22,146.0
2014-01-23,142.0
2014-01-26,147.0
2014-01-27,144.0
2014-01-28,150.0
2014-01-29,151.0
2014-02-02,149.0
2014-02-03,145.0
2014-02-04,145.0
2014-02-05,145.0
2014-02-06,143.0
2014-02-09,141.0
2014-02-10,142.0
2014-02-11,142.0
2014-02-12,143.0
2014-02-13,141.0
2014-02-16,142.0
2014-02-17,135.0
2014-02-18,137.0
2014-02-20,140.0
2014-02-23,142.0
2014-02-24,138.0
2014-02-25,142.0
2014-02-26,142.0
2014-03-03,139.0
2014-03-04,133.0
2014-03-05,123.0
2014-03-06,129.0
2014-03-09,127.0
2014-03-10,133.0
2014-03-11,129.0
2014-03-12,130.0
2014-03-13,126.0
2014-03-17,130.0
2014-03-18,123.0
2014-03-19,120.0
2014-03-20,118.0
2014-03-23,120.0
2014-03-24,119.0
2014-03-25,119.0
2014-03-26,122.0
2014-03-27,120.0
2014-03-31,122.0
2014-04-01,122.0
2014-04-02,130.0
2014-04-03,131.0
2014-04-06,131.0
2014-04-07,130.0
2014-04-09,128.0
2014-04-10,124.0
2014-04-13,124.0
2014-04-15,118.0
2014-04-16,121.0
2014-04-17,120.0
2014-04-20,126.0
2014-04-21,122.0
2014-04-22,120.0
2014-04-23,120.0
2014-04-27,119.0
2014-04-28,124.0
2014-04-29,122.0
2014-04-30,118.0
2014-05-04,120.0
2014-05-05,122.0
2014-05-06,126.0
2014-05-07,127.0
2014-05-08,121.0
2014-05-11,119.0
2014-05-12,118.0
2014-05-13,122.0
2014-05-15,126.0
2014-05-18,124.0
2014-05-19,118.0
2014-05-20,116.0
2014-05-21,124.0
2014-05-22,127.0
2014-05-25,131.0
2014-05-26,130.0
2014-05-27,123.0
2014-05-28,125.0
2014-06-01,128.0
2014-06-02,126.0
2014-06-03,127.0
2014-06-04,123.0
2014-06-05,129.0
2014-06-08,123.0
2014-06-09,126.0
2014-06-10,129.0
2014-06-11,128.0
2014-06-12,126.0
2014-06-15,130.0
