Date,Open
2011-02-21,30.0
2011-03-09,130.0
2011-03-16,126.0
2011-03-23,124.0
2011-03-24,112.0
2011-03-27,101.0
2011-03-29,98.0
2011-04-04,97.0
2011-04-19,96.0
2011-05-02,95.0
2011-05-03,87.0
2011-05-04,88.0
2011-05-05,87.0
2011-05-08,85.0
2011-05-12,85.0
2011-05-18,86.0
2011-05-22,82.0
2011-05-23,81.0
2011-05-24,78.0
2011-05-25,78.0
2011-05-26,78.0
2011-05-30,76.0
2011-05-31,78.0
2011-06-01,79.0
2011-06-02,79.0
2011-06-05,78.0
2011-06-08,76.0
2011-06-09,76.0
2011-06-14,76.0
2011-07-28,76.0
2011-07-31,74.0
2011-08-10,75.0
2011-08-16,76.0
2011-08-17,76.0
2011-08-18,77.0
2011-08-23,75.0
2011-08-24,74.0
2011-08-25,73.0
2011-08-28,74.0
2011-08-29,74.0
2011-08-30,71.0
2011-09-05,68.0
2011-09-08,67.0
2011-09-20,67.0
2011-09-22,64.0
2011-09-25,63.0
2011-09-26,64.0
2011-10-12,64.0
2011-10-13,66.0
2011-10-17,66.0
2011-10-19,64.0
2011-10-20,58.0
2011-10-23,56.0
2011-10-24,55.0
2011-10-25,54.0
2011-10-30,53.0
2011-10-31,49.0
2011-11-13,47.0
2011-11-14,47.0
2011-11-17,47.0
2011-11-21,46.0
2011-11-23,46.0
2011-11-24,46.0
2011-11-27,46.0
2011-11-28,46.0
2011-11-30,46.0
2011-12-01,46.0
2011-12-06,46.0
2011-12-07,46.0
2011-12-08,47.0
2011-12-15,47.0
2011-12-19,47.0
2011-12-26,47.0
2011-12-27,46.0
2011-12-28,46.0
2011-12-29,46.0
2012-01-01,45.0
2012-01-02,43.0
2012-01-03,42.0
2012-01-04,43.0
2012-01-05,44.0
2012-01-08,44.0
2012-01-09,44.0
2012-01-11,44.0
2012-01-12,44.0
2012-01-16,44.0
2012-01-17,44.0
2012-01-18,45.0
2012-01-22,46.0
2012-01-25,45.0
2012-01-26,44.0
2012-02-05,44.0
2012-02-15,44.0
2012-02-16,44.0
2012-02-21,44.0
2012-02-26,41.0
2012-02-27,41.0
2012-02-28,37.0
2012-03-01,39.0
2012-03-04,38.0
2012-03-05,37.0
2012-03-06,40.0
2012-03-11,40.0
2012-03-13,41.0
2012-03-14,40.0
2012-03-15,39.0
2012-03-18,39.0
2012-03-19,38.0
2012-03-20,37.0
2012-03-21,35.0
2012-03-25,37.0
2012-03-27,36.0
2012-03-28,36.0
2012-03-29,36.0
2012-04-04,34.0
2012-04-05,34.0
2012-04-12,33.0
2012-04-19,34.0
2012-04-22,35.0
2012-05-09,35.0
2012-05-10,36.0
2012-05-13,36.0
2012-05-14,36.0
2012-05-17,33.0
2012-05-21,34.0
2012-05-22,34.0
2012-05-24,35.0
2012-06-05,35.0
2012-06-11,34.0
2012-06-14,34.0
2012-06-17,33.0
2012-06-18,34.0
2012-06-19,34.0
2012-06-20,34.0
2012-06-25,33.0
2012-06-26,34.0
2012-06-27,34.0
2012-07-18,34.0
2012-07-26,34.0
2012-07-29,35.0
2012-07-31,35.0
2012-08-01,35.0
2012-08-07,36.0
2012-08-12,35.0
2012-08-16,35.0
2012-08-21,36.0
2012-08-22,36.0
2012-08-23,36.0
2012-08-26,36.0
2012-08-29,36.0
2012-09-11,36.0
2012-09-12,36.0
2012-09-24,35.0
2012-09-25,34.0
2012-09-26,34.0
2012-09-27,33.0
2012-09-30,33.0
2012-10-01,34.0
2012-10-02,33.0
2012-10-04,34.0
2012-10-07,34.0
2012-10-09,35.0
2012-10-18,36.0
2012-11-06,36.0
2012-11-07,36.0
2012-11-08,37.0
2012-11-22,37.0
2012-12-09,36.0
2012-12-17,36.0
2012-12-18,36.0
2013-03-17,36.0
2013-03-19,33.0
2013-03-20,31.0
2013-03-21,28.0
2013-03-24,26.0
2013-03-27,25.0
2013-03-31,27.0
2013-04-01,27.0
2013-04-02,27.0
2013-04-04,26.0
2013-04-08,26.0
2013-04-09,25.0
2013-04-11,25.0
2013-04-15,25.0
2013-04-17,25.0
2013-04-18,25.0
2013-04-22,25.0
2013-04-29,25.0
2013-04-30,24.0
2013-05-05,25.0
2013-05-07,25.0
2013-05-12,24.0
2013-05-13,25.0
2013-05-14,28.0
2013-05-15,31.0
2013-05-16,34.0
2013-05-19,37.0
2013-05-20,41.0
2013-05-21,45.0
2013-05-22,50.0
2013-05-28,48.0
2013-05-30,50.0
