Date,Open
2007-06-12,0.0
2007-06-13,144.0
2007-06-18,154.0
2007-06-21,161.0
2007-06-25,169.0
2007-06-26,180.0
2007-06-27,183.0
2007-07-01,192.0
2007-07-02,201.0
2007-07-03,211.0
2007-07-05,221.0
2007-07-10,232.0
2007-07-11,248.0
2007-07-12,260.0
2007-07-15,273.0
2007-07-16,280.0
2007-07-17,294.0
2007-07-18,285.0
2007-07-19,286.0
2007-07-22,288.0
2007-07-25,288.0
2007-07-30,285.0
2007-07-31,280.0
2007-08-07,285.0
2007-08-09,285.0
2007-08-14,280.0
2007-09-12,280.0
2007-11-01,285.0
2007-11-06,290.0
2007-11-07,295.0
2007-11-12,296.0
2007-11-14,307.0
2008-01-22,312.0
2008-01-28,315.0
2008-01-31,315.0
2008-02-03,315.0
2008-02-04,321.0
2008-02-05,327.0
2008-02-06,333.0
2008-02-12,339.0
2008-02-18,351.0
2008-02-20,372.0
2008-02-21,386.0
2008-02-25,400.0
2008-03-05,412.0
2008-03-10,428.0
2008-03-11,436.0
2008-03-13,452.0
2008-03-17,479.0
2008-03-18,432.0
2008-03-19,405.0
2008-03-20,413.0
2008-03-23,415.0
2008-03-30,415.0
2008-04-27,410.0
2008-05-21,407.0
2008-05-22,447.0
2008-05-25,491.0
2008-05-26,540.0
2008-05-27,594.0
2008-06-02,617.0
2008-06-03,678.0
2008-06-04,725.0
2008-06-05,790.0
2008-06-08,821.0
2008-06-09,853.0
2008-06-11,836.0
2008-06-12,860.0
2008-06-15,845.0
2008-06-16,814.0
2008-06-17,815.0
2008-06-19,831.0
2008-06-22,831.0
2008-06-26,815.0
2008-07-02,800.0
2008-07-29,800.0
2008-08-05,785.0
2008-08-21,800.0
2008-08-24,800.0
2008-08-27,800.0
2008-08-28,864.0
2008-09-02,914.0
2008-09-03,935.0
2008-09-07,930.0
2008-09-09,966.0
2008-09-11,1040.0
2008-09-15,1055.0
2008-09-21,1141.0
2008-09-22,1160.0
2008-09-23,1170.0
2008-09-24,1170.0
2008-09-25,1150.0
2008-10-01,1161.0
2008-10-15,1161.0
2008-10-20,1150.0
2008-10-21,1127.0
2008-10-22,1127.0
2008-10-23,1183.0
2008-10-26,1203.0
2008-10-27,1230.0
2008-11-06,1330.0
2008-11-09,1198.0
2008-11-11,1198.0
2008-11-12,1175.0
2008-11-13,1175.0
2008-11-19,1085.0
2008-11-23,1003.0
2008-11-24,903.0
2008-11-25,900.0
2008-11-27,873.0
2008-12-04,875.0
2008-12-11,690.0
2008-12-14,621.0
2008-12-15,590.0
2008-12-16,575.0
2008-12-17,575.0
2009-02-02,589.0
2009-02-03,600.0
2009-02-09,612.0
2009-04-12,600.0
2009-04-27,612.0
2009-04-29,612.0
2009-04-30,600.0
2009-05-03,600.0
2009-05-04,605.0
2009-05-07,622.0
2009-05-11,634.0
2009-05-13,625.0
2009-05-14,613.0
2009-06-09,625.0
2009-06-24,625.0
2009-07-29,625.0
2009-07-30,635.0
2009-08-03,635.0
2009-08-10,647.0
2009-08-17,711.0
2009-08-19,716.0
2009-08-20,729.0
2009-08-26,757.0
2009-08-30,769.0
2009-08-31,754.0
2009-09-01,755.0
2009-09-02,715.0
2009-09-06,728.0
2009-09-07,720.0
2009-09-08,730.0
2009-09-09,705.0
2009-09-10,635.0
2009-09-13,630.0
2009-09-14,618.0
2009-09-15,620.0
2009-09-16,612.0
2009-09-24,610.0
2009-10-13,600.0
2009-11-02,588.0
2009-11-19,580.0
2009-11-22,570.0
2009-11-24,560.0
2009-12-03,540.0
2009-12-08,539.0
2009-12-09,539.0
2009-12-10,545.0
2009-12-14,545.0
2009-12-15,555.0
2009-12-27,566.0
2009-12-28,570.0
2010-01-03,555.0
2010-01-10,555.0
2010-01-17,560.0
2010-01-27,570.0
2010-02-04,560.0
2010-02-08,550.0
2010-02-10,540.0
2010-02-11,486.0
2010-02-15,460.0
2010-02-17,501.0
2010-02-18,510.0
2010-03-30,520.0
2010-04-06,520.0
2010-05-10,515.0
2010-06-20,505.0
2010-08-26,495.0
2010-10-07,495.0
2010-11-23,495.0
2010-12-09,486.0
2011-02-09,477.0
2011-02-10,433.0
2011-02-17,416.0
2011-03-09,400.0
2011-03-10,400.0
2011-03-14,364.0
2011-03-21,357.0
2011-05-10,322.0
2011-07-11,322.0
2011-07-13,316.0
2011-08-02,316.0
2011-08-28,310.0
2011-09-18,310.0
2012-04-04,304.0
2012-04-16,304.0
2012-05-17,298.0
2012-05-20,293.0
2012-05-21,290.0
2012-06-03,290.0
2012-06-04,285.0
2012-06-05,275.0
2012-06-06,248.0
2012-09-02,232.0
2012-09-03,132.0
2012-09-23,128.0
2012-09-24,130.0
2012-09-25,134.0
2012-09-26,142.0
2012-09-27,142.0
2012-09-30,150.0
2012-10-08,147.0
2012-11-28,147.0
2013-02-25,147.0
