Date,Open
2006-12-03,0.0
2006-12-28,100.0
2007-01-18,100.0
2007-02-04,100.0
2007-02-05,103.0
2007-02-08,103.0
2007-02-12,108.0
2007-02-20,106.0
2007-04-19,111.0
2007-05-21,111.0
2007-06-10,111.0
2007-06-19,111.0
2007-08-09,111.0
2007-08-14,111.0
2007-08-16,111.0
2007-11-22,111.0
2007-12-23,109.0
2008-02-14,111.0
2008-03-05,110.0
2008-03-19,108.0
2008-03-20,114.0
2008-03-25,122.0
2008-04-21,122.0
2008-07-13,124.0
2008-07-28,122.0
2008-11-20,124.0
2009-01-05,128.0
2009-02-22,134.0
2009-03-11,144.0
2009-06-18,146.0
2009-07-05,148.0
2009-07-16,150.0
2009-09-01,147.0
2009-12-06,159.0
2009-12-07,160.0
2010-01-12,160.0
2010-02-08,163.0
2010-03-04,165.0
2010-09-08,168.0
2010-09-14,168.0
2010-09-15,165.0
2010-09-27,165.0
2010-09-29,168.0
2010-09-30,171.0
2010-10-21,183.0
2010-11-01,183.0
2010-11-25,183.0
2011-01-03,186.0
2011-01-06,185.0
2011-01-10,182.0
2011-02-10,185.0
2011-03-07,188.0
2011-05-11,191.0
2011-07-24,182.0
2011-08-03,130.0
2011-11-24,118.0
2011-11-27,116.0
