Date,Open
2012-06-05,124.0
2012-06-12,112.0
2012-08-16,114.0
2013-08-12,106.0
2013-09-01,104.0
2013-09-09,103.0
2013-09-10,109.0
2013-09-11,107.0
2013-09-12,102.0
2013-09-15,108.0
2013-09-16,105.0
2013-09-17,102.0
2013-09-19,106.0
2013-12-22,107.0
2014-01-26,105.0
2014-02-04,104.0
2014-02-11,108.0
2014-04-02,110.0
2014-04-22,112.0
2014-05-07,110.0
2014-05-08,112.0
2014-05-12,116.0
2014-05-13,118.0
2014-05-19,120.0
2014-05-22,122.0
2014-06-03,124.0
2014-06-19,126.0
2014-08-07,121.0
2014-09-01,121.0
2014-09-07,123.0
2014-09-18,127.0
2014-09-21,129.0
2014-09-22,131.0
2014-09-28,133.0
2014-10-13,143.0
2014-10-14,157.0
2014-10-16,160.0
2014-10-20,163.0
2014-10-21,169.0
2014-11-13,172.0
2014-11-16,157.0
2014-11-17,148.0
2014-11-18,150.0
2014-11-20,147.0
2014-11-23,148.0
2014-11-25,150.0
2014-12-02,159.0
2014-12-03,162.0
2014-12-07,156.0
2014-12-11,159.0
2014-12-18,162.0
2014-12-22,165.0
2015-01-11,165.0
2015-01-27,162.0
2015-02-09,165.0
2015-02-11,168.0
2015-02-23,174.0
2015-02-26,180.0
2015-03-01,186.0
2015-03-03,198.0
2015-03-09,198.0
2015-03-10,217.0
2015-03-11,225.0
2015-03-12,247.0
2015-03-15,261.0
2015-03-16,271.0
2015-03-22,298.0
2015-03-23,311.0
2015-03-24,318.0
2015-03-26,330.0
