Date,Open
2012-04-02,0.0
2012-04-30,111.0
2012-12-10,111.0
2013-01-23,103.0
2013-02-10,103.0
2013-02-12,103.0
2013-02-21,103.0
2013-09-30,103.0
2014-03-26,103.0
2014-03-27,107.0
2014-03-31,113.0
2014-04-01,115.0
2014-04-02,121.0
2014-04-06,117.0
2014-04-07,111.0
2014-04-09,107.0
2014-04-16,109.0
2014-04-17,110.0
2014-04-20,106.0
2014-04-21,109.0
2014-04-22,111.0
2014-04-27,110.0
2014-04-28,116.0
2014-04-29,116.0
2014-04-30,117.0
2014-05-06,119.0
2014-05-11,121.0
2014-05-13,121.0
2014-05-15,121.0
2014-05-18,123.0
2014-05-25,123.0
2014-05-26,121.0
2014-05-27,121.0
2014-05-28,121.0
2014-06-01,119.0
2014-06-03,117.0
2014-06-04,115.0
2014-06-05,117.0
2014-06-08,119.0
2014-06-09,117.0
2014-07-01,123.0
2014-07-06,125.0
2014-07-07,129.0
2014-07-08,131.0
2014-07-13,135.0
2014-07-15,141.0
2014-07-16,145.0
2014-07-17,149.0
2014-07-24,163.0
2014-07-27,166.0
2014-07-28,169.0
2014-07-31,169.0
2014-08-03,181.0
2014-08-04,181.0
2014-08-05,184.0
2014-08-06,193.0
2014-08-07,212.0
2014-08-14,220.0
2014-08-18,218.0
2014-08-19,214.0
2014-08-20,212.0
2014-08-28,216.0
2014-08-31,212.0
2014-09-24,204.0
2014-10-09,190.0
2014-10-20,172.0
2014-10-21,160.0
2014-10-27,150.0
2014-10-28,147.0
2014-10-30,154.0
2014-11-02,151.0
2014-11-04,147.0
2014-11-05,143.0
2014-11-11,145.0
2014-11-12,147.0
2014-11-13,151.0
2014-11-16,155.0
2014-11-18,152.0
2014-11-20,149.0
2014-11-23,154.0
2014-11-25,146.0
2014-11-30,142.0
2014-12-02,144.0
2014-12-08,148.0
2014-12-09,149.0
2014-12-22,149.0
2014-12-24,151.0
2014-12-28,147.0
2014-12-29,146.0
2014-12-31,146.0
2015-01-01,148.0
2015-01-05,162.0
2015-01-06,157.0
2015-01-07,155.0
2015-01-08,164.0
2015-01-11,165.0
2015-01-13,162.0
2015-01-18,171.0
2015-01-19,177.0
2015-01-20,192.0
2015-01-22,211.0
2015-01-25,232.0
2015-01-26,255.0
2015-01-27,280.0
2015-01-28,272.0
2015-02-01,277.0
2015-02-02,297.0
2015-02-03,315.0
2015-02-04,309.0
2015-02-05,327.0
2015-02-08,315.0
2015-02-09,309.0
2015-02-10,305.0
2015-02-11,299.0
2015-02-12,314.0
2015-02-15,300.0
2015-02-16,309.0
2015-02-18,310.0
2015-02-23,298.0
2015-02-25,294.0
2015-03-03,292.0
2015-03-10,288.0
2015-03-11,281.0
2015-03-12,285.0
2015-03-15,296.0
2015-03-16,286.0
2015-03-17,278.0
2015-03-18,283.0
2015-03-19,285.0
2015-03-22,278.0
2015-03-23,279.0
2015-03-24,284.0
2015-03-26,275.0
