Date,Open
2008-01-09,124.0
2008-02-20,10.0
2008-03-12,162.0
2008-03-13,165.0
2008-03-17,165.0
2008-03-18,165.0
2008-03-19,180.0
2008-03-20,198.0
2008-04-02,217.0
2008-04-16,238.0
2008-04-22,255.0
2008-04-28,280.0
2008-04-30,280.0
2008-05-06,280.0
2008-05-07,280.0
2008-05-08,295.0
2008-05-11,324.0
2008-05-12,356.0
2008-05-13,391.0
2008-05-15,429.0
2008-05-18,471.0
2008-05-21,518.0
2008-05-22,569.0
2008-05-25,625.0
2008-05-26,687.0
2008-05-27,755.0
2008-06-01,771.0
2008-06-02,775.0
2008-06-03,790.0
2008-06-04,717.0
2008-06-05,730.0
2008-06-08,744.0
2008-06-09,770.0
2008-06-10,831.0
2008-06-11,847.0
2008-06-12,835.0
2008-06-15,805.0
2008-06-16,790.0
2008-06-17,712.0
2008-06-18,754.0
2008-06-19,770.0
2008-06-22,800.0
2008-06-23,799.0
2008-06-24,828.0
2008-06-25,810.0
2008-06-26,775.0
2008-06-29,753.0
2008-06-30,705.0
2008-07-01,711.0
2008-07-02,715.0
2008-07-03,701.0
2008-07-06,691.0
2008-07-07,681.0
2008-07-08,669.0
2008-07-09,709.0
2008-07-10,714.0
2008-07-13,727.0
2008-07-14,740.0
2008-07-15,754.0
2008-07-16,754.0
2008-07-17,770.0
2008-07-20,800.0
2008-07-21,836.0
2008-07-22,861.0
2008-07-23,852.0
2008-07-27,840.0
2008-07-28,855.0
2008-07-29,840.0
2008-07-30,890.0
2008-07-31,940.0
2008-08-03,985.0
2008-08-04,1002.0
2008-08-05,1000.0
2008-08-06,1040.0
2008-08-10,1060.0
2008-08-11,1010.0
2008-08-12,980.0
2008-08-13,955.0
2008-08-14,940.0
2008-08-18,958.0
2008-08-19,950.0
2008-08-20,930.0
2008-08-21,877.0
2008-08-24,950.0
2008-08-25,884.0
2008-08-26,883.0
2008-08-27,918.0
2008-08-28,895.0
2008-08-31,917.0
2008-09-02,920.0
2008-09-03,905.0
2008-09-04,887.0
2008-09-07,900.0
2008-09-08,903.0
2008-09-09,920.0
2008-09-10,905.0
2008-09-11,899.0
2008-09-15,916.0
2008-09-16,881.0
2008-09-17,885.0
2008-09-18,882.0
2008-09-21,881.0
2008-09-22,875.0
2008-09-23,855.0
2008-09-24,874.0
2008-09-25,845.0
2008-09-28,840.0
2008-09-29,850.0
2008-10-01,860.0
2008-10-13,880.0
2008-10-15,901.0
2008-10-22,882.0
2008-10-23,855.0
2008-10-26,826.0
2008-10-27,830.0
2008-11-02,851.0
2008-11-06,830.0
2008-11-10,815.0
2008-11-11,809.0
2008-11-12,799.0
2008-11-16,800.0
2008-11-19,785.0
2008-11-20,785.0
2008-11-27,785.0
2008-12-01,780.0
2008-12-03,780.0
2008-12-04,800.0
2008-12-07,780.0
2008-12-08,750.0
2008-12-10,785.0
2008-12-11,780.0
2008-12-14,770.0
2009-01-05,770.0
2009-02-04,785.0
2009-02-08,780.0
2009-02-16,765.0
2009-04-07,735.0
2009-04-29,736.0
2009-04-30,722.0
2009-05-07,725.0
2009-05-12,715.0
2009-05-24,750.0
2009-05-27,750.0
2009-05-31,735.0
2009-06-03,721.0
2009-07-06,720.0
2009-07-28,734.0
2009-08-04,720.0
2009-08-16,692.0
2009-08-19,705.0
2009-08-20,705.0
2009-08-23,700.0
2009-08-26,700.0
2009-09-02,700.0
2009-09-07,686.0
2009-09-10,623.0
2009-09-14,598.0
2009-09-15,587.0
2009-09-16,543.0
2009-09-17,511.0
2009-09-24,502.0
2009-10-04,526.0
2009-10-05,567.0
2009-10-06,589.0
2009-10-07,600.0
2009-10-08,598.0
2009-10-11,597.0
2009-10-12,575.0
2009-10-14,564.0
2009-10-15,533.0
2009-10-21,525.0
2009-10-25,535.0
2009-10-26,525.0
2009-10-27,540.0
2009-10-28,540.0
2009-10-29,570.0
2009-11-01,520.0
2009-11-02,512.0
2009-11-03,510.0
2009-11-04,513.0
2009-11-05,515.0
2009-11-08,538.0
2009-11-09,520.0
2009-11-10,525.0
2009-11-11,520.0
2009-11-12,520.0
2009-11-15,520.0
2009-11-16,522.0
2009-11-17,540.0
2009-11-18,550.0
2009-11-24,540.0
2009-11-25,525.0
2009-11-30,510.0
2009-12-01,500.0
2009-12-07,481.0
2009-12-09,472.0
2009-12-10,480.0
2009-12-14,481.0
2009-12-15,490.0
2009-12-16,499.0
2009-12-20,495.0
2009-12-21,490.0
2009-12-22,493.0
2009-12-23,486.0
2009-12-24,505.0
2009-12-27,508.0
2009-12-28,508.0
2009-12-29,500.0
2010-01-03,500.0
2010-01-04,481.0
2010-01-07,472.0
2010-01-13,480.0
2010-01-14,489.0
2010-01-25,490.0
2010-02-17,485.0
2010-03-07,476.0
2010-03-10,467.0
2010-03-11,467.0
2010-03-16,470.0
2010-03-18,461.0
2010-04-05,455.0
2010-04-22,450.0
2010-04-29,450.0
2010-05-11,441.0
2010-05-12,433.0
2010-05-20,395.0
2010-05-23,388.0
2010-05-24,381.0
2010-05-25,354.0
2010-05-26,389.0
2010-05-30,389.0
2010-05-31,395.0
2010-06-01,367.0
2010-06-02,342.0
2010-06-13,336.0
2010-06-14,368.0
2010-06-15,375.0
2010-06-16,380.0
2010-06-17,360.0
2010-06-23,346.0
2010-06-24,346.0
2010-06-28,343.0
2010-06-29,340.0
2010-06-30,341.0
2010-07-01,338.0
2010-07-04,340.0
2010-07-05,340.0
2010-07-06,335.0
2010-07-07,333.0
2010-07-11,333.0
2010-07-12,332.0
2010-07-13,338.0
2010-07-14,333.0
2010-07-15,321.0
2010-07-18,327.0
2010-07-19,319.0
2010-07-20,325.0
2010-07-21,326.0
2010-07-22,335.0
2010-07-25,348.0
2010-07-26,360.0
2010-07-27,360.0
2010-07-28,354.0
2010-07-29,348.0
2010-08-01,346.0
2010-08-02,350.0
2010-08-03,350.0
2010-08-04,348.0
2010-08-05,342.0
2010-08-08,323.0
2010-08-09,329.0
2010-08-10,330.0
2010-08-11,330.0
2010-08-12,324.0
2010-08-17,324.0
2010-08-18,320.0
2010-08-19,320.0
2010-08-23,331.0
2010-08-26,320.0
2010-08-29,315.0
2010-08-30,313.0
2010-08-31,314.0
2010-09-05,340.0
2010-09-06,329.0
2010-09-09,329.0
2010-09-13,332.0
2010-09-14,330.0
2010-09-15,324.0
2010-09-16,315.0
2010-09-19,315.0
2010-09-23,315.0
2010-09-26,318.0
2010-09-28,312.0
2010-09-29,310.0
2010-10-03,310.0
2010-10-04,316.0
2010-10-05,315.0
2010-10-07,321.0
2010-10-20,331.0
2010-10-24,325.0
2010-10-31,319.0
2010-11-11,330.0
2010-11-14,335.0
2010-11-15,348.0
2010-11-16,344.0
2010-11-18,340.0
2010-11-21,341.0
2010-11-22,341.0
2010-11-24,335.0
2010-11-28,340.0
2010-11-29,330.0
2010-12-01,330.0
2010-12-02,327.0
2010-12-05,325.0
2010-12-06,325.0
2010-12-07,325.0
2010-12-08,320.0
2010-12-09,320.0
2010-12-12,317.0
2010-12-14,318.0
2010-12-15,334.0
2010-12-16,334.0
2010-12-19,321.0
2010-12-20,318.0
2010-12-22,320.0
2010-12-23,320.0
2011-01-05,322.0
2011-01-06,256.0
2011-01-09,260.0
2011-01-10,263.0
2011-01-11,259.0
2011-01-12,257.0
2011-01-18,256.0
2011-01-19,256.0
2011-01-20,255.0
2011-01-24,251.0
2011-02-02,255.0
2011-02-03,252.0
2011-02-08,251.0
2011-02-09,253.0
2011-02-10,255.0
2011-02-13,255.0
2011-02-20,265.0
2011-02-21,260.0
2011-02-27,270.0
2011-02-28,255.0
2011-03-10,250.0
2011-03-13,255.0
2011-03-14,250.0
2011-03-15,246.0
2011-03-16,233.0
2011-03-17,231.0
2011-03-20,230.0
2011-03-21,230.0
2011-03-27,228.0
2011-03-28,147.0
2011-03-30,145.0
2011-03-31,141.0
2011-04-04,140.0
2011-04-05,144.0
2011-04-07,146.0
2011-04-10,144.0
2011-04-17,148.0
2011-04-19,146.0
2011-04-21,144.0
2011-04-27,140.0
2011-04-28,143.0
2011-05-02,142.0
2011-05-03,140.0
2011-05-04,136.0
2011-05-05,135.0
2011-05-08,133.0
2011-05-10,135.0
2011-05-12,135.0
2011-05-15,129.0
2011-05-18,130.0
2011-05-19,134.0
2011-05-22,136.0
2011-05-23,142.0
2011-05-25,146.0
2011-06-01,146.0
2011-06-06,140.0
2011-06-07,136.0
2011-06-08,138.0
2011-06-09,134.0
2011-06-19,136.0
2011-06-20,138.0
2011-06-21,150.0
2011-06-23,153.0
2011-06-26,156.0
2011-06-29,155.0
2011-06-30,152.0
2011-07-06,149.0
2011-07-07,145.0
2011-07-11,144.0
2011-07-12,144.0
2011-07-13,145.0
2011-07-20,147.0
2011-07-21,145.0
2011-07-28,145.0
2011-07-31,147.0
2011-08-02,149.0
2011-08-03,148.0
2011-08-04,152.0
2011-08-08,155.0
2011-08-11,154.0
2011-08-15,151.0
2011-08-17,148.0
2011-08-18,147.0
2011-08-30,147.0
2011-09-04,145.0
2011-09-05,143.0
2011-09-08,139.0
2011-09-12,130.0
2011-09-13,128.0
2011-09-14,126.0
2011-09-15,124.0
2011-09-20,124.0
2011-09-21,124.0
2011-09-27,128.0
2011-09-29,130.0
2011-10-09,136.0
2011-10-16,138.0
2011-10-17,144.0
2011-10-18,146.0
2011-10-19,153.0
2011-10-20,150.0
2011-10-23,147.0
2011-10-24,147.0
2011-10-25,145.0
2011-10-30,150.0
2011-10-31,153.0
2011-11-03,147.0
2011-11-06,151.0
2011-11-08,157.0
2011-11-09,159.0
2011-11-10,156.0
2011-11-13,154.0
2011-11-14,150.0
2011-11-15,147.0
2011-11-20,150.0
2011-11-21,145.0
2011-11-22,146.0
2011-11-23,145.0
2011-11-24,131.0
2011-11-27,130.0
2011-11-28,133.0
2011-11-29,129.0
2011-11-30,136.0
2011-12-01,130.0
2011-12-04,133.0
2011-12-05,132.0
2011-12-06,134.0
2011-12-07,135.0
2011-12-08,136.0
2011-12-11,130.0
2011-12-12,132.0
2011-12-13,135.0
2011-12-14,135.0
2011-12-15,134.0
2011-12-18,134.0
2011-12-19,135.0
2011-12-20,129.0
2011-12-21,133.0
2011-12-22,135.0
2011-12-26,128.0
2011-12-27,131.0
2011-12-28,132.0
2012-01-01,132.0
2012-01-02,124.0
2012-01-03,128.0
2012-01-11,126.0
2012-01-12,124.0
2012-01-17,121.0
2012-01-18,127.0
2012-01-22,121.0
2012-01-25,121.0
2012-01-29,120.0
2012-01-31,124.0
2012-02-01,124.0
2012-02-02,125.0
2012-02-07,125.0
2012-02-13,125.0
2012-02-14,125.0
2012-02-16,120.0
2012-02-26,120.0
2012-02-27,122.0
2012-02-28,125.0
2012-03-01,123.0
2012-03-05,123.0
2012-03-11,121.0
2012-03-12,123.0
2012-03-14,121.0
2012-03-18,121.0
2012-03-21,119.0
2012-03-25,118.0
2012-03-27,116.0
2012-04-04,118.0
2012-04-08,120.0
2012-04-09,122.0
2012-04-10,127.0
2012-04-11,128.0
2012-04-12,125.0
2012-04-15,137.0
2012-04-16,141.0
2012-04-17,147.0
2012-04-18,147.0
2012-04-19,144.0
2012-04-22,152.0
2012-04-26,149.0
2012-04-29,150.0
2012-04-30,158.0
2012-05-03,155.0
2012-05-08,164.0
2012-05-09,167.0
2012-05-10,176.0
2012-05-15,170.0
2012-05-22,173.0
2012-05-23,164.0
2012-05-24,161.0
2012-05-27,149.0
2012-06-11,154.0
2012-06-12,148.0
2012-06-14,144.0
2012-06-27,142.0
2012-06-28,137.0
2012-07-01,136.0
2012-07-02,134.0
2012-07-04,134.0
2012-07-11,134.0
2012-07-12,134.0
2012-07-15,138.0
2012-07-19,142.0
2012-07-22,144.0
2012-07-24,145.0
2012-07-25,147.0
2012-07-31,149.0
2012-08-01,147.0
2012-08-05,145.0
2012-08-06,144.0
2012-08-07,146.0
2012-08-08,146.0
2012-08-12,148.0
2012-08-13,150.0
2012-08-21,150.0
2012-08-22,150.0
2012-09-02,151.0
2012-09-13,146.0
2012-09-16,142.0
2012-09-17,142.0
2012-09-18,143.0
2012-09-19,147.0
2012-09-20,142.0
2012-09-23,142.0
2012-09-24,140.0
2012-09-25,137.0
2012-09-26,135.0
2012-10-07,136.0
2012-10-08,140.0
2012-10-10,138.0
2012-10-11,138.0
2012-10-15,134.0
2012-10-18,128.0
2012-11-06,130.0
2012-11-07,143.0
2012-11-08,149.0
2012-11-20,150.0
2012-11-21,150.0
2012-11-25,152.0
2012-11-27,149.0
2012-12-05,145.0
2012-12-09,143.0
2012-12-10,141.0
2012-12-11,140.0
2013-02-13,142.0
2013-02-17,140.0
2013-02-19,138.0
2013-03-04,136.0
2013-03-05,120.0
2013-03-06,120.0
2013-03-07,130.0
2013-03-11,124.0
2013-03-13,122.0
2013-03-14,122.0
2013-03-17,122.0
2013-03-18,122.0
2013-03-19,121.0
2013-03-20,121.0
2013-03-25,124.0
2013-03-27,118.0
2013-03-28,118.0
2013-03-31,120.0
2013-04-01,120.0
2013-04-02,122.0
2013-04-03,122.0
2013-04-04,120.0
2013-04-07,120.0
2013-04-09,120.0
2013-04-11,119.0
2013-04-15,121.0
2013-04-17,120.0
2013-04-18,126.0
2013-04-21,124.0
2013-04-22,122.0
2013-04-28,124.0
2014-07-01,125.0
2014-07-14,137.0
2014-07-15,141.0
2014-08-04,145.0
2014-08-07,152.0
2014-08-13,159.0
2014-08-18,162.0
2014-08-20,171.0
2014-08-21,186.0
2014-08-24,204.0
2014-08-25,224.0
2014-08-26,244.0
2014-08-27,267.0
2014-08-28,293.0
2014-08-31,321.0
2014-09-01,353.0
2014-09-03,388.0
2014-09-04,394.0
2014-09-07,397.0
2014-09-09,386.0
2014-09-10,410.0
2014-09-11,404.0
2014-09-14,400.0
2014-09-15,410.0
2014-09-16,435.0
2014-09-17,470.0
2014-09-18,461.0
2014-09-21,430.0
2014-09-22,408.0
2014-09-23,415.0
2014-09-24,420.0
2014-09-28,433.0
2014-09-29,449.0
2014-09-30,465.0
2014-10-08,460.0
2014-10-09,454.0
2014-10-12,460.0
2014-10-13,466.0
2014-10-14,469.0
2014-10-15,459.0
2014-10-16,455.0
2014-10-19,454.0
2014-10-20,460.0
2014-10-21,460.0
2014-10-22,455.0
2014-10-26,465.0
2014-10-28,460.0
2014-10-30,451.0
2014-11-02,460.0
2014-11-03,460.0
2014-11-05,442.0
2014-11-06,410.0
2014-11-09,421.0
2014-11-10,413.0
2014-11-11,410.0
2014-11-12,418.0
2014-11-13,402.0
2014-11-16,400.0
2014-11-17,405.0
2014-11-18,420.0
2014-11-19,422.0
2014-11-20,425.0
2014-11-23,430.0
2014-11-24,426.0
2014-11-25,422.0
2014-11-30,426.0
2014-12-01,418.0
2014-12-02,418.0
2014-12-03,419.0
2014-12-04,419.0
2014-12-07,426.0
2014-12-08,413.0
2014-12-09,405.0
2014-12-10,412.0
2014-12-11,417.0
2014-12-14,423.0
2014-12-15,459.0
2014-12-16,455.0
2014-12-17,451.0
2014-12-18,460.0
2014-12-21,453.0
2014-12-22,457.0
2014-12-23,451.0
2014-12-24,448.0
2014-12-28,317.0
