Date,Open
2008-02-13,500.0
2008-03-18,723.0
2011-04-19,700.0
2011-04-26,713.0
2011-06-08,727.0
2011-06-09,755.0
2011-06-12,785.0
2011-06-13,816.0
2011-06-14,832.0
2011-06-15,848.0
2011-06-16,890.0
2011-06-19,907.0
2011-06-20,952.0
2011-06-21,990.0
2011-06-23,1009.0
2011-06-26,1080.0
2011-06-27,1179.0
2011-06-29,1250.0
2011-06-30,1364.0
2011-07-05,1489.0
2011-07-10,1548.0
2011-07-11,1702.0
2011-07-13,1872.0
2011-07-14,1835.0
2011-07-17,1729.0
2011-08-04,1691.0
2011-08-10,1690.0
2011-08-16,1690.0
2011-08-18,1690.0
2011-08-30,1690.0
2011-10-10,1690.0
2011-11-28,1690.0
2012-04-12,1690.0
2012-09-11,1690.0
2013-05-26,1680.0
2013-07-15,1680.0
2014-08-26,1660.0
2014-09-10,1660.0
