Date,Open
2011-02-01,250.0
2011-02-03,331.0
2011-02-07,325.0
2011-02-10,319.0
2011-02-13,298.0
2011-02-14,288.0
2011-02-15,274.0
2011-02-16,249.0
2011-02-17,225.0
2011-02-20,203.0
2011-02-21,184.0
2011-02-22,166.0
2011-02-23,150.0
2011-02-24,138.0
2011-02-27,139.0
2011-02-28,136.0
2011-03-01,137.0
2011-03-03,135.0
2011-03-07,133.0
2011-03-09,133.0
2011-03-10,134.0
2011-03-13,133.0
2011-03-14,132.0
2011-03-15,128.0
2011-03-16,121.0
2011-03-17,121.0
2011-03-20,124.0
2011-03-21,125.0
2011-03-22,124.0
2011-03-23,125.0
2011-03-24,126.0
2011-03-27,128.0
2011-03-28,126.0
2011-03-29,123.0
2011-03-30,123.0
2011-03-31,118.0
2011-04-04,121.0
2011-04-05,123.0
2011-04-06,121.0
2011-04-07,121.0
2011-04-10,121.0
2011-04-11,118.0
2011-04-13,117.0
2011-04-17,118.0
2011-04-18,119.0
2011-04-19,115.0
2011-04-20,116.0
2011-04-21,115.0
2011-04-25,110.0
2011-04-26,108.0
2011-04-27,106.0
2011-04-28,107.0
2011-05-02,111.0
2011-05-03,110.0
2011-05-04,110.0
2011-05-05,113.0
2011-05-08,113.0
2011-05-09,115.0
2011-05-10,112.0
2011-05-11,110.0
2011-05-12,115.0
2011-05-15,118.0
2011-05-16,111.0
2011-05-18,111.0
2011-05-19,109.0
2011-05-22,110.0
2011-05-23,107.0
2011-05-24,105.0
2011-05-25,108.0
2011-05-26,107.0
2011-05-30,104.0
2011-05-31,104.0
2011-06-01,109.0
2011-06-02,107.0
2011-06-05,108.0
2011-06-06,103.0
2011-06-07,110.0
2011-06-08,105.0
2011-06-09,100.0
2011-06-12,98.0
2011-06-13,95.0
2011-06-14,102.0
2011-06-15,103.0
2011-06-16,101.0
2011-06-19,100.0
2011-06-20,98.0
2011-06-21,104.0
2011-06-23,113.0
2011-06-26,115.0
2011-06-27,119.0
2011-07-03,117.0
2011-07-04,113.0
2011-07-05,103.0
2011-07-06,102.0
2011-07-07,101.0
2011-07-10,98.0
2011-07-11,104.0
2011-07-12,104.0
2011-07-13,104.0
2011-07-14,108.0
2011-07-18,106.0
2011-07-20,110.0
2011-07-24,116.0
2011-07-25,114.0
2011-07-26,103.0
2011-07-27,105.0
2011-07-28,107.0
2011-07-31,107.0
2011-08-01,106.0
2011-08-02,103.0
2011-08-03,106.0
2011-08-04,104.0
2011-08-07,106.0
2011-08-08,102.0
2011-08-09,103.0
2011-08-10,102.0
2011-08-11,105.0
2011-08-15,106.0
2011-08-16,104.0
2011-08-17,107.0
2011-08-18,106.0
2011-08-22,109.0
2011-08-23,105.0
2011-08-24,105.0
2011-08-25,106.0
2011-08-28,106.0
2011-08-29,107.0
2011-08-30,107.0
2011-09-01,108.0
2011-09-04,108.0
2011-09-05,108.0
2011-09-06,107.0
2011-09-07,107.0
2011-09-08,107.0
2011-09-12,106.0
2011-09-13,107.0
2011-09-14,107.0
2011-09-15,107.0
2011-09-18,105.0
2011-09-19,107.0
2011-09-20,110.0
2011-09-21,108.0
2011-09-22,109.0
2011-09-25,110.0
2011-09-26,107.0
2011-09-27,105.0
2011-09-29,106.0
2011-10-02,106.0
2011-10-10,108.0
2011-10-12,108.0
2011-10-13,108.0
2011-10-16,108.0
2011-10-17,107.0
2011-10-18,105.0
2011-10-19,107.0
2011-10-20,107.0
2011-10-23,107.0
2011-10-24,115.0
2011-10-25,114.0
2011-10-30,113.0
2011-10-31,115.0
2011-11-02,112.0
2011-11-03,123.0
2011-11-06,115.0
2011-11-08,116.0
2011-11-09,115.0
2011-11-10,113.0
2011-11-13,113.0
2011-11-14,112.0
2011-11-15,110.0
2011-11-16,111.0
2011-11-17,112.0
2011-11-20,111.0
2011-11-21,111.0
2011-11-22,111.0
2011-11-23,111.0
2011-11-24,113.0
2011-11-27,115.0
2011-11-28,114.0
2011-11-29,112.0
2011-11-30,114.0
2011-12-01,111.0
2011-12-04,111.0
2011-12-05,111.0
2011-12-06,112.0
2011-12-08,112.0
2011-12-11,113.0
2011-12-12,112.0
2011-12-13,112.0
2011-12-14,113.0
2011-12-15,111.0
2011-12-18,112.0
2011-12-19,114.0
2011-12-20,115.0
2011-12-21,114.0
2011-12-22,116.0
2011-12-26,116.0
2011-12-27,116.0
2011-12-28,120.0
2012-01-01,117.0
2012-01-03,115.0
2012-01-04,106.0
2012-01-05,100.0
2012-01-08,100.0
2012-01-10,103.0
2012-01-11,105.0
2012-01-12,105.0
2012-01-16,107.0
2012-01-17,104.0
2012-01-18,104.0
2012-01-19,104.0
2012-01-22,105.0
2012-01-23,105.0
2012-01-25,105.0
2012-01-26,105.0
2012-01-29,107.0
2012-01-31,105.0
2012-02-01,105.0
2012-02-02,106.0
2012-02-05,106.0
2012-02-06,106.0
2012-02-07,106.0
2012-02-08,105.0
2012-02-09,104.0
2012-02-12,103.0
2012-02-13,106.0
2012-02-14,108.0
2012-02-15,107.0
2012-02-16,108.0
2012-02-21,107.0
2012-02-23,108.0
2012-02-26,108.0
2012-02-27,106.0
2012-02-28,107.0
2012-02-29,108.0
2012-03-01,107.0
2012-03-04,107.0
2012-03-05,108.0
2012-03-06,106.0
2012-03-11,107.0
2012-03-12,107.0
2012-03-13,107.0
2012-03-14,108.0
2012-03-18,108.0
2012-03-19,106.0
2012-03-20,108.0
2012-03-21,105.0
2012-03-25,105.0
2012-03-26,105.0
2012-03-27,110.0
2012-03-28,104.0
2012-03-29,106.0
2012-04-01,104.0
2012-04-02,106.0
2012-04-03,107.0
2012-04-04,107.0
2012-04-05,106.0
2012-04-08,106.0
2012-04-09,108.0
2012-04-11,107.0
2012-04-12,110.0
2012-04-15,118.0
2012-04-16,120.0
2012-04-17,122.0
2012-04-18,124.0
2012-04-19,126.0
2012-04-22,134.0
2012-04-24,146.0
2012-04-25,153.0
2012-04-26,159.0
2012-04-29,162.0
2012-04-30,160.0
2012-05-03,148.0
2012-05-07,150.0
2012-05-08,153.0
2012-05-09,150.0
2012-05-10,145.0
2012-05-13,143.0
2012-05-14,139.0
2012-05-15,130.0
2012-05-17,141.0
2012-05-20,145.0
2012-05-27,145.0
2012-06-03,141.0
2012-06-04,135.0
2012-06-05,135.0
2012-06-06,126.0
2012-06-07,123.0
2012-06-10,122.0
2012-06-12,117.0
2012-06-13,118.0
2012-06-14,120.0
2012-06-17,128.0
2012-06-18,122.0
2012-06-19,122.0
2012-06-20,121.0
2012-06-21,121.0
2012-06-25,124.0
2012-06-26,124.0
2012-06-27,127.0
2012-07-01,129.0
2012-07-02,125.0
2012-07-03,123.0
2012-07-04,125.0
2012-07-05,127.0
2012-07-08,126.0
2012-07-09,124.0
2012-07-10,122.0
2012-07-11,123.0
2012-07-12,122.0
2012-07-15,123.0
2012-07-16,125.0
2012-07-17,124.0
2012-07-18,126.0
2012-07-19,136.0
2012-07-22,138.0
2012-07-23,140.0
2012-07-24,145.0
2012-07-25,143.0
2012-07-29,143.0
2012-07-30,138.0
2012-07-31,141.0
2012-08-01,139.0
2012-08-05,137.0
2012-08-06,140.0
2012-08-07,146.0
2012-08-08,142.0
2012-08-12,143.0
2012-08-13,139.0
2012-08-14,138.0
2012-08-15,137.0
2012-08-16,135.0
2012-08-21,137.0
2012-08-22,139.0
2012-08-23,144.0
2012-08-26,140.0
2012-08-27,139.0
2012-08-28,141.0
2012-08-29,141.0
2012-08-30,143.0
2012-09-02,145.0
2012-09-03,147.0
2012-09-04,149.0
2012-09-06,147.0
2012-09-09,144.0
2012-09-10,142.0
2012-09-11,140.0
2012-09-12,143.0
2012-09-13,144.0
2012-09-16,145.0
2012-09-17,146.0
2012-09-18,150.0
2012-09-19,152.0
2012-09-23,152.0
2012-09-24,147.0
2012-09-25,149.0
2012-09-27,148.0
2012-09-30,142.0
2012-10-01,142.0
2012-10-02,141.0
2012-10-03,150.0
2012-10-04,141.0
2012-10-07,142.0
2012-10-08,144.0
2012-10-09,140.0
2012-10-10,142.0
2012-10-11,146.0
2012-10-14,148.0
2012-10-15,145.0
2012-10-17,140.0
2012-10-18,140.0
2012-10-30,148.0
2012-10-31,150.0
2012-11-01,148.0
2012-11-04,145.0
2012-11-05,146.0
2012-11-06,147.0
2012-11-07,153.0
2012-11-12,154.0
2012-11-18,149.0
2012-11-20,149.0
2012-11-21,151.0
2012-11-22,150.0
2012-11-25,153.0
2012-11-26,150.0
2012-11-27,148.0
2012-11-28,147.0
2012-11-29,149.0
2012-12-02,149.0
2012-12-03,147.0
2012-12-04,146.0
2012-12-06,148.0
2012-12-09,146.0
2012-12-16,154.0
2012-12-18,151.0
2012-12-19,151.0
2012-12-20,147.0
2012-12-23,155.0
2012-12-24,153.0
2012-12-26,155.0
2012-12-27,155.0
2013-01-03,154.0
2013-01-06,149.0
2013-01-15,150.0
2013-01-16,141.0
2013-01-17,141.0
2013-01-21,137.0
2013-01-22,135.0
2013-01-23,137.0
2013-01-24,138.0
2013-01-27,134.0
2013-01-28,133.0
2013-01-30,130.0
2013-01-31,128.0
2013-02-03,128.0
2013-02-04,130.0
2013-02-05,132.0
2013-02-06,134.0
2013-02-10,134.0
2013-02-12,134.0
2013-02-17,138.0
2013-02-19,136.0
2013-02-21,138.0
2013-02-24,136.0
2013-02-25,132.0
2013-02-27,132.0
2013-03-03,130.0
2013-03-04,131.0
2013-03-05,130.0
2013-03-06,130.0
2013-03-07,128.0
2013-03-11,128.0
2013-03-13,130.0
2013-03-14,134.0
2013-03-19,136.0
2013-03-21,136.0
2013-03-24,130.0
2013-03-25,128.0
2013-03-27,130.0
2013-03-28,130.0
2013-03-31,130.0
2013-04-01,128.0
2013-04-02,127.0
2013-04-03,128.0
2013-04-04,129.0
2013-04-07,127.0
2013-04-08,127.0
2013-04-09,125.0
2013-04-15,127.0
2013-04-16,130.0
2013-04-17,132.0
2013-04-18,131.0
2013-04-21,137.0
2013-04-22,132.0
2013-04-23,132.0
