Date,Open
2010-08-26,167.0
2010-08-31,313.0
2010-09-02,250.0
2010-09-08,326.0
2010-09-09,296.0
2010-09-12,296.0
2010-09-13,291.0
2010-09-15,281.0
2010-09-16,261.0
2010-09-19,235.0
2010-09-20,212.0
2010-09-21,191.0
2010-09-23,175.0
2010-09-26,184.0
2010-09-27,190.0
2010-09-28,185.0
2010-09-29,186.0
2010-09-30,187.0
2010-10-03,187.0
2010-10-04,192.0
2010-10-05,191.0
2010-10-06,193.0
2010-10-07,206.0
2010-10-10,226.0
2010-10-11,230.0
2010-10-12,235.0
2010-10-13,236.0
2010-10-20,228.0
2010-10-21,228.0
2010-10-24,234.0
2010-10-25,232.0
2010-10-26,230.0
2010-10-27,225.0
2010-10-28,224.0
2010-10-31,224.0
2010-11-01,224.0
2010-11-02,223.0
2010-11-03,223.0
2010-11-04,223.0
2010-11-09,225.0
2010-11-10,222.0
2010-11-11,225.0
2010-11-14,227.0
2010-11-15,222.0
2010-11-16,221.0
2010-11-18,222.0
2010-11-21,220.0
2010-11-22,217.0
2010-11-23,218.0
2010-11-24,211.0
2010-11-25,210.0
2010-11-28,214.0
2010-11-29,212.0
2010-11-30,211.0
2010-12-01,210.0
2010-12-02,211.0
2010-12-05,210.0
2010-12-06,207.0
2010-12-07,208.0
2010-12-08,207.0
2010-12-09,207.0
2010-12-12,208.0
2010-12-13,206.0
2010-12-14,213.0
2010-12-15,210.0
2010-12-16,204.0
2010-12-19,207.0
2010-12-20,209.0
2010-12-22,207.0
2010-12-23,210.0
2010-12-26,212.0
2010-12-27,212.0
2010-12-28,211.0
2010-12-29,215.0
2011-01-02,217.0
2011-01-03,214.0
2011-01-04,214.0
2011-01-05,219.0
2011-01-06,220.0
2011-01-09,220.0
2011-01-10,222.0
2011-01-11,220.0
2011-01-12,223.0
2011-01-13,222.0
2011-01-16,224.0
2011-01-17,230.0
2011-01-18,227.0
2011-01-19,229.0
2011-01-20,230.0
2011-01-23,230.0
2011-01-24,230.0
2011-01-31,231.0
2011-02-01,239.0
2011-02-02,228.0
2011-02-03,228.0
2011-02-06,223.0
2011-02-07,227.0
2011-02-08,219.0
2011-02-09,215.0
2011-02-10,212.0
2011-02-13,218.0
2011-02-14,218.0
2011-02-15,213.0
2011-02-16,214.0
2011-02-17,215.0
2011-02-20,216.0
2011-02-21,214.0
2011-02-22,214.0
2011-02-23,214.0
2011-02-24,219.0
2011-02-27,215.0
2011-02-28,207.0
2011-03-01,208.0
2011-03-03,211.0
2011-03-07,214.0
2011-03-09,215.0
2011-03-10,214.0
2011-03-13,215.0
2011-03-14,207.0
2011-03-15,205.0
2011-03-16,195.0
2011-03-17,200.0
2011-03-20,205.0
2011-03-21,202.0
2011-03-22,202.0
2011-03-23,202.0
2011-03-24,202.0
2011-03-27,200.0
2011-03-28,188.0
2011-03-29,182.0
2011-03-30,185.0
2011-03-31,182.0
2011-04-04,190.0
2011-04-05,185.0
2011-04-06,182.0
2011-04-07,186.0
2011-04-10,187.0
2011-04-11,186.0
2011-04-13,185.0
2011-04-17,185.0
2011-04-18,184.0
2011-04-19,185.0
2011-04-20,188.0
2011-04-21,190.0
2011-04-25,193.0
2011-04-27,195.0
2011-04-28,190.0
2011-05-02,190.0
2011-05-03,184.0
2011-05-04,184.0
2011-05-05,181.0
2011-05-08,186.0
2011-05-09,188.0
2011-05-10,187.0
2011-05-11,187.0
2011-05-12,189.0
2011-05-15,186.0
2011-05-16,183.0
2011-05-18,182.0
2011-05-19,184.0
2011-05-22,179.0
2011-05-23,182.0
2011-05-24,177.0
2011-05-25,177.0
2011-05-26,175.0
2011-05-30,177.0
2011-05-31,177.0
2011-06-01,173.0
2011-06-02,166.0
2011-06-05,167.0
2011-06-06,170.0
2011-06-07,164.0
2011-06-08,153.0
2011-06-09,138.0
2011-06-12,148.0
2011-06-13,136.0
2011-06-14,127.0
2011-06-15,122.0
2011-06-16,118.0
2011-06-19,118.0
2011-06-20,128.0
2011-06-21,140.0
2011-06-23,154.0
2011-06-26,166.0
2011-06-27,165.0
2011-06-29,165.0
2011-06-30,149.0
2011-07-03,135.0
2011-07-04,132.0
2011-07-05,132.0
2011-07-06,137.0
2011-07-07,141.0
2011-07-10,145.0
2011-07-11,157.0
2011-07-12,162.0
2011-07-13,168.0
2011-07-14,157.0
2011-07-17,169.0
2011-07-18,172.0
2011-07-19,162.0
2011-07-20,177.0
2011-07-21,182.0
2011-07-24,182.0
2011-07-25,184.0
2011-07-26,181.0
2011-07-27,175.0
2011-07-28,164.0
2011-07-31,164.0
2011-08-01,161.0
2011-08-02,155.0
2011-08-03,158.0
2011-08-04,161.0
2011-08-07,164.0
2011-08-08,160.0
2011-08-09,162.0
2011-08-10,162.0
2011-08-11,158.0
2011-08-15,158.0
2011-08-16,160.0
2011-08-17,162.0
2011-08-18,161.0
2011-08-22,158.0
2011-08-23,151.0
2011-08-24,156.0
2011-08-25,151.0
2011-08-28,152.0
2011-08-29,150.0
2011-08-30,152.0
2011-09-01,153.0
2011-09-04,156.0
2011-09-05,152.0
2011-09-06,147.0
2011-09-07,147.0
2011-09-12,148.0
2011-09-13,146.0
2011-09-14,144.0
2011-09-15,138.0
2011-09-18,132.0
2011-09-19,133.0
2011-09-20,134.0
2011-09-21,141.0
2011-09-22,144.0
2011-09-25,149.0
2011-09-26,148.0
2011-09-27,146.0
2011-09-29,140.0
2011-10-02,142.0
2011-10-09,146.0
2011-10-10,142.0
2011-10-12,146.0
2011-10-13,148.0
2011-10-16,148.0
2011-10-17,149.0
2011-10-19,145.0
2011-10-20,150.0
2011-10-23,151.0
2011-10-24,148.0
2011-10-25,150.0
2011-10-30,154.0
2011-10-31,153.0
2011-11-03,162.0
2011-11-06,162.0
2011-11-08,165.0
2011-11-09,162.0
2011-11-10,158.0
2011-11-13,155.0
2011-11-14,152.0
2011-11-15,149.0
2011-11-16,149.0
2011-11-17,153.0
2011-11-20,155.0
2011-11-21,155.0
2011-11-22,156.0
2011-11-24,159.0
2011-11-27,153.0
2011-11-28,151.0
2011-11-29,150.0
2011-11-30,153.0
2011-12-01,147.0
2011-12-04,151.0
2011-12-05,150.0
2011-12-06,145.0
2011-12-07,147.0
2011-12-08,147.0
2011-12-12,147.0
2011-12-13,144.0
2011-12-14,142.0
2011-12-15,140.0
2011-12-18,140.0
2011-12-19,141.0
2011-12-20,140.0
2011-12-21,140.0
2011-12-22,140.0
2011-12-26,138.0
2011-12-27,140.0
2011-12-28,148.0
2011-12-29,148.0
2012-01-01,152.0
2012-01-03,148.0
2012-01-04,134.0
2012-01-08,132.0
2012-01-09,128.0
2012-01-11,132.0
2012-01-12,132.0
2012-01-16,131.0
2012-01-17,131.0
2012-01-18,130.0
2012-01-19,132.0
2012-01-22,130.0
2012-01-23,129.0
2012-01-25,123.0
2012-01-26,126.0
2012-01-29,133.0
2012-01-31,133.0
2012-02-01,132.0
2012-02-02,134.0
2012-02-05,132.0
2012-02-06,133.0
2012-02-07,132.0
2012-02-09,130.0
2012-02-12,130.0
2012-02-13,131.0
2012-02-14,134.0
2012-02-15,136.0
2012-02-16,134.0
2012-02-21,135.0
2012-02-23,130.0
2012-02-26,128.0
2012-02-27,126.0
2012-03-01,128.0
2012-03-04,127.0
2012-03-05,125.0
2012-03-06,125.0
2012-03-11,128.0
2012-03-12,126.0
2012-03-13,126.0
2012-03-15,123.0
2012-03-20,122.0
2012-03-25,122.0
2012-03-26,122.0
2012-03-27,121.0
2012-03-28,121.0
2012-03-29,120.0
2012-04-01,121.0
2012-04-04,123.0
2012-04-05,125.0
2012-04-08,127.0
2012-04-09,129.0
2012-04-10,131.0
2012-04-11,130.0
2012-04-12,128.0
2012-04-15,139.0
2012-04-16,143.0
2012-04-17,145.0
2012-04-18,147.0
2012-04-19,145.0
2012-04-22,143.0
2012-04-25,144.0
2012-04-26,146.0
2012-04-29,148.0
2012-04-30,156.0
2012-05-02,162.0
2012-05-07,159.0
2012-05-08,168.0
2012-05-09,165.0
2012-05-10,166.0
2012-05-15,164.0
2012-05-16,167.0
2012-05-17,173.0
2012-05-22,179.0
2012-05-27,171.0
2012-05-31,160.0
2012-06-03,146.0
2012-06-04,145.0
2012-06-05,141.0
2012-06-06,129.0
2012-06-07,129.0
2012-06-10,128.0
2012-06-11,127.0
2012-06-12,128.0
2012-06-13,128.0
2012-06-17,128.0
2012-06-18,127.0
2012-06-19,131.0
2012-06-20,133.0
2012-06-21,133.0
2012-06-25,134.0
2012-06-26,135.0
2012-06-27,129.0
2012-06-28,126.0
2012-07-01,128.0
2012-07-02,128.0
2012-07-03,127.0
2012-07-04,130.0
2012-07-05,130.0
2012-07-08,127.0
2012-07-09,127.0
2012-07-10,127.0
2012-07-11,130.0
2012-07-12,130.0
2012-07-16,135.0
2012-07-17,133.0
2012-07-18,129.0
2012-07-19,133.0
2012-07-22,133.0
2012-07-23,137.0
2012-07-24,143.0
2012-07-25,141.0
2012-07-29,145.0
2012-07-30,152.0
2012-07-31,147.0
2012-08-01,145.0
2012-08-05,144.0
2012-08-06,150.0
2012-08-07,154.0
2012-08-14,163.0
2012-08-15,160.0
2012-08-16,145.0
2012-08-19,147.0
2012-08-21,144.0
2012-08-22,149.0
2012-08-23,163.0
2012-08-26,165.0
2012-08-27,169.0
2012-08-28,169.0
