Date,Open
2007-03-21,315.0
2007-04-17,315.0
2007-04-30,315.0
2007-05-06,306.0
2007-05-15,291.0
2007-05-23,291.0
2007-06-06,305.0
2007-06-10,320.0
2007-06-18,336.0
2007-06-26,336.0
2007-07-01,336.0
2007-11-25,352.0
2007-11-26,359.0
2008-02-24,373.0
2008-03-09,366.0
2008-04-01,373.0
2008-05-06,380.0
2008-06-26,399.0
2008-06-29,422.0
2008-07-16,438.0
2008-08-27,446.0
2008-09-04,454.0
2008-10-23,463.0
2008-12-03,472.0
2008-12-14,481.0
2008-12-23,490.0
2008-12-28,490.0
2009-02-22,490.0
2009-02-26,499.0
2009-03-23,508.0
2009-03-30,510.0
2009-03-31,535.0
2009-04-05,545.0
2009-04-06,545.0
2009-04-28,546.0
2009-05-03,595.0
2009-05-25,654.0
2009-06-11,667.0
2009-06-29,670.0
2009-06-30,690.0
2009-07-06,717.0
2009-07-21,730.0
2009-08-04,735.0
2009-08-16,749.0
2009-08-17,721.0
2009-08-18,710.0
2009-08-19,700.0
2009-08-23,700.0
2009-08-24,714.0
2009-09-13,714.0
2009-09-23,715.0
2009-10-27,729.0
2009-11-11,757.0
2009-11-12,772.0
2009-11-15,787.0
2009-12-16,787.0
2009-12-31,772.0
2010-01-06,780.0
2010-01-11,780.0
2010-01-17,780.0
2010-01-18,780.0
2010-01-19,780.0
2010-01-21,770.0
2010-01-24,765.0
2010-02-15,761.0
2010-02-17,775.0
2010-02-18,765.0
2010-03-01,766.0
2010-03-04,770.0
2010-03-09,770.0
2010-03-10,770.0
2010-03-18,785.0
2010-03-25,771.0
2010-03-30,771.0
2010-04-01,760.0
2010-04-07,775.0
2010-04-20,760.0
2010-04-21,751.0
2010-04-22,736.0
2010-04-26,722.0
2010-04-28,655.0
2010-04-29,650.0
2010-05-09,642.0
2010-05-10,632.0
2010-05-16,640.0
2010-05-26,630.0
2010-06-09,642.0
2010-06-10,642.0
2010-06-13,642.0
2010-06-15,654.0
2010-06-30,657.0
2010-07-11,536.0
2010-07-12,530.0
2010-07-13,530.0
2010-08-05,530.0
2010-08-12,530.0
2010-08-16,540.0
2010-09-28,561.0
2010-09-30,571.0
2010-10-06,572.0
2010-11-30,572.0
2010-12-07,584.0
2010-12-08,575.0
2010-12-27,575.0
2011-01-03,575.0
2011-02-08,564.0
2011-02-10,564.0
2011-02-21,564.0
2011-02-27,553.0
2011-03-07,564.0
2011-03-09,575.0
2011-03-13,576.0
2011-04-06,576.0
2011-04-17,587.0
2011-04-20,598.0
2011-04-27,587.0
2011-04-28,587.0
2011-05-02,588.0
2011-05-04,620.0
2011-05-10,632.0
2011-05-11,632.0
2011-05-12,634.0
2011-05-16,646.0
2011-05-18,671.0
2011-05-19,702.0
2011-05-22,700.0
2011-05-23,697.0
2011-05-25,685.0
2011-05-26,719.0
2011-06-01,675.0
2011-06-02,686.0
2011-06-05,688.0
2011-06-14,660.0
2011-06-15,594.0
2011-06-16,564.0
2011-07-07,528.0
2011-07-20,405.0
2011-07-27,413.0
2011-08-03,421.0
2011-08-07,429.0
2011-08-10,437.0
2011-08-11,432.0
2011-09-13,440.0
2011-09-15,448.0
2011-10-16,446.0
2011-10-17,450.0
2011-10-23,451.0
2011-10-31,445.0
2011-11-15,453.0
2011-11-16,455.0
2011-12-13,450.0
2011-12-14,480.0
2011-12-27,489.0
2012-01-01,498.0
2012-01-08,489.0
2012-01-09,507.0
2012-01-10,517.0
2012-01-23,532.0
2012-01-26,552.0
2012-01-29,563.0
2012-01-31,563.0
2012-02-01,574.0
2012-02-12,574.0
2012-02-15,563.0
2012-02-21,596.0
2012-02-23,610.0
2012-02-26,620.0
2012-02-28,644.0
2012-03-04,669.0
2012-03-06,670.0
2012-03-11,675.0
2012-03-15,675.0
2012-03-20,682.0
2012-03-21,677.0
2012-03-25,675.0
2012-03-29,670.0
2012-04-01,640.0
2012-04-02,628.0
2012-04-05,616.0
2012-04-09,604.0
2012-04-12,593.0
2012-05-02,600.0
2012-05-08,590.0
2012-05-09,592.0
2012-05-10,603.0
2012-05-21,615.0
2012-05-22,627.0
2012-05-24,627.0
2012-05-30,639.0
2012-06-04,630.0
2012-06-05,623.0
2012-06-06,630.0
2012-06-11,618.0
2012-06-12,620.0
2012-06-13,630.0
2012-06-17,640.0
2012-06-18,678.0
2012-06-19,691.0
2012-06-20,691.0
2012-07-04,756.0
2012-07-05,560.0
2012-07-08,576.0
2012-07-09,587.0
2012-07-11,555.0
2012-07-12,566.0
2012-07-18,566.0
2012-07-25,570.0
2012-07-30,581.0
2012-08-23,592.0
2012-08-27,603.0
2012-09-09,615.0
2012-09-10,627.0
2012-09-11,677.0
2012-09-12,703.0
2012-09-13,745.0
2012-09-19,759.0
2012-09-20,774.0
2012-09-23,789.0
2012-09-24,851.0
2012-09-25,880.0
2012-09-26,900.0
2012-09-30,885.0
2012-10-02,870.0
2012-10-03,853.0
2012-10-04,820.0
2012-10-07,804.0
2012-10-08,837.0
2012-10-09,870.0
2012-10-10,863.0
2012-10-18,880.0
2012-10-30,880.0
2012-10-31,887.0
2012-11-01,915.0
2012-11-04,918.0
2012-11-05,910.0
2012-11-07,940.0
2012-11-12,980.0
2012-11-20,985.0
2012-11-21,1003.0
2012-11-22,1003.0
2012-11-28,1003.0
2012-11-29,1020.0
2012-12-13,980.0
2012-12-16,1000.0
2012-12-17,1000.0
2012-12-19,1040.0
2012-12-20,1144.0
2012-12-23,1258.0
2012-12-26,1305.0
2012-12-27,1428.0
2012-12-31,1440.0
2013-01-01,1451.0
2013-01-02,1400.0
2013-01-03,1414.0
2013-01-06,1446.0
2013-01-07,1535.0
2013-01-08,1661.0
2013-01-09,1635.0
2013-01-13,1667.0
2013-01-15,1602.0
2013-01-16,1442.0
2013-01-17,1440.0
2013-01-21,1410.0
2013-01-22,1382.0
2013-01-23,1433.0
2013-01-24,1449.0
2013-01-27,1449.0
2013-01-28,1448.0
2013-01-30,1340.0
2013-01-31,1306.0
2013-02-03,1315.0
2013-02-04,1332.0
2013-02-05,1332.0
2013-02-06,1315.0
2013-02-10,1300.0
2013-02-12,1320.0
2013-02-13,1350.0
2013-02-14,1407.0
2013-02-17,1390.0
2013-02-19,1417.0
2013-02-20,1472.0
2013-02-24,1426.0
2013-02-25,1401.0
2013-02-27,1400.0
2013-02-28,1394.0
2013-03-04,1400.0
2013-03-06,1395.0
2013-03-07,1405.0
2013-03-11,1377.0
2013-03-13,1404.0
2013-03-14,1415.0
2013-03-17,1440.0
2013-03-18,1440.0
2013-03-20,1412.0
2013-03-21,1384.0
2013-03-24,1375.0
2013-03-25,1399.0
2013-03-27,1410.0
2013-03-28,1415.0
2013-03-31,1415.0
2013-04-01,1421.0
2013-04-02,1420.0
2013-04-03,1410.0
2013-04-04,1400.0
2013-04-07,1414.0
2013-04-08,1433.0
2013-04-09,1430.0
2013-04-11,1438.0
2013-04-15,1430.0
2013-04-18,1450.0
2013-04-22,1421.0
2013-04-28,1400.0
2013-04-29,1370.0
2013-04-30,1350.0
2013-05-02,1323.0
2013-05-05,1300.0
2013-05-06,1300.0
2013-05-08,1300.0
2013-05-09,1300.0
2013-05-12,1295.0
2013-05-13,1295.0
2013-05-14,1302.0
2013-05-15,1328.0
2013-05-16,1326.0
2013-05-19,1304.0
2013-05-20,1330.0
2013-05-21,1366.0
2013-05-22,1380.0
2013-05-23,1415.0
2013-05-26,1428.0
2013-05-27,1460.0
2013-05-28,1500.0
