Date,Open
2005-12-06,0.0
2005-12-07,105.0
2005-12-08,110.0
2005-12-11,112.0
2005-12-12,113.0
2005-12-15,115.0
2005-12-25,117.0
2005-12-26,112.0
2006-01-10,112.0
2006-01-12,115.0
2006-01-15,115.0
2006-01-16,113.0
2006-01-19,115.0
2006-02-05,115.0
2006-02-12,110.0
2006-02-16,110.0
2006-03-02,110.0
2006-03-08,110.0
2006-03-09,105.0
2006-03-30,102.0
2006-04-02,102.0
2006-04-16,102.0
2006-04-17,102.0
2006-05-02,102.0
2006-05-08,102.0
2006-05-09,102.0
2006-05-15,102.0
2006-05-31,102.0
2006-06-04,102.0
2006-06-06,98.0
2006-06-13,98.0
2006-06-14,98.0
2006-06-15,98.0
2006-06-18,98.0
2006-07-02,98.0
2006-07-03,98.0
2006-07-06,98.0
2006-07-10,99.0
2006-07-12,98.0
2006-07-25,98.0
2006-07-26,98.0
2006-08-15,98.0
2006-08-28,99.0
2006-08-31,103.0
2006-09-07,98.0
2006-09-10,98.0
2006-09-11,98.0
2006-09-12,98.0
2006-09-13,98.0
2006-09-14,98.0
2006-09-18,100.0
2006-10-30,100.0
2006-11-05,100.0
2006-11-13,100.0
2006-11-14,100.0
2006-11-16,100.0
2006-12-17,100.0
2006-12-24,105.0
2007-01-03,105.0
2007-01-10,105.0
2007-01-22,103.0
2007-01-24,108.0
2007-01-25,113.0
2007-01-28,122.0
2007-01-29,129.0
2007-01-31,135.0
2007-02-01,143.0
2007-02-06,153.0
2007-02-26,160.0
2007-03-01,172.0
2007-03-04,180.0
2007-03-15,189.0
2007-04-03,180.0
2007-04-04,169.0
2007-04-05,172.0
2007-04-09,180.0
2007-04-10,185.0
2007-04-11,196.0
2007-05-08,196.0
2007-05-09,180.0
2007-05-16,180.0
2007-07-01,179.0
2007-07-09,175.0
2007-07-19,175.0
2007-07-31,170.0
2007-08-02,170.0
2007-08-09,170.0
2007-08-14,170.0
2007-08-26,170.0
2007-09-06,170.0
2007-09-09,170.0
2007-09-24,173.0
2007-09-26,175.0
2007-09-27,175.0
2007-10-15,175.0
2007-10-16,184.0
2007-10-29,184.0
2007-10-30,184.0
2007-11-08,184.0
2007-11-12,198.0
2007-11-14,205.0
2007-12-24,225.0
