Date,Open
2011-09-05,66.0
2011-09-15,395.0
2011-10-02,388.0
2011-10-30,360.0
2012-01-08,353.0
2012-02-05,346.0
2012-02-08,317.0
2012-02-09,291.0
2012-02-12,271.0
2012-02-13,251.0
2012-02-14,239.0
2012-02-15,220.0
2012-02-16,216.0
2012-02-21,208.0
2012-02-27,204.0
2012-03-13,194.0
2012-03-14,182.0
2012-03-15,170.0
2012-03-27,167.0
2012-03-29,164.0
2012-04-01,161.0
2012-04-02,149.0
2012-04-03,139.0
2012-04-04,129.0
2012-04-05,119.0
2012-04-08,109.0
2012-04-10,99.0
2012-04-11,99.0
2012-04-12,98.0
2012-04-18,98.0
2012-04-19,96.0
2012-04-22,95.0
2012-04-24,92.0
2012-04-25,92.0
2012-04-26,95.0
2012-04-29,95.0
2012-04-30,96.0
2012-05-10,94.0
2012-05-16,91.0
2012-05-17,90.0
2012-05-20,89.0
2012-05-21,87.0
2012-05-22,85.0
2012-05-23,81.0
2012-05-24,80.0
2012-05-27,74.0
2012-05-29,74.0
2012-05-30,67.0
2012-05-31,65.0
2012-06-03,66.0
2012-06-04,69.0
2012-06-05,68.0
2012-06-06,68.0
2012-06-07,70.0
2012-06-10,72.0
2012-06-11,75.0
2012-06-12,75.0
2012-06-13,75.0
2012-06-14,75.0
2012-06-17,72.0
2012-06-18,72.0
2012-06-19,72.0
2012-06-20,74.0
2012-06-21,73.0
2012-06-25,73.0
2012-06-26,73.0
2012-06-27,72.0
2012-06-28,72.0
2012-07-01,72.0
2012-07-02,72.0
2012-07-03,70.0
2012-07-04,72.0
2012-07-05,71.0
2012-07-08,70.0
2012-07-09,71.0
2012-07-10,72.0
2012-07-11,71.0
2012-07-15,70.0
2012-07-16,73.0
2012-07-17,76.0
2012-07-18,77.0
2012-07-19,77.0
2012-07-22,78.0
2012-07-23,78.0
2012-07-24,77.0
2012-07-25,76.0
2012-07-26,73.0
2012-07-29,74.0
2012-07-30,71.0
2012-07-31,75.0
2012-08-01,74.0
2012-08-05,72.0
2012-08-06,73.0
2012-08-07,72.0
2012-08-08,72.0
2012-08-12,70.0
2012-08-13,71.0
2012-08-14,70.0
2012-08-15,68.0
2012-08-16,68.0
2012-08-19,68.0
2012-08-21,74.0
2012-08-22,75.0
2012-08-23,70.0
2012-08-26,73.0
2012-08-27,70.0
2012-08-28,70.0
2012-08-29,70.0
2012-08-30,72.0
2012-09-02,72.0
2012-09-03,72.0
2012-09-04,70.0
2012-09-05,73.0
2012-09-06,74.0
2012-09-09,72.0
2012-09-10,75.0
2012-09-11,74.0
2012-09-12,73.0
2012-09-13,73.0
2012-09-16,73.0
2012-09-17,74.0
2012-09-18,72.0
2012-09-19,74.0
2012-09-23,69.0
2012-09-24,71.0
2012-09-25,69.0
2012-09-26,74.0
2012-09-27,74.0
2012-09-30,76.0
2012-10-01,74.0
2012-10-02,75.0
2012-10-03,75.0
2012-10-04,73.0
2012-10-07,74.0
2012-10-08,72.0
2012-10-09,72.0
2012-10-10,72.0
2012-10-11,71.0
2012-10-14,70.0
2012-10-15,71.0
2012-10-17,75.0
2012-10-18,76.0
2012-10-30,75.0
2012-10-31,76.0
2012-11-04,75.0
2012-11-05,75.0
2012-11-06,75.0
2012-11-07,75.0
2012-11-18,75.0
2012-11-20,73.0
2012-11-21,75.0
2012-11-22,74.0
2012-11-25,73.0
2012-11-26,72.0
2012-11-27,71.0
2012-11-28,72.0
2012-11-29,72.0
2012-12-03,70.0
2012-12-05,70.0
2012-12-06,70.0
2012-12-11,70.0
2012-12-13,67.0
2012-12-16,66.0
2012-12-17,68.0
2012-12-18,68.0
2012-12-19,66.0
2012-12-20,64.0
2012-12-23,64.0
2012-12-24,66.0
2012-12-26,68.0
2012-12-27,68.0
2013-01-01,68.0
2013-01-02,67.0
2013-01-03,67.0
2013-01-06,65.0
2013-01-07,66.0
2013-01-10,65.0
2013-01-13,63.0
2013-01-15,64.0
2013-01-16,66.0
2013-01-17,66.0
2013-01-20,66.0
2013-01-21,70.0
2013-01-22,68.0
2013-01-23,69.0
2013-01-24,69.0
2013-01-28,67.0
2013-01-30,66.0
2013-01-31,63.0
2013-02-03,63.0
2013-02-04,63.0
2013-02-05,65.0
2013-02-06,66.0
2013-02-07,64.0
2013-02-10,66.0
2013-02-20,67.0
2013-02-25,66.0
2013-02-26,67.0
2013-02-28,64.0
2013-03-03,62.0
2013-03-04,61.0
2013-03-05,61.0
2013-03-06,62.0
2013-03-07,62.0
2013-03-11,63.0
2013-03-13,65.0
2013-03-14,68.0
2013-03-17,72.0
2013-03-18,71.0
2013-03-19,70.0
2013-03-20,69.0
2013-03-21,66.0
2013-03-24,64.0
2013-03-25,64.0
2013-03-27,65.0
2013-03-28,66.0
2013-03-31,67.0
2013-04-01,67.0
2013-04-02,65.0
2013-04-03,65.0
2013-04-04,64.0
2013-04-07,64.0
2013-04-08,65.0
2013-04-09,65.0
2013-04-11,65.0
2013-04-15,66.0
2013-04-16,67.0
2013-04-18,70.0
2013-04-21,70.0
2013-04-23,70.0
2013-04-30,71.0
2013-05-02,68.0
2013-05-07,67.0
2013-05-09,68.0
2013-05-16,66.0
2013-05-19,60.0
2013-05-20,56.0
2013-05-21,59.0
2013-05-23,59.0
2013-05-26,60.0
2013-05-27,58.0
2013-05-28,59.0
2013-05-30,60.0
2013-06-02,61.0
2013-06-03,62.0
2013-06-04,65.0
2013-06-05,68.0
2013-06-06,68.0
2013-06-09,69.0
2013-06-10,67.0
2013-06-11,67.0
2013-06-12,70.0
2013-06-13,72.0
2013-06-17,74.0
2013-06-18,75.0
2013-06-19,76.0
2013-06-20,75.0
2013-06-23,74.0
2013-06-24,73.0
2013-06-25,73.0
2013-06-26,73.0
2013-06-27,73.0
2013-06-30,74.0
2013-07-01,72.0
2013-07-02,72.0
2013-07-03,76.0
2013-07-04,76.0
2013-07-07,74.0
2013-07-08,76.0
2013-07-09,76.0
2013-07-10,75.0
2013-07-11,75.0
2013-07-14,74.0
2013-07-15,74.0
2013-07-16,74.0
2013-07-17,73.0
2013-07-18,74.0
2013-07-21,75.0
2013-07-22,76.0
2013-07-23,75.0
2013-07-24,73.0
2013-07-25,73.0
2013-07-28,72.0
2013-07-29,73.0
2013-07-30,74.0
2013-07-31,72.0
2013-08-01,71.0
2013-08-07,69.0
2013-08-11,69.0
2013-08-13,67.0
2013-08-14,66.0
2013-08-15,65.0
2013-08-18,65.0
2013-08-19,64.0
2013-08-20,64.0
2013-08-25,64.0
2013-08-26,66.0
2013-08-27,67.0
2013-08-29,73.0
2013-09-01,72.0
2013-09-03,74.0
2013-09-04,74.0
2013-09-05,74.0
2013-09-08,75.0
2013-09-09,74.0
2013-09-10,73.0
2013-09-24,74.0
2013-09-29,75.0
2013-10-01,72.0
2013-10-02,70.0
2013-10-03,70.0
2013-10-06,66.0
2013-10-07,67.0
2013-10-08,70.0
2013-10-20,71.0
2013-10-22,71.0
2013-10-23,71.0
2013-10-24,71.0
2013-10-27,70.0
2013-10-28,70.0
2013-10-29,69.0
2013-10-30,67.0
2013-11-06,68.0
2013-11-07,69.0
2013-11-10,70.0
2013-11-11,70.0
2013-11-12,74.0
2013-11-13,78.0
2013-11-14,80.0
2013-11-24,79.0
2013-11-25,82.0
2013-11-26,83.0
2013-11-27,87.0
2013-12-01,91.0
2013-12-02,90.0
2013-12-03,88.0
2013-12-04,90.0
2013-12-05,92.0
2013-12-08,94.0
2013-12-09,95.0
2013-12-10,96.0
2013-12-11,98.0
2013-12-12,99.0
2013-12-15,98.0
2013-12-22,99.0
2013-12-23,98.0
2013-12-24,97.0
2013-12-26,99.0
2013-12-29,100.0
2013-12-31,99.0
2014-01-01,97.0
2014-01-02,98.0
2014-01-05,98.0
2014-01-06,97.0
2014-01-07,95.0
2014-01-08,94.0
2014-01-09,93.0
2014-01-12,90.0
2014-01-13,90.0
2014-01-14,93.0
2014-01-16,92.0
2014-01-19,93.0
2014-01-20,93.0
2014-01-21,93.0
2014-01-22,96.0
2014-01-23,96.0
2014-01-26,105.0
2014-01-27,110.0
2014-01-28,121.0
2014-01-29,127.0
2014-02-02,123.0
2014-02-03,119.0
2014-02-04,116.0
2014-02-05,113.0
2014-02-06,111.0
2014-02-09,109.0
2014-02-10,116.0
2014-02-11,120.0
2014-02-12,122.0
2014-02-13,120.0
2014-02-16,117.0
2014-02-17,115.0
2014-02-18,118.0
2014-02-20,126.0
2014-02-23,128.0
2014-02-24,124.0
2014-02-25,126.0
2014-02-26,128.0
2014-03-03,126.0
2014-03-04,126.0
2014-03-05,124.0
2014-03-06,124.0
2014-03-09,122.0
2014-03-10,113.0
2014-03-11,111.0
2014-03-12,107.0
2014-03-13,110.0
2014-03-17,110.0
2014-03-18,106.0
2014-03-19,98.0
2014-03-20,101.0
2014-03-23,100.0
2014-03-24,103.0
2014-03-25,107.0
2014-03-26,103.0
2014-03-27,104.0
2014-03-31,103.0
2014-04-01,105.0
2014-04-02,104.0
2014-04-03,101.0
2014-04-06,103.0
2014-04-07,105.0
2014-04-09,103.0
2014-04-10,102.0
2014-04-13,103.0
2014-04-15,102.0
2014-04-16,104.0
2014-04-17,106.0
2014-04-20,106.0
2014-04-21,107.0
2014-04-22,112.0
2014-04-23,120.0
2014-04-27,127.0
2014-04-28,123.0
2014-04-29,124.0
2014-04-30,114.0
2014-05-04,112.0
2014-05-05,120.0
2014-05-06,124.0
2014-05-07,128.0
2014-05-08,126.0
2014-05-11,122.0
2014-05-12,116.0
2014-05-13,127.0
2014-05-15,127.0
2014-05-18,129.0
2014-05-19,127.0
2014-05-20,127.0
2014-05-21,127.0
2014-05-22,125.0
2014-05-25,130.0
2014-05-26,132.0
2014-05-27,132.0
2014-05-28,129.0
2014-06-01,128.0
2014-06-02,132.0
2014-06-03,136.0
2014-06-04,137.0
2014-06-05,135.0
