Date,Open
2014-03-18,128.0
2014-04-13,200.0
2014-04-16,196.0
2014-04-22,187.0
2014-04-23,169.0
2014-05-13,160.0
2014-05-18,157.0
2014-05-19,154.0
2014-05-20,153.0
2014-05-21,141.0
2014-05-22,127.0
2014-05-25,129.0
2014-05-26,126.0
2014-05-28,130.0
2014-06-01,129.0
2014-06-04,127.0
2014-06-05,125.0
2014-06-08,125.0
2014-06-09,129.0
2014-06-10,131.0
2014-06-11,129.0
2014-06-12,131.0
2014-06-17,133.0
2014-06-18,135.0
2014-06-25,133.0
2014-06-26,130.0
2014-06-30,123.0
2014-07-06,122.0
2014-07-07,124.0
2014-07-08,135.0
2014-07-09,147.0
2014-07-13,149.0
2014-07-14,154.0
2014-07-15,157.0
2014-07-16,169.0
2014-07-17,167.0
2014-07-20,178.0
2014-07-21,175.0
2014-07-22,175.0
2014-07-24,178.0
2014-07-27,195.0
2014-07-30,201.0
2014-07-31,210.0
2014-08-03,219.0
2014-08-04,219.0
2014-08-05,224.0
2014-08-06,232.0
2014-08-07,236.0
2014-08-12,233.0
2014-08-13,230.0
2014-09-10,222.0
2014-09-15,218.0
2014-10-12,214.0
2014-10-15,206.0
2014-10-28,203.0
2014-10-30,196.0
2014-11-02,177.0
2014-11-03,176.0
2014-11-04,165.0
2014-11-05,159.0
2014-11-06,166.0
2014-11-09,167.0
2014-11-10,161.0
2014-11-11,156.0
2014-11-12,159.0
2014-11-13,163.0
2014-11-16,158.0
2014-11-19,164.0
2014-11-20,161.0
2014-11-25,163.0
2014-11-30,174.0
2014-12-01,171.0
2014-12-02,179.0
2014-12-03,176.0
2014-12-08,179.0
2014-12-11,180.0
2014-12-14,180.0
2014-12-23,183.0
2014-12-28,165.0
2014-12-29,162.0
2014-12-31,166.0
2015-01-01,166.0
2015-01-05,169.0
2015-01-06,172.0
2015-01-07,181.0
2015-01-08,178.0
2015-01-11,193.0
2015-01-12,190.0
2015-01-13,190.0
2015-01-14,193.0
2015-01-18,195.0
2015-01-19,200.0
2015-01-20,206.0
2015-01-22,200.0
2015-01-25,201.0
2015-01-27,210.0
2015-01-28,223.0
2015-01-29,235.0
2015-02-01,234.0
2015-02-02,240.0
2015-02-03,240.0
2015-02-08,235.0
2015-02-11,236.0
2015-02-12,259.0
2015-02-15,284.0
2015-02-16,293.0
2015-02-18,300.0
2015-02-22,300.0
2015-02-23,290.0
2015-02-24,285.0
2015-02-25,277.0
2015-03-01,316.0
2015-03-02,306.0
2015-03-03,292.0
2015-03-04,291.0
2015-03-09,320.0
2015-03-10,330.0
2015-03-11,356.0
2015-03-12,360.0
2015-03-15,396.0
2015-03-16,423.0
2015-03-17,430.0
2015-03-23,430.0
2015-03-24,398.0
2015-03-25,391.0
2015-03-26,384.0
2015-03-29,346.0
2015-03-30,348.0
2015-03-31,340.0
