Date,Open
2009-06-11,276.0
2009-06-14,572.0
2009-06-15,549.0
2009-06-16,570.0
2009-06-17,575.0
2009-06-18,562.0
2009-06-21,563.0
2009-06-22,550.0
2009-06-23,547.0
2009-06-24,544.0
2009-06-25,530.0
2009-06-28,520.0
2009-06-29,520.0
2009-06-30,520.0
2009-07-01,519.0
2009-07-02,517.0
2009-07-05,536.0
2009-07-06,549.0
2009-07-07,559.0
2009-07-08,571.0
2009-07-09,595.0
2009-07-12,615.0
2009-07-13,620.0
2009-07-14,626.0
2009-07-15,680.0
2009-07-16,660.0
2009-07-19,628.0
2009-07-20,645.0
2009-07-21,651.0
2009-07-23,654.0
2009-07-26,661.0
2009-07-27,632.0
2009-07-28,666.0
2009-07-29,675.0
2009-07-30,670.0
2009-08-02,670.0
2009-08-03,660.0
2009-08-04,659.0
2009-08-09,660.0
2009-08-10,662.0
2009-08-11,660.0
2009-08-12,672.0
2009-08-16,680.0
2009-08-17,710.0
2009-08-18,680.0
2009-08-19,695.0
2009-08-20,740.0
2009-08-23,740.0
2009-08-24,720.0
2009-08-25,701.0
2009-08-26,695.0
2009-08-27,700.0
2009-08-30,700.0
2009-08-31,685.0
2009-09-01,694.0
2009-09-02,678.0
2009-09-06,670.0
2009-09-07,668.0
2009-09-08,670.0
2009-09-09,662.0
2009-09-10,649.0
2009-09-13,628.0
2009-09-14,642.0
2009-09-15,670.0
2009-09-16,671.0
2009-09-17,688.0
2009-09-20,681.0
2009-09-22,675.0
2009-09-23,700.0
2009-09-24,700.0
2009-10-04,700.0
2009-10-05,701.0
2009-10-06,705.0
2009-10-07,700.0
2009-10-08,690.0
2009-10-11,680.0
2009-10-12,638.0
2009-10-13,670.0
2009-10-14,676.0
2009-10-15,680.0
2009-10-21,681.0
2009-10-22,685.0
2009-10-25,680.0
2009-10-26,670.0
2009-10-27,660.0
2009-10-28,683.0
2009-10-29,635.0
2009-11-01,622.0
2009-11-02,608.0
2009-11-03,612.0
2009-11-04,615.0
2009-11-05,636.0
2009-11-08,647.0
2009-11-09,640.0
2009-11-10,648.0
2009-11-11,650.0
2009-11-12,650.0
2009-11-15,625.0
2009-11-16,625.0
2009-11-17,620.0
2009-11-18,615.0
2009-11-19,612.0
2009-11-22,609.0
2009-11-23,610.0
2009-11-24,590.0
2009-11-25,580.0
2009-11-26,565.0
2009-11-30,556.0
2009-12-01,540.0
2009-12-03,506.0
2009-12-06,500.0
2009-12-07,520.0
2009-12-08,530.0
2009-12-09,560.0
2009-12-10,580.0
2009-12-13,620.0
2009-12-14,630.0
2009-12-15,630.0
2009-12-16,608.0
2009-12-17,600.0
2009-12-20,579.0
2009-12-21,578.0
2009-12-22,578.0
2009-12-23,600.0
2009-12-24,610.0
2009-12-27,590.0
2009-12-28,585.0
2009-12-29,593.0
2009-12-31,590.0
2010-01-03,600.0
2010-01-04,590.0
2010-01-05,590.0
2010-01-06,580.0
2010-01-07,566.0
2010-01-10,571.0
2010-01-11,577.0
2010-01-12,569.0
2010-01-13,566.0
2010-01-14,570.0
2010-01-17,570.0
2010-01-18,550.0
2010-01-19,540.0
2010-01-20,535.0
2010-01-21,531.0
2010-01-24,520.0
2010-01-25,501.0
2010-01-26,515.0
2010-01-27,510.0
2010-01-28,525.0
2010-01-31,517.0
2010-02-01,518.0
2010-02-02,530.0
2010-02-03,525.0
2010-02-04,520.0
2010-02-07,520.0
2010-02-08,500.0
2010-02-09,490.0
2010-02-10,495.0
2010-02-11,510.0
2010-02-15,510.0
2010-02-16,517.0
2010-02-17,510.0
2010-02-18,495.0
2010-03-01,510.0
2010-03-02,516.0
2010-03-03,515.0
2010-03-04,532.0
2010-03-07,535.0
2010-03-09,513.0
2010-03-10,512.0
2010-03-11,499.0
2010-03-14,486.0
2010-03-16,485.0
2010-03-17,482.0
2010-03-18,485.0
2010-03-22,475.0
2010-03-23,442.0
2010-03-25,440.0
2010-03-28,445.0
2010-03-29,435.0
2010-03-30,432.0
2010-03-31,393.0
2010-04-01,401.0
2010-04-04,423.0
2010-04-05,430.0
2010-04-06,444.0
2010-04-07,430.0
2010-04-08,440.0
2010-04-11,444.0
2010-04-12,434.0
2010-04-13,430.0
2010-04-15,409.0
2010-04-18,406.0
2010-04-19,405.0
2010-04-20,408.0
2010-04-21,405.0
2010-04-22,384.0
2010-04-25,397.0
2010-04-26,395.0
2010-04-27,380.0
2010-04-28,355.0
2010-04-29,358.0
2010-05-09,361.0
2010-05-10,360.0
2010-05-11,370.0
2010-05-12,364.0
2010-05-13,400.0
2010-05-16,439.0
2010-05-17,418.0
2010-05-18,415.0
2010-05-19,453.0
2010-05-20,450.0
2010-05-23,455.0
2010-05-24,450.0
2010-05-25,467.0
2010-05-26,504.0
2010-05-30,525.0
2010-05-31,559.0
2010-06-01,527.0
2010-06-02,508.0
2010-06-03,502.0
2010-06-06,513.0
2010-06-07,505.0
2010-06-08,510.0
2010-06-09,515.0
2010-06-10,522.0
2010-06-13,518.0
2010-06-14,511.0
2010-06-15,500.0
2010-06-16,495.0
2010-06-17,490.0
2010-06-20,495.0
2010-06-21,490.0
2010-06-22,495.0
2010-06-23,495.0
2010-06-24,500.0
2010-06-28,507.0
2010-06-29,535.0
2010-06-30,530.0
2010-07-01,530.0
2010-07-04,532.0
2010-07-05,529.0
2010-07-06,509.0
2010-07-07,506.0
2010-07-08,510.0
2010-07-11,512.0
2010-07-12,509.0
2010-07-13,501.0
2010-07-14,500.0
2010-07-22,491.0
2010-07-25,300.0
2010-07-26,292.0
2010-07-27,292.0
2010-07-28,300.0
2010-07-29,300.0
2010-08-01,300.0
2010-08-02,306.0
2010-08-03,310.0
2010-08-04,300.0
2010-08-05,306.0
2010-08-09,305.0
2010-08-10,306.0
2010-08-11,300.0
2010-08-12,300.0
2010-08-16,301.0
2010-08-17,300.0
2010-08-18,305.0
2010-08-19,301.0
2010-08-22,310.0
2010-08-23,300.0
2010-08-26,300.0
2010-08-29,300.0
2010-08-30,289.0
2010-08-31,295.0
2010-09-02,285.0
2010-09-05,288.0
2010-09-06,283.0
2010-09-07,290.0
2010-09-08,293.0
2010-09-09,295.0
2010-09-12,290.0
2010-09-13,290.0
2010-09-14,285.0
2010-09-15,287.0
2010-09-16,290.0
2010-09-19,290.0
2010-09-20,292.0
2010-09-21,291.0
2010-09-23,283.0
2010-09-26,288.0
2010-09-27,284.0
2010-09-28,290.0
2010-09-29,290.0
2010-09-30,290.0
2010-10-03,290.0
2010-10-04,290.0
2010-10-05,291.0
2010-10-06,295.0
2010-10-07,305.0
2010-10-10,304.0
2010-10-11,300.0
2010-10-12,302.0
2010-10-13,299.0
2010-10-20,292.0
2010-10-21,290.0
2010-10-24,290.0
2010-10-25,295.0
2010-10-26,302.0
2010-10-27,295.0
2010-10-28,300.0
2010-10-31,297.0
2010-11-01,293.0
2010-11-02,292.0
2010-11-03,296.0
2010-11-04,295.0
2010-11-09,294.0
2010-11-10,300.0
2010-11-11,300.0
2010-11-14,300.0
2010-11-15,305.0
2010-11-16,300.0
2010-11-18,300.0
2010-11-21,295.0
2010-11-22,300.0
2010-11-23,295.0
2010-11-24,281.0
2010-11-25,285.0
2010-11-28,286.0
2010-11-29,287.0
2010-11-30,285.0
2010-12-01,287.0
2010-12-02,285.0
2010-12-05,276.0
2010-12-06,270.0
2010-12-07,270.0
2010-12-08,270.0
2010-12-09,270.0
2010-12-12,270.0
2010-12-13,270.0
2010-12-14,270.0
2010-12-15,256.0
2010-12-16,253.0
2010-12-19,241.0
2010-12-20,242.0
2010-12-22,242.0
2010-12-23,249.0
2010-12-26,251.0
2010-12-27,260.0
2010-12-28,258.0
2010-12-29,255.0
2011-01-02,260.0
2011-01-03,250.0
2011-01-04,241.0
2011-01-05,245.0
