Date,Open
2012-06-13,0.0
2012-06-14,100.0
2012-06-17,100.0
2012-06-18,100.0
2012-06-19,100.0
2012-08-28,100.0
2012-08-30,100.0
2012-09-05,100.0
2012-09-19,100.0
2012-10-08,100.0
2012-10-14,100.0
2012-11-06,100.0
2012-12-04,100.0
2013-01-17,100.0
2013-01-30,100.0
2013-04-08,100.0
2013-04-16,106.0
2013-04-23,110.0
2013-04-28,114.0
2013-04-30,118.0
2013-05-07,116.0
2013-05-15,120.0
2013-07-22,120.0
2013-09-05,124.0
2013-09-19,124.0
2013-10-10,124.0
2013-10-23,135.0
2013-11-11,139.0
2014-01-01,137.0
2014-01-05,135.0
2014-02-25,133.0
2014-03-11,135.0
2014-04-17,135.0
2014-08-21,137.0
2014-09-28,135.0
2014-09-30,135.0
2014-10-16,135.0
2015-01-26,135.0
2015-02-02,137.0
2015-03-04,137.0
