Date,Open
2007-07-01,110.0
2007-07-02,115.0
2007-07-03,120.0
2007-07-04,126.0
2007-07-05,132.0
2007-07-09,138.0
2007-07-10,144.0
2007-07-11,151.0
2007-08-14,156.0
2008-02-06,156.0
2008-03-13,159.0
2008-06-30,166.0
2008-07-30,175.0
2008-09-10,175.0
2008-09-11,178.0
2008-12-22,181.0
2009-01-18,187.0
2009-01-19,205.0
2009-03-22,217.0
2009-12-31,225.0
2010-02-08,198.0
2010-06-06,198.0
2010-07-27,138.0
2010-08-01,138.0
2010-09-06,138.0
2010-12-05,142.0
2010-12-27,153.0
2011-01-16,166.0
2011-02-01,169.0
2011-02-10,172.0
2011-02-21,187.0
2011-02-23,190.0
2011-03-07,193.0
2011-03-15,202.0
2011-03-16,212.0
2011-03-17,228.0
2011-03-20,240.0
2011-03-21,252.0
2011-03-22,257.0
2011-03-23,267.0
2011-03-24,282.0
2011-03-27,302.0
2011-03-29,314.0
2011-03-30,326.0
2011-03-31,358.0
2011-04-04,393.0
2011-04-05,395.0
2011-04-06,413.0
2011-04-07,407.0
2011-04-10,368.0
2011-04-28,360.0
2011-05-05,200.0
2011-05-08,200.0
2011-05-09,204.0
2011-05-10,196.0
2011-05-11,202.0
2011-05-26,199.0
2011-06-02,202.0
2011-06-05,206.0
2011-06-06,226.0
2011-06-07,230.0
2011-06-13,233.0
2011-07-05,221.0
2011-07-06,225.0
2011-07-19,217.0
2011-07-20,205.0
2011-07-21,225.0
2011-07-24,236.0
2011-07-26,248.0
2011-07-27,252.0
2011-07-28,267.0
2011-07-31,286.0
2011-08-02,292.0
2011-08-15,292.0
2011-08-16,287.0
2011-08-17,285.0
2011-08-18,285.0
2011-08-22,280.0
2011-08-24,270.0
2011-08-25,275.0
2011-08-29,280.0
2011-09-04,270.0
2011-09-05,260.0
2011-09-07,250.0
2011-09-13,264.0
2011-09-15,270.0
2011-09-19,265.0
2011-09-20,250.0
2011-09-22,252.0
2011-09-25,277.0
2011-09-26,277.0
2011-10-12,275.0
2011-10-17,280.0
2011-10-18,284.0
2011-10-20,290.0
2011-10-23,295.0
2011-10-24,300.0
2011-10-25,300.0
2011-10-30,308.0
2011-10-31,302.0
2011-11-02,296.0
2011-11-03,313.0
2011-11-06,282.0
2011-11-08,267.0
2011-11-09,266.0
2011-11-10,287.0
2011-11-13,296.0
2011-11-14,287.0
2011-11-15,287.0
2011-11-21,292.0
2011-11-24,287.0
2011-12-01,282.0
2011-12-22,277.0
2011-12-26,276.0
2011-12-27,261.0
2011-12-28,265.0
2011-12-29,260.0
2012-01-01,244.0
2012-01-03,240.0
2012-01-05,236.0
2012-01-08,236.0
2012-01-09,237.0
2012-01-10,238.0
2012-01-18,234.0
2012-01-19,226.0
2012-02-01,218.0
2012-02-02,214.0
2012-02-05,222.0
2012-02-12,222.0
2012-02-23,226.0
2012-03-01,230.0
2012-03-11,232.0
2012-03-20,236.0
2012-04-01,241.0
2012-04-04,229.0
2012-04-05,225.0
2012-04-08,229.0
2012-04-09,229.0
2012-04-12,231.0
2012-04-15,235.0
2012-04-17,243.0
2012-04-18,247.0
2012-04-19,256.0
2012-04-22,271.0
2012-04-24,281.0
2012-04-26,291.0
2012-04-29,296.0
2012-04-30,301.0
2012-05-09,295.0
2012-05-10,300.0
2012-05-13,299.0
2012-05-15,316.0
2012-05-16,310.0
2012-05-21,316.0
2012-05-22,316.0
2012-05-23,310.0
2012-05-24,293.0
2012-05-27,283.0
2012-05-29,279.0
2012-06-05,255.0
2012-06-13,270.0
2012-06-17,275.0
2012-06-18,270.0
2012-06-20,270.0
2012-06-21,273.0
2012-06-28,275.0
2012-07-04,270.0
2012-07-05,280.0
2012-07-09,290.0
2012-07-12,295.0
2012-07-15,289.0
2012-07-16,280.0
2012-07-18,280.0
2012-07-19,285.0
2012-07-22,290.0
2012-07-24,306.0
2012-07-26,294.0
2012-07-30,299.0
2012-08-06,306.0
2012-08-12,306.0
2012-08-13,301.0
2012-08-14,301.0
2012-08-15,301.0
2012-08-19,295.0
2012-08-22,295.0
2012-08-23,285.0
2012-08-28,275.0
2012-09-04,260.0
2012-09-09,265.0
2012-09-10,270.0
2012-09-13,270.0
2012-09-16,270.0
2012-09-17,270.0
2012-09-18,297.0
2012-09-19,326.0
2012-09-23,344.0
2012-09-26,338.0
2012-10-01,314.0
2012-10-09,308.0
2012-10-10,301.0
2012-10-14,285.0
2012-10-30,276.0
2012-10-31,278.0
2012-11-07,283.0
2012-11-11,279.0
2012-11-20,284.0
2012-11-21,286.0
2012-11-25,291.0
2012-11-27,283.0
2012-11-28,288.0
2012-11-29,290.0
2012-12-02,305.0
2012-12-03,305.0
2012-12-04,300.0
2012-12-05,304.0
2012-12-06,298.0
2012-12-09,290.0
2012-12-10,291.0
2012-12-11,295.0
2012-12-13,300.0
2012-12-16,295.0
2012-12-17,300.0
2012-12-19,300.0
2012-12-20,306.0
2012-12-23,300.0
2012-12-24,330.0
2012-12-26,340.0
2012-12-27,322.0
2012-12-31,315.0
2013-01-01,309.0
2013-01-03,302.0
2013-01-09,291.0
2013-01-10,300.0
2013-01-13,324.0
2013-01-15,334.0
2013-01-16,322.0
2013-01-17,322.0
2013-01-23,316.0
2013-01-28,310.0
2013-02-04,304.0
2013-02-10,293.0
2013-02-12,288.0
2013-02-13,290.0
2013-02-14,286.0
2013-02-19,288.0
2013-02-20,292.0
2013-02-24,287.0
2013-02-26,287.0
2013-03-04,282.0
2013-03-05,277.0
2013-03-07,287.0
2013-03-11,285.0
2013-03-14,288.0
2013-03-18,293.0
2013-03-19,283.0
2013-03-24,280.0
2013-04-01,276.0
2013-04-02,281.0
2013-04-09,286.0
2013-04-11,285.0
2013-04-15,313.0
2013-04-16,315.0
2013-04-17,312.0
2013-04-18,318.0
2013-04-21,316.0
2013-04-22,340.0
2013-04-28,334.0
2013-04-29,324.0
2013-04-30,320.0
2013-05-05,324.0
2013-05-07,324.0
2013-05-08,320.0
2013-05-09,332.0
2013-05-12,339.0
2013-05-13,334.0
2013-05-15,335.0
2013-05-16,341.0
2013-05-20,345.0
2013-05-21,340.0
2013-05-22,344.0
2013-05-23,338.0
2013-05-26,341.0
2013-05-27,345.0
2013-05-28,374.0
2013-06-03,393.0
2013-06-06,386.0
2013-06-12,386.0
2013-06-13,379.0
2013-06-16,358.0
2013-06-17,360.0
2013-06-23,350.0
2013-06-24,346.0
2013-07-01,336.0
2013-07-04,336.0
2013-07-07,358.0
2013-07-08,365.0
2013-07-09,370.0
2013-07-10,375.0
2013-07-14,375.0
2013-07-16,365.0
2013-07-17,365.0
2013-07-18,372.0
2013-07-21,393.0
2013-07-23,400.0
2013-07-24,392.0
2013-07-25,399.0
2013-07-28,432.0
2013-07-29,440.0
2013-07-30,460.0
2013-07-31,454.0
2013-08-01,470.0
2013-08-04,497.0
2013-08-05,488.0
2013-08-06,470.0
2013-08-07,488.0
2013-08-08,497.0
2013-08-11,510.0
2013-08-12,486.0
2013-08-13,520.0
2013-08-14,540.0
2013-08-15,529.0
2013-08-18,501.0
2013-08-19,506.0
2013-08-20,505.0
2013-08-25,545.0
2013-08-26,555.0
2013-08-27,588.0
2013-08-29,599.0
2013-09-01,580.0
2013-09-02,581.0
2013-09-03,567.0
2013-09-04,560.0
2013-09-05,552.0
2013-09-08,561.0
2013-09-09,583.0
2013-09-10,601.0
2013-09-11,599.0
2013-09-15,598.0
2013-09-16,565.0
2013-09-17,576.0
2013-09-19,569.0
2013-09-24,579.0
2013-09-25,560.0
2013-09-26,582.0
2013-10-07,604.0
2013-10-08,651.0
2013-10-17,638.0
2013-10-20,599.0
2013-10-21,566.0
2013-10-22,580.0
2013-10-23,571.0
2013-10-27,561.0
2013-10-28,550.0
2013-10-29,550.0
2013-11-06,545.0
2013-11-07,577.0
2013-11-12,587.0
2013-11-13,589.0
2013-11-14,592.0
2013-11-21,600.0
2013-11-24,624.0
2013-11-25,686.0
2013-11-26,703.0
2013-11-27,690.0
2013-11-28,703.0
2013-12-01,689.0
2013-12-02,710.0
2013-12-03,781.0
2013-12-04,827.0
2013-12-05,850.0
2013-12-08,900.0
2013-12-11,882.0
2013-12-12,860.0
2013-12-15,865.0
2013-12-16,882.0
2013-12-18,899.0
2013-12-19,901.0
2013-12-22,889.0
2013-12-23,935.0
2013-12-24,930.0
2013-12-26,920.0
2014-01-06,885.0
2014-01-07,752.0
2014-01-08,767.0
2014-01-09,785.0
2014-01-12,800.0
2014-01-14,816.0
2014-01-16,832.0
2014-01-20,848.0
2014-01-21,850.0
2014-01-22,867.0
2014-01-23,870.0
2014-01-26,870.0
2014-02-02,880.0
2014-02-03,838.0
2014-02-04,865.0
2014-02-05,865.0
2014-02-06,934.0
2014-02-09,945.0
2014-02-10,1000.0
2014-02-11,999.0
2014-02-12,1010.0
2014-02-13,951.0
2014-02-16,955.0
2014-02-17,965.0
2014-02-18,964.0
2014-02-20,990.0
2014-02-23,1029.0
2014-02-24,1010.0
2014-02-25,1000.0
2014-02-26,990.0
2014-03-05,990.0
2014-03-11,980.0
2014-03-12,906.0
2014-03-13,888.0
2014-03-17,899.0
2014-03-19,882.0
2014-03-20,852.0
2014-03-23,835.0
2014-03-24,787.0
2014-03-26,801.0
2014-03-31,788.0
2014-04-01,800.0
2014-04-02,820.0
2014-04-03,886.0
2014-04-06,930.0
2014-04-07,950.0
2014-04-09,930.0
2014-04-10,948.0
2014-04-13,990.0
2014-04-16,980.0
2014-04-17,980.0
2014-04-20,961.0
2014-04-21,930.0
2014-04-22,912.0
2014-04-23,930.0
2014-04-28,966.0
2014-04-29,960.0
2014-04-30,981.0
2014-05-04,973.0
2014-05-05,1070.0
2014-05-06,1174.0
2014-05-08,1130.0
2014-05-11,1108.0
2014-05-12,1045.0
2014-05-13,1022.0
2014-05-15,1014.0
2014-05-18,961.0
2014-05-19,986.0
2014-05-20,1010.0
2014-05-21,1021.0
2014-05-22,1045.0
2014-05-25,1053.0
2014-05-26,1065.0
2014-05-27,1055.0
2014-05-28,1049.0
2014-06-01,1042.0
2014-06-02,1060.0
2014-06-03,1065.0
2014-06-04,1080.0
2014-06-05,1038.0
2014-06-08,999.0
2014-06-09,1040.0
2014-06-10,1008.0
2014-06-11,1015.0
2014-06-16,1020.0
2014-06-17,1010.0
2014-06-18,973.0
2014-06-19,985.0
2014-06-23,1020.0
2014-06-24,1000.0
2014-06-25,980.0
2014-06-29,1018.0
2014-06-30,1020.0
2014-07-01,1095.0
2014-07-02,1100.0
2014-07-03,1137.0
2014-07-06,1108.0
2014-07-07,1100.0
2014-07-08,1079.0
2014-07-09,1106.0
2014-07-13,1128.0
2014-07-14,1150.0
2014-07-16,1130.0
2014-07-17,1109.0
2014-07-20,1159.0
2014-07-21,1260.0
2014-07-22,1386.0
2014-07-23,1386.0
2014-07-24,1360.0
2014-07-27,1340.0
2014-07-30,1350.0
2014-07-31,1340.0
2014-08-04,1325.0
2014-08-05,1240.0
2014-08-06,1244.0
2014-08-07,1368.0
2014-08-12,1395.0
2014-08-13,1375.0
2014-08-14,1330.0
2014-08-18,1365.0
2014-08-19,1340.0
2014-08-21,1323.0
2014-08-25,1349.0
2014-08-26,1249.0
2014-08-27,1224.0
2014-08-28,1251.0
2014-08-31,1235.0
2014-09-01,1239.0
2014-09-15,1240.0
2014-09-16,1200.0
2014-09-17,1190.0
2014-09-24,1253.0
2014-09-28,1202.0
2014-09-29,1213.0
2014-09-30,1302.0
2014-10-08,1299.0
2014-10-09,1274.0
2014-10-12,1270.0
2014-10-13,1270.0
2014-10-14,1275.0
2014-10-15,1256.0
2014-10-16,1300.0
2014-10-19,1294.0
2014-10-20,1300.0
2014-10-21,1300.0
2014-10-22,1300.0
2014-10-27,1310.0
2014-10-28,1329.0
2014-10-30,1305.0
2014-11-02,1307.0
2014-11-03,1300.0
2014-11-05,1281.0
2014-11-10,1300.0
2014-11-11,1270.0
2014-11-13,1295.0
2014-11-16,1280.0
2014-11-17,1287.0
2014-11-18,1275.0
2014-11-19,1250.0
2014-11-20,1266.0
2014-11-23,1250.0
2014-11-24,1275.0
2014-12-01,1262.0
2014-12-08,926.0
2014-12-09,909.0
2014-12-10,891.0
2014-12-11,875.0
2014-12-14,892.0
