Date,Open
2007-12-04,617.0
2007-12-11,570.0
2007-12-12,598.0
2007-12-19,627.0
2007-12-27,658.0
2008-01-06,709.0
2008-01-07,730.0
2008-01-20,730.0
2008-01-22,744.0
2008-02-05,760.0
2008-02-07,775.0
2008-02-10,790.0
2008-02-14,775.0
2008-02-18,770.0
2008-02-20,750.0
2008-02-21,760.0
2008-02-24,750.0
2008-02-25,749.0
2008-02-26,731.0
2008-02-27,734.0
2008-02-28,720.0
2008-03-02,720.0
2008-03-03,706.0
2008-03-04,710.0
2008-03-13,720.0
2008-03-17,706.0
2008-03-20,679.0
2008-03-25,666.0
2008-03-26,630.0
2008-03-30,630.0
2008-03-31,630.0
2008-04-01,630.0
2008-04-27,580.0
2008-04-29,580.0
2008-04-30,558.0
2008-05-06,569.0
2008-05-08,558.0
2008-05-11,591.0
2008-05-12,639.0
2008-05-15,615.0
2008-05-18,651.0
2008-05-21,664.0
2008-05-22,651.0
2008-05-25,664.0
2008-06-04,680.0
2008-06-05,693.0
2008-06-11,693.0
2008-06-17,680.0
2008-06-18,693.0
2008-06-30,725.0
2008-07-02,797.0
2008-07-03,828.0
2008-07-06,844.0
2008-07-07,840.0
2008-07-10,856.0
2008-07-17,823.0
2008-07-22,850.0
2008-07-23,817.0
2008-07-27,812.0
2008-07-30,816.0
2008-07-31,821.0
2008-08-05,840.0
2008-08-10,856.0
2008-08-11,856.0
2008-08-12,873.0
2008-08-13,874.0
2008-08-19,908.0
2008-08-25,926.0
2008-08-31,918.0
2008-09-03,938.0
2008-09-08,956.0
2008-09-09,977.0
2008-09-10,980.0
2008-09-11,984.0
2008-09-15,1023.0
2008-09-16,1043.0
2008-09-18,1064.0
2008-09-23,1100.0
2008-09-24,1110.0
2008-10-01,1154.0
2008-10-27,1177.0
2008-11-03,1160.0
2008-11-06,1145.0
2008-11-09,1130.0
2008-11-11,1130.0
2008-11-12,1130.0
2008-11-16,1130.0
2008-11-17,1186.0
2008-11-19,1165.0
2008-11-20,1140.0
2008-12-03,1120.0
2008-12-04,1093.0
2008-12-07,1177.0
2008-12-08,1225.0
2008-12-10,1347.0
2008-12-11,1380.0
2008-12-16,1380.0
2008-12-17,1305.0
2008-12-18,1215.0
2008-12-21,1200.0
2008-12-22,1180.0
2008-12-23,1190.0
2008-12-24,1210.0
2008-12-28,1200.0
2009-01-05,1226.0
2009-01-11,1250.0
2009-01-18,1300.0
2009-01-20,1274.0
2009-01-25,1249.0
2009-01-26,1154.0
2009-01-28,1060.0
2009-02-01,1060.0
2009-02-02,960.0
2009-02-03,979.0
2009-02-04,882.0
2009-02-05,866.0
2009-02-16,786.0
2009-02-22,825.0
2009-03-01,799.0
2009-03-02,878.0
2009-03-03,912.0
2009-03-04,1003.0
2009-03-05,1103.0
2009-03-08,1110.0
2009-03-09,1099.0
2009-03-12,1069.0
2009-03-15,1090.0
2009-03-16,1100.0
2009-03-17,1057.0
2009-03-18,980.0
2009-03-19,981.0
2009-03-24,940.0
2009-03-25,950.0
2009-03-30,931.0
2009-04-01,995.0
2009-04-02,1050.0
2009-04-05,1012.0
2009-04-07,1010.0
2009-04-09,1000.0
2009-04-12,1000.0
2009-04-13,1000.0
2009-04-16,1045.0
2009-04-21,1060.0
2009-04-22,1060.0
2009-04-23,1055.0
2009-04-29,1054.0
2009-05-13,1035.0
2009-05-14,1015.0
2009-05-17,1035.0
2009-05-18,1050.0
2009-05-19,1091.0
2009-05-20,1115.0
2009-05-21,1145.0
2009-05-24,1140.0
2009-05-25,1181.0
2009-06-07,1256.0
2009-06-08,300.0
2009-07-29,300.0
2009-08-09,306.0
2009-09-02,306.0
2009-09-13,312.0
2009-10-07,318.0
2009-10-08,318.0
2009-11-02,324.0
2009-11-19,330.0
2009-11-24,342.0
2009-11-25,361.0
2009-11-26,348.0
2009-11-30,350.0
2009-12-01,350.0
2009-12-03,335.0
2009-12-07,325.0
2009-12-08,349.0
2009-12-09,362.0
2009-12-10,365.0
2009-12-13,372.0
2009-12-15,375.0
2009-12-16,382.0
2009-12-17,392.0
2009-12-20,392.0
2009-12-21,385.0
2009-12-27,380.0
2009-12-31,378.0
2010-01-25,378.0
2010-01-27,371.0
2010-02-03,362.0
2010-02-10,360.0
2010-02-15,355.0
2010-03-01,355.0
2010-03-02,362.0
2010-03-03,360.0
2010-03-04,340.0
2010-03-09,329.0
2010-03-10,325.0
2010-03-11,325.0
2010-03-28,331.0
2010-04-04,325.0
2010-04-06,310.0
2010-04-15,310.0
2010-04-20,285.0
2010-04-25,285.0
2010-04-26,280.0
2010-04-29,275.0
2010-05-11,274.0
2010-05-19,279.0
2010-05-23,264.0
2010-05-24,265.0
2010-05-31,280.0
2010-06-06,285.0
2010-06-10,295.0
2010-06-16,306.0
2010-06-21,306.0
2010-06-30,312.0
2010-07-04,310.0
2010-07-05,310.0
2010-07-07,310.0
2010-07-22,310.0
2010-07-25,310.0
2010-08-01,310.0
2010-08-02,310.0
2010-08-03,310.0
2010-08-04,310.0
2010-08-05,316.0
2010-08-10,310.0
2010-08-11,305.0
2010-08-12,310.0
2010-08-16,310.0
2010-08-18,310.0
2010-08-19,310.0
2010-08-23,310.0
2010-08-29,304.0
2010-08-31,310.0
2010-09-02,310.0
2010-09-05,316.0
2010-09-06,310.0
2010-09-08,318.0
2010-09-09,310.0
2010-09-12,310.0
2010-09-13,311.0
2010-09-15,310.0
2010-09-19,300.0
2010-09-20,300.0
2010-09-26,300.0
2010-09-29,300.0
2010-10-03,300.0
2010-10-04,298.0
2010-11-09,293.0
2010-11-10,290.0
2010-11-11,290.0
2010-11-22,286.0
2010-11-23,314.0
2010-11-24,310.0
2010-11-28,298.0
2010-12-05,298.0
2010-12-07,295.0
2010-12-09,290.0
2010-12-12,282.0
2010-12-13,277.0
2010-12-14,272.0
2010-12-15,272.0
2010-12-19,277.0
2011-01-04,275.0
2011-01-16,275.0
2011-01-17,270.0
2011-01-18,275.0
2011-02-02,280.0
2011-02-03,285.0
2011-02-09,290.0
2011-02-13,310.0
2011-02-14,304.0
2011-02-15,300.0
2011-02-17,313.0
2011-02-20,331.0
2011-02-21,337.0
2011-02-22,325.0
2011-02-23,332.0
2011-02-27,338.0
2011-03-07,332.0
2011-03-10,326.0
2011-03-14,326.0
2011-03-15,304.0
2011-03-16,304.0
2011-03-21,298.0
2011-03-22,295.0
2011-03-23,297.0
2011-03-29,297.0
2011-04-04,293.0
2011-04-13,288.0
2011-04-17,283.0
2011-04-18,278.0
2011-04-19,263.0
2011-04-25,270.0
2011-05-02,265.0
2011-05-04,265.0
2011-05-05,275.0
2011-05-08,280.0
