Date,Open
2007-04-03,118.0
2007-04-10,120.0
2007-04-11,120.0
2007-04-16,125.0
2007-04-17,125.0
2007-05-10,125.0
2007-05-13,125.0
2007-05-14,125.0
2007-05-22,131.0
2007-05-24,125.0
2007-05-28,131.0
2007-06-03,131.0
2007-06-10,131.0
2007-06-11,127.0
2007-06-18,127.0
2007-06-19,127.0
2007-06-25,137.0
2007-06-27,142.0
2007-07-01,149.0
2007-07-10,156.0
2007-07-11,163.0
2007-07-15,160.0
2007-07-19,168.0
2007-07-22,176.0
2007-07-26,184.0
2007-07-31,193.0
2007-08-05,200.0
2007-08-14,200.0
2007-08-16,200.0
2007-08-30,200.0
2007-12-12,204.0
2008-03-23,204.0
2008-03-26,204.0
2008-05-15,204.0
2008-06-03,204.0
2008-06-05,208.0
2008-06-23,208.0
2008-06-25,208.0
2008-07-20,200.0
2008-08-11,204.0
2008-08-19,208.0
2008-08-20,224.0
2008-09-22,240.0
2008-10-26,244.0
2008-12-03,248.0
2008-12-17,248.0
2008-12-18,272.0
2008-12-21,292.0
2008-12-22,320.0
2008-12-23,350.0
2008-12-24,385.0
2008-12-28,399.0
2008-12-29,438.0
2008-12-31,472.0
2009-01-01,519.0
2009-01-04,570.0
2009-01-05,580.0
2009-01-06,570.0
2009-01-08,560.0
2009-01-18,549.0
2009-01-22,559.0
2009-02-16,548.0
2009-04-13,505.0
2009-04-16,486.0
2009-04-21,460.0
2009-06-01,460.0
2009-06-02,469.0
2009-06-07,475.0
2009-06-08,466.0
2009-06-09,460.0
2009-07-09,442.0
2009-08-03,298.0
2009-08-09,303.0
2009-08-19,303.0
2009-08-24,311.0
2009-08-25,317.0
2009-08-26,323.0
2009-08-27,324.0
2009-09-02,354.0
2009-09-08,382.0
2009-09-10,380.0
2009-09-13,355.0
2009-09-15,374.0
2009-09-16,381.0
2009-09-17,402.0
2009-09-20,420.0
2009-10-04,441.0
2009-10-11,449.0
2009-10-12,457.0
2009-10-13,466.0
2009-10-14,470.0
2009-10-27,475.0
2009-10-28,466.0
2009-10-29,457.0
2009-12-01,432.0
2009-12-14,430.0
2010-01-03,430.0
2010-01-07,425.0
2010-01-17,430.0
2010-02-15,438.0
2010-03-01,438.0
2010-04-12,422.0
2010-06-09,422.0
2010-07-07,422.0
2010-08-11,414.0
2010-09-27,406.0
2010-10-31,400.0
2010-12-12,400.0
2010-12-29,392.0
2011-03-22,385.0
2011-04-25,321.0
2011-05-19,182.0
2011-05-25,179.0
2011-10-10,170.0
2011-10-13,164.0
2011-10-17,158.0
2011-10-18,152.0
2011-11-09,145.0
2011-11-10,143.0
2011-12-01,141.0
2011-12-04,127.0
2011-12-06,120.0
2011-12-07,118.0
2011-12-08,114.0
2011-12-11,115.0
2011-12-13,116.0
2011-12-18,117.0
2011-12-19,119.0
2011-12-20,120.0
2011-12-21,116.0
2011-12-22,113.0
2011-12-26,112.0
2011-12-27,116.0
2011-12-29,112.0
2012-01-01,114.0
2012-01-26,118.0
2012-01-29,120.0
2012-01-31,118.0
2012-02-27,116.0
2012-04-04,116.0
2012-04-22,117.0
2012-04-26,119.0
2012-04-29,123.0
2012-05-10,121.0
2012-05-14,122.0
2012-05-22,116.0
2012-05-24,115.0
2012-06-03,117.0
2012-06-04,119.0
2012-06-14,115.0
2012-06-17,111.0
2012-06-19,103.0
2012-06-20,102.0
2012-06-21,104.0
2012-07-05,104.0
2012-07-08,103.0
2012-07-09,103.0
2012-07-10,103.0
2012-07-11,102.0
2012-07-15,101.0
2012-07-16,101.0
2012-07-31,102.0
2012-08-06,100.0
2012-08-12,102.0
2012-08-23,102.0
2012-08-28,98.0
2012-09-05,97.0
2012-10-08,96.0
2012-10-30,94.0
2012-11-04,93.0
2012-11-18,92.0
2013-01-09,91.0
2013-02-13,90.0
2013-07-23,89.0
2013-09-02,88.0
2013-09-03,93.0
2013-09-04,102.0
2013-09-05,96.0
2013-09-08,96.0
2013-09-09,95.0
2013-09-10,97.0
2013-09-11,100.0
2013-09-15,98.0
2013-09-16,99.0
2013-09-17,98.0
2013-09-19,99.0
2013-09-22,99.0
2013-12-01,101.0
2013-12-09,89.0
2013-12-10,91.0
2013-12-11,95.0
2013-12-12,104.0
2013-12-15,108.0
2013-12-16,112.0
2013-12-18,110.0
2013-12-19,112.0
2013-12-26,114.0
2014-01-05,116.0
2014-01-27,116.0
2014-01-29,118.0
2014-02-05,129.0
2014-02-20,128.0
2014-02-25,130.0
2014-02-26,136.0
2014-05-15,138.0
2014-05-18,151.0
2014-05-19,166.0
2014-05-20,169.0
2014-05-26,170.0
2014-05-28,173.0
2014-06-01,156.0
2014-06-09,153.0
2014-06-10,147.0
2014-06-11,141.0
2014-06-12,143.0
2014-06-15,141.0
2014-06-16,145.0
2014-06-17,157.0
2014-06-19,166.0
2014-07-01,169.0
2014-07-07,172.0
2014-07-08,169.0
2014-07-09,166.0
2014-07-10,160.0
2014-07-13,157.0
2014-07-14,154.0
2014-07-16,148.0
2014-07-17,160.0
2014-07-20,176.0
2014-07-21,193.0
2014-07-22,212.0
2014-07-23,233.0
2014-07-24,237.0
2014-07-27,236.0
2014-07-28,228.0
2014-07-30,225.0
2014-07-31,228.0
