Date,Open
2014-10-09,365.0
2014-10-13,344.0
2014-10-19,326.0
2014-10-20,294.0
2014-10-21,265.0
2014-10-22,239.0
2014-10-26,216.0
2014-10-27,206.0
2014-10-28,209.0
2014-10-30,200.0
2014-11-02,187.0
2014-11-03,183.0
2014-11-04,181.0
2014-11-05,180.0
2014-11-06,178.0
2014-11-09,177.0
2014-11-10,175.0
2014-11-11,174.0
2014-11-12,184.0
2014-11-13,182.0
2014-11-16,184.0
2014-11-17,186.0
2014-11-18,185.0
2014-11-19,180.0
2014-11-20,180.0
2014-11-23,183.0
2014-11-24,183.0
2014-11-25,184.0
2014-11-30,182.0
2014-12-01,179.0
2014-12-02,179.0
2014-12-03,178.0
2014-12-04,176.0
2014-12-07,180.0
2014-12-08,178.0
2014-12-09,186.0
2014-12-10,180.0
2014-12-11,180.0
2014-12-14,190.0
2014-12-15,193.0
2014-12-16,184.0
2014-12-17,186.0
2014-12-18,187.0
2014-12-21,186.0
2014-12-22,181.0
2014-12-23,184.0
2014-12-24,178.0
2014-12-28,182.0
2014-12-29,183.0
2014-12-31,184.0
2015-01-01,185.0
2015-01-04,197.0
2015-01-05,205.0
2015-01-06,203.0
2015-01-07,205.0
2015-01-08,219.0
2015-01-11,227.0
2015-01-12,221.0
2015-01-13,220.0
2015-01-14,228.0
2015-01-18,239.0
2015-01-19,232.0
2015-01-20,236.0
2015-01-22,236.0
2015-01-25,227.0
2015-01-26,237.0
2015-01-27,234.0
2015-01-28,244.0
2015-01-29,253.0
2015-02-01,248.0
2015-02-02,261.0
2015-02-03,269.0
2015-02-04,269.0
2015-02-05,265.0
2015-02-08,262.0
2015-02-09,262.0
2015-02-10,258.0
2015-02-11,266.0
2015-02-12,275.0
2015-02-15,279.0
2015-02-16,284.0
2015-02-18,290.0
2015-02-22,292.0
2015-02-23,284.0
2015-02-24,282.0
2015-02-25,283.0
2015-02-26,279.0
2015-03-01,290.0
2015-03-02,283.0
2015-03-03,285.0
2015-03-04,282.0
2015-03-09,285.0
2015-03-10,285.0
2015-03-11,293.0
2015-03-12,288.0
2015-03-15,285.0
2015-03-16,280.0
2015-03-17,273.0
2015-03-18,288.0
2015-03-19,294.0
2015-03-22,288.0
2015-03-23,288.0
2015-03-24,290.0
2015-03-25,286.0
2015-03-26,283.0
