Date,Open
2011-01-02,183.0
2011-01-03,354.0
2011-01-19,340.0
2011-01-20,306.0
2011-01-23,276.0
2011-01-24,249.0
2011-01-31,225.0
2011-02-01,205.0
2011-02-02,185.0
2011-02-03,167.0
2011-02-06,169.0
2011-02-07,171.0
2011-02-08,169.0
2011-02-09,167.0
2011-02-10,169.0
2011-02-13,168.0
2011-02-14,165.0
2011-02-15,162.0
2011-02-16,162.0
2011-02-17,160.0
2011-02-20,159.0
2011-02-21,156.0
2011-02-22,163.0
2011-02-23,163.0
2011-02-24,155.0
2011-02-27,152.0
2011-02-28,156.0
2011-03-01,154.0
2011-03-03,153.0
2011-03-07,158.0
2011-03-09,148.0
2011-03-10,154.0
2011-03-13,151.0
2011-03-14,151.0
2011-03-15,150.0
2011-03-16,140.0
2011-03-17,145.0
2011-03-20,144.0
2011-03-21,141.0
2011-03-22,145.0
2011-03-23,143.0
2011-03-24,140.0
2011-03-27,142.0
2011-03-28,142.0
2011-03-29,133.0
2011-03-30,139.0
2011-03-31,134.0
2011-04-04,136.0
2011-04-05,139.0
2011-04-06,136.0
2011-04-07,134.0
2011-04-10,134.0
2011-04-11,135.0
2011-04-13,132.0
2011-04-17,140.0
2011-04-18,139.0
2011-04-19,132.0
2011-04-20,132.0
2011-04-21,130.0
2011-04-25,141.0
2011-04-27,139.0
2011-04-28,129.0
2011-05-02,128.0
2011-05-03,127.0
2011-05-04,124.0
2011-05-05,130.0
2011-05-08,130.0
2011-05-09,134.0
2011-05-10,128.0
2011-05-11,130.0
2011-05-12,130.0
2011-05-15,134.0
2011-05-16,133.0
2011-05-18,135.0
2011-05-19,134.0
2011-05-22,128.0
2011-05-23,134.0
2011-05-24,130.0
2011-05-25,130.0
2011-05-26,129.0
2011-05-30,130.0
2011-05-31,130.0
2011-06-01,128.0
2011-06-02,128.0
2011-06-05,132.0
2011-06-06,128.0
2011-06-07,123.0
2011-06-08,116.0
2011-06-09,112.0
2011-06-12,112.0
2011-06-13,111.0
2011-06-14,106.0
2011-06-15,107.0
2011-06-16,107.0
2011-06-19,113.0
2011-06-20,124.0
2011-06-21,135.0
2011-06-23,140.0
2011-06-26,154.0
2011-06-27,151.0
2011-06-29,146.0
2011-06-30,146.0
2011-07-04,135.0
2011-07-05,129.0
2011-07-06,123.0
2011-07-07,129.0
2011-07-10,127.0
2011-07-11,125.0
2011-07-12,130.0
2011-07-13,128.0
2011-07-14,132.0
2011-07-18,130.0
2011-07-19,134.0
2011-07-20,138.0
2011-07-21,140.0
2011-07-24,142.0
2011-07-25,134.0
2011-07-26,128.0
2011-07-27,132.0
2011-07-28,138.0
2011-07-31,134.0
2011-08-01,132.0
2011-08-02,140.0
2011-08-03,135.0
2011-08-04,136.0
2011-08-07,139.0
2011-08-08,136.0
2011-08-09,135.0
2011-08-10,136.0
2011-08-11,136.0
2011-08-15,138.0
2011-08-16,140.0
2011-08-17,138.0
2011-08-18,137.0
2011-08-22,141.0
2011-08-23,139.0
2011-08-24,140.0
2011-08-25,142.0
2011-08-28,141.0
2011-08-29,135.0
2011-08-30,135.0
2011-09-01,142.0
2011-09-04,138.0
2011-09-05,139.0
2011-09-06,139.0
2011-09-07,138.0
2011-09-08,139.0
