Date,Open
2012-09-09,514.0
2012-09-10,175.0
2012-09-11,192.0
2012-09-12,211.0
2012-09-13,232.0
2012-09-16,255.0
2012-09-17,260.0
2012-09-18,270.0
2012-09-19,275.0
2012-09-20,270.0
2012-09-23,260.0
2012-09-24,247.0
2012-09-25,248.0
2012-09-26,248.0
2012-09-27,247.0
2012-09-30,245.0
2012-10-01,244.0
2012-10-02,243.0
2012-10-03,248.0
2012-10-04,248.0
2012-10-07,250.0
2012-10-08,252.0
2012-10-09,252.0
2012-10-10,256.0
2012-10-11,253.0
2012-10-14,251.0
2012-10-15,254.0
2012-10-17,252.0
2012-10-18,260.0
2012-10-30,266.0
2012-10-31,270.0
2012-11-01,278.0
2012-11-04,287.0
2012-11-05,296.0
2012-11-06,297.0
2012-11-07,304.0
2012-11-08,310.0
2012-11-11,308.0
2012-11-12,293.0
2012-11-18,313.0
2012-11-20,318.0
2012-11-21,333.0
2012-11-22,343.0
2012-11-25,342.0
2012-11-26,352.0
2012-11-27,359.0
2012-11-28,366.0
2012-11-29,380.0
2012-12-02,380.0
2012-12-03,370.0
2012-12-04,364.0
2012-12-05,380.0
2012-12-06,400.0
2012-12-09,404.0
2012-12-10,387.0
2012-12-11,389.0
2012-12-13,390.0
2012-12-16,395.0
2012-12-17,429.0
2012-12-18,438.0
2012-12-19,436.0
2012-12-20,438.0
2012-12-23,425.0
2012-12-24,424.0
2012-12-26,439.0
2012-12-27,449.0
2012-12-31,433.0
2013-01-01,426.0
2013-01-02,411.0
2013-01-03,411.0
2013-01-06,415.0
2013-01-07,410.0
2013-01-08,404.0
2013-01-09,402.0
2013-01-10,399.0
2013-01-13,410.0
2013-01-15,400.0
2013-01-16,426.0
2013-01-17,413.0
2013-01-20,406.0
2013-01-21,396.0
2013-01-22,402.0
2013-01-23,407.0
2013-01-24,406.0
2013-01-27,400.0
2013-01-28,408.0
2013-01-30,410.0
2013-01-31,405.0
2013-02-03,405.0
2013-02-04,414.0
2013-02-05,424.0
2013-02-06,416.0
2013-02-07,417.0
2013-02-10,416.0
2013-02-12,415.0
2013-02-13,438.0
2013-02-14,438.0
2013-02-17,441.0
2013-02-19,484.0
2013-02-20,470.0
2013-02-21,465.0
2013-02-24,468.0
2013-02-25,460.0
2013-02-26,484.0
2013-02-27,486.0
2013-02-28,484.0
2013-03-03,488.0
2013-03-04,499.0
2013-03-05,482.0
2013-03-06,491.0
2013-03-07,499.0
2013-03-11,495.0
2013-03-13,500.0
2013-03-14,517.0
2013-03-17,530.0
2013-03-18,524.0
2013-03-19,526.0
2013-03-20,521.0
2013-03-21,514.0
2013-03-24,506.0
2013-03-25,500.0
2013-03-27,504.0
2013-03-28,499.0
2013-03-31,498.0
2013-04-01,482.0
2013-04-02,502.0
2013-04-03,507.0
2013-04-04,500.0
2013-04-07,497.0
2013-04-08,499.0
2013-04-09,502.0
2013-04-11,516.0
2013-04-15,513.0
2013-04-16,515.0
2013-04-17,520.0
2013-04-18,517.0
2013-04-21,508.0
2013-04-22,495.0
2013-04-23,493.0
2013-04-25,496.0
2013-04-28,488.0
2013-04-29,480.0
2013-04-30,486.0
2013-05-02,481.0
2013-05-05,485.0
2013-05-06,465.0
2013-05-07,435.0
2013-05-08,455.0
2013-05-09,444.0
2013-05-12,446.0
2013-05-13,448.0
2013-05-14,447.0
2013-08-05,432.0
2013-08-06,475.0
2013-08-07,505.0
2013-08-08,489.0
2013-08-11,475.0
2013-08-12,459.0
2013-08-13,451.0
2013-08-14,449.0
2013-08-15,444.0
2013-08-18,430.0
2013-08-19,441.0
2013-08-20,443.0
2013-08-25,448.0
2013-08-26,435.0
2013-08-27,428.0
2013-08-29,425.0
2013-09-01,429.0
2013-09-02,433.0
2013-09-03,430.0
2013-09-04,431.0
2013-09-05,430.0
2013-09-08,422.0
2013-09-09,423.0
2013-09-10,430.0
2013-09-11,420.0
2013-09-12,420.0
2013-09-15,421.0
2013-09-16,409.0
2013-09-17,407.0
2013-09-19,398.0
2013-09-22,420.0
2013-09-23,404.0
2013-09-24,406.0
2013-09-25,402.0
2013-09-26,401.0
2013-09-29,400.0
2013-09-30,400.0
2013-10-01,397.0
2013-10-02,400.0
2013-10-03,398.0
2013-10-06,399.0
2013-10-07,400.0
2013-10-08,421.0
2013-10-09,415.0
2013-10-10,427.0
2013-10-17,428.0
2013-10-20,431.0
2013-10-21,446.0
2013-10-22,455.0
2013-10-23,460.0
2013-10-24,461.0
2013-10-27,450.0
2013-10-28,450.0
2013-10-29,447.0
2013-10-30,448.0
2013-10-31,451.0
2013-11-06,457.0
2013-11-07,440.0
2013-11-10,444.0
2014-04-30,430.0
2014-05-04,472.0
2014-05-05,519.0
2014-05-06,570.0
2014-05-07,627.0
2014-05-08,663.0
2014-05-11,645.0
2014-05-12,625.0
2014-05-13,619.0
2014-05-15,616.0
2014-05-18,610.0
2014-05-19,589.0
2014-05-20,601.0
2014-05-21,590.0
2014-05-22,585.0
2014-05-25,587.0
2014-05-26,582.0
2014-05-27,579.0
2014-05-28,570.0
2014-06-01,580.0
2014-06-02,572.0
2014-06-03,580.0
2014-06-04,580.0
2014-06-05,572.0
2014-06-08,570.0
2014-06-09,567.0
2014-06-10,564.0
2014-06-11,574.0
2014-06-12,581.0
2014-06-15,604.0
2014-06-16,600.0
2014-06-17,627.0
2014-06-18,630.0
2014-06-19,610.0
2014-06-23,600.0
2014-06-24,601.0
2014-06-25,592.0
2014-06-26,603.0
2014-06-29,595.0
2014-06-30,603.0
