Date,Open
2007-04-01,220.0
2007-04-02,230.0
2007-04-08,230.0
2007-04-16,236.0
2007-04-18,247.0
2007-04-22,259.0
2007-04-23,260.0
2007-04-25,272.0
2007-04-26,280.0
2007-05-06,280.0
2007-05-14,280.0
2007-05-20,270.0
2007-05-22,260.0
2007-06-19,260.0
2007-07-03,260.0
2007-08-06,260.0
2007-08-09,273.0
2007-08-13,286.0
2007-08-14,300.0
2007-08-22,300.0
2007-08-23,300.0
2007-11-08,300.0
2007-12-12,306.0
2007-12-26,312.0
2008-01-07,320.0
2008-01-08,320.0
2008-01-09,600.0
2008-01-13,50.0
2008-02-24,344.0
2008-03-20,364.0
2008-03-23,371.0
2008-03-30,370.0
2008-04-01,384.0
2008-04-02,390.0
2008-04-24,397.0
2008-05-04,397.0
2008-05-06,397.0
2008-05-07,416.0
2008-05-13,424.0
2008-05-14,460.0
2008-05-18,469.0
2008-05-22,478.0
2008-06-02,487.0
2008-06-03,496.0
2008-06-04,545.0
2008-06-05,566.0
2008-06-08,622.0
2008-06-11,658.0
2008-06-12,723.0
2008-06-15,795.0
2008-06-16,826.0
2008-06-17,826.0
2008-06-18,870.0
2008-06-19,880.0
2008-06-22,885.0
2008-06-25,905.0
2008-06-26,923.0
2008-07-03,920.0
2008-07-08,903.0
2008-07-09,880.0
2008-07-10,897.0
2008-07-13,905.0
2008-07-14,891.0
2008-07-20,884.0
2008-07-21,490.0
2008-07-23,490.0
2008-08-10,499.0
2008-08-12,508.0
2008-08-13,558.0
2008-08-14,613.0
2008-08-18,674.0
2008-08-19,741.0
2008-08-20,815.0
2008-08-21,831.0
2008-08-24,817.0
2008-08-26,795.0
2008-09-01,780.0
2008-09-02,730.0
2008-09-03,730.0
2008-09-08,716.0
2008-09-16,710.0
2008-09-23,700.0
2008-09-24,667.0
2008-09-29,670.0
2008-10-01,657.0
2008-10-15,670.0
2008-10-16,657.0
2008-10-19,640.0
2008-10-22,628.0
2008-10-26,625.0
2008-10-27,663.0
2008-11-02,650.0
2008-11-03,640.0
2008-11-06,630.0
2008-11-09,618.0
2008-11-10,618.0
2008-11-11,618.0
2008-11-12,610.0
2008-11-13,600.0
2008-11-18,600.0
2008-11-20,581.0
2008-12-01,565.0
2008-12-02,555.0
2008-12-03,544.0
2008-12-04,535.0
2008-12-07,566.0
2008-12-08,578.0
2008-12-10,635.0
2008-12-22,650.0
2009-02-26,637.0
2009-03-03,650.0
2009-03-05,663.0
2009-03-11,650.0
2009-03-19,645.0
2009-03-22,655.0
2009-04-13,665.0
2009-04-16,678.0
2009-04-22,678.0
2009-04-28,665.0
2009-04-29,639.0
2009-05-11,634.0
2009-05-24,598.0
2009-05-26,605.0
2009-05-27,579.0
2009-05-28,568.0
2009-06-01,555.0
2009-06-02,555.0
2009-06-03,550.0
2009-06-04,560.0
2009-06-08,549.0
2009-06-09,539.0
2009-06-23,510.0
2009-06-24,490.0
2009-06-25,490.0
2009-06-29,510.0
2009-06-30,530.0
2009-07-07,530.0
2009-07-08,540.0
2009-07-23,550.0
2009-07-30,550.0
2009-08-02,541.0
2009-08-03,531.0
2009-08-04,525.0
2009-08-11,505.0
2009-08-16,508.0
2009-08-17,500.0
2009-08-18,490.0
2009-08-20,481.0
2009-08-23,500.0
2009-08-25,500.0
2009-08-26,500.0
2009-08-27,500.0
2009-08-30,495.0
2009-10-06,500.0
2009-10-21,510.0
2009-11-24,520.0
2009-11-25,510.0
2009-12-13,500.0
2010-01-04,490.0
2010-01-20,499.0
2010-02-15,508.0
2010-03-18,508.0
2010-03-30,508.0
2010-05-11,492.0
2010-05-17,483.0
2010-06-14,474.0
2010-08-10,465.0
2010-08-26,465.0
2010-10-06,273.0
2010-10-20,253.0
2010-11-03,248.0
2010-11-10,240.0
2010-11-23,236.0
2010-11-24,232.0
2010-12-06,228.0
2010-12-09,208.0
2010-12-13,205.0
2010-12-19,201.0
2010-12-20,194.0
2011-01-10,191.0
2011-01-16,193.0
2011-01-17,190.0
2011-01-23,188.0
2011-02-22,185.0
2011-02-23,188.0
2011-03-30,185.0
2011-04-05,179.0
2011-04-19,176.0
2011-05-19,168.0
2011-07-05,165.0
2011-07-06,168.0
2011-08-03,171.0
2011-08-24,162.0
2011-09-04,159.0
2011-09-13,156.0
2011-09-15,155.0
2011-10-16,149.0
2011-10-19,147.0
2011-10-20,149.0
2011-11-02,150.0
2011-11-03,159.0
2011-11-08,168.0
2011-11-10,170.0
2011-11-13,179.0
2011-11-14,191.0
2011-11-17,194.0
2011-11-21,194.0
2011-11-24,197.0
2011-12-22,194.0
2011-12-27,188.0
2012-01-29,185.0
2012-02-15,168.0
2012-03-01,152.0
2012-03-11,147.0
2012-03-18,143.0
2012-03-19,131.0
2012-04-04,129.0
2012-04-05,117.0
2012-04-10,115.0
2012-04-15,113.0
2012-04-17,111.0
2012-04-18,113.0
2012-04-19,113.0
2012-04-22,121.0
2012-04-25,123.0
2012-04-26,125.0
2012-04-29,129.0
2012-04-30,131.0
2012-05-13,137.0
2012-05-14,137.0
2012-05-15,135.0
2012-05-17,133.0
2012-05-22,135.0
2012-06-21,133.0
2012-06-25,131.0
2012-07-08,129.0
2012-07-12,121.0
2012-07-15,115.0
2012-07-18,119.0
2012-07-19,125.0
2012-07-22,125.0
2012-07-30,127.0
2012-07-31,127.0
2012-08-12,125.0
2012-08-22,125.0
2012-08-23,125.0
2012-08-26,123.0
2012-08-29,135.0
2012-09-10,135.0
2012-09-11,136.0
2012-09-13,134.0
2012-09-16,140.0
2012-09-17,144.0
2012-09-19,144.0
2012-09-20,142.0
2012-09-24,140.0
2012-09-25,138.0
2012-09-26,145.0
2012-09-30,143.0
2012-10-01,142.0
2012-10-02,144.0
2012-10-03,140.0
2012-10-04,140.0
2012-10-11,138.0
2012-11-05,136.0
2012-11-06,136.0
2012-11-07,134.0
2012-11-08,142.0
2012-11-18,146.0
2012-11-21,148.0
2012-11-22,146.0
2012-11-26,146.0
2012-11-27,145.0
2012-12-09,143.0
2012-12-11,145.0
2012-12-13,149.0
2012-12-19,151.0
2012-12-24,154.0
2012-12-31,157.0
2013-01-31,160.0
2013-02-06,154.0
2013-02-28,151.0
2013-04-17,154.0
2013-06-24,151.0
2013-06-25,154.0
2013-07-02,153.0
2013-07-17,147.0
2013-07-18,108.0
2013-07-21,112.0
2013-07-22,121.0
2013-07-25,119.0
2013-07-31,123.0
2013-08-01,120.0
2013-08-04,120.0
2013-08-05,116.0
2013-08-06,114.0
2013-08-07,113.0
2013-08-12,112.0
2013-08-13,114.0
2013-08-14,112.0
2013-08-15,112.0
2013-09-01,112.0
2013-09-04,116.0
2013-09-05,118.0
2013-09-08,126.0
2013-09-11,128.0
2013-09-12,127.0
2013-09-15,121.0
2013-09-16,122.0
2013-09-17,120.0
2013-09-19,120.0
2013-09-22,118.0
2013-10-07,118.0
2013-10-22,116.0
2013-12-04,114.0
2013-12-05,116.0
2013-12-09,120.0
2013-12-10,132.0
2013-12-12,136.0
2013-12-15,138.0
2013-12-16,150.0
2013-12-18,156.0
2013-12-22,162.0
2013-12-23,165.0
2013-12-24,171.0
2013-12-26,179.0
2013-12-29,183.0
2013-12-31,201.0
2014-01-02,197.0
2014-01-05,194.0
2014-01-08,190.0
2014-01-20,189.0
2014-01-21,186.0
2014-01-22,199.0
2014-01-23,218.0
2014-01-26,239.0
2014-02-02,241.0
2014-02-03,237.0
2014-02-05,233.0
2014-02-06,229.0
2014-02-09,222.0
2014-02-12,214.0
2014-02-17,206.0
2014-02-18,198.0
2014-02-23,192.0
2014-02-26,198.0
2014-03-06,201.0
2014-03-09,194.0
2014-03-17,185.0
2014-03-18,183.0
2014-03-19,177.0
2014-03-20,174.0
2014-03-23,177.0
2014-03-24,174.0
2014-03-26,180.0
2014-03-27,192.0
2014-03-31,195.0
2014-04-06,192.0
2014-04-10,186.0
2014-04-13,189.0
2014-04-21,192.0
2014-04-22,189.0
2014-04-27,185.0
2014-05-06,182.0
2014-05-07,200.0
2014-05-08,220.0
