Date,Open
2004-09-14,150.0
2004-10-04,150.0
2004-10-06,150.0
2004-10-26,150.0
2004-10-28,150.0
2004-10-29,150.0
2004-11-01,150.0
2005-01-18,150.0
2005-03-24,143.0
2005-03-28,143.0
2005-08-25,143.0
2005-09-07,145.0
2005-09-14,145.0
2005-09-27,145.0
2005-11-14,140.0
2005-12-22,140.0
2006-02-07,140.0
2006-02-15,145.0
2006-06-01,145.0
2006-06-21,145.0
2006-06-22,150.0
2006-11-07,150.0
2006-12-10,145.0
2006-12-21,145.0
2006-12-26,152.0
2007-02-08,152.0
2007-02-18,145.0
2007-06-27,145.0
2008-01-07,140.0
2008-03-10,142.0
2008-04-22,140.0
2008-10-26,140.0
2008-11-12,142.0
2008-11-18,144.0
2009-01-11,146.0
2009-01-20,153.0
2009-01-21,162.0
2009-02-10,162.0
2009-03-01,159.0
2009-05-28,162.0
2009-06-14,165.0
2009-06-15,171.0
2009-06-18,176.0
2009-07-28,179.0
2009-09-06,125.0
2009-10-06,125.0
2009-10-27,127.0
2009-10-28,135.0
2009-10-29,141.0
2009-11-02,147.0
2009-11-04,151.0
2009-11-05,163.0
2009-11-08,169.0
2009-11-09,184.0
2009-11-11,193.0
2009-11-15,206.0
2009-11-16,222.0
2009-11-17,242.0
2009-11-18,266.0
2009-11-19,289.0
2009-11-22,304.0
2009-11-23,316.0
2009-11-24,323.0
2009-11-25,353.0
2009-11-26,364.0
2009-12-01,368.0
2009-12-06,375.0
2009-12-07,375.0
2009-12-08,361.0
2009-12-20,350.0
2010-01-03,356.0
2010-01-06,363.0
2010-02-15,356.0
2010-02-16,356.0
2010-03-09,349.0
2010-07-04,345.0
2010-07-11,339.0
2010-11-15,339.0
2010-11-21,327.0
2010-11-28,321.0
2010-11-29,309.0
2010-12-01,303.0
2010-12-02,297.0
2010-12-06,292.0
2010-12-07,277.0
2010-12-08,252.0
2010-12-09,257.0
2010-12-15,255.0
2010-12-16,255.0
2011-01-02,250.0
2011-01-04,241.0
2011-01-05,237.0
2011-01-06,233.0
2011-01-09,241.0
2011-01-10,237.0
2011-01-12,229.0
2011-01-24,233.0
2011-01-31,170.0
2011-02-01,173.0
2011-02-02,173.0
2011-02-03,176.0
2011-02-06,173.0
2011-02-07,176.0
2011-02-08,173.0
2011-02-09,176.0
2011-02-10,179.0
2011-02-13,170.0
2011-02-14,167.0
2011-02-15,173.0
2011-02-16,182.0
2011-02-17,191.0
2011-02-20,204.0
2011-02-21,216.0
2011-02-22,236.0
2011-02-23,259.0
2011-05-05,284.0
2011-05-08,299.0
2011-05-09,304.0
2011-05-10,316.0
2011-05-11,334.0
2011-05-12,340.0
2011-05-19,352.0
2011-05-25,339.0
2011-05-30,358.0
2011-05-31,379.0
2011-06-26,386.0
2011-06-29,400.0
2011-06-30,415.0
2011-07-11,430.0
2011-07-19,450.0
2011-07-20,459.0
2011-07-25,465.0
2011-09-22,474.0
2011-10-19,483.0
2011-11-29,485.0
2012-01-02,494.0
2012-01-18,503.0
2012-02-08,475.0
2012-02-09,448.0
2012-02-29,424.0
2012-03-14,432.0
2012-03-18,294.0
2012-03-19,298.0
2012-03-20,309.0
2012-03-21,319.0
2012-03-26,331.0
2012-04-15,337.0
2012-04-17,343.0
2012-04-18,355.0
2012-04-19,374.0
2012-05-09,402.0
2012-05-10,410.0
2012-05-14,418.0
2012-05-31,426.0
2012-09-06,418.0
2012-09-12,430.0
