Date,Open
2007-04-02,148.0
2007-04-11,148.0
2007-05-24,142.0
2007-05-31,149.0
2007-07-29,149.0
2007-07-30,150.0
2007-08-16,150.0
2007-08-23,150.0
2007-08-24,153.0
2007-08-30,156.0
2007-09-27,159.0
2007-09-28,162.0
2007-10-04,160.0
2007-10-05,165.0
2007-10-07,165.0
2007-10-11,168.0
2007-10-31,165.0
2007-11-01,168.0
2007-12-17,171.0
2008-02-17,180.0
2008-03-20,183.0
2008-03-24,186.0
2008-03-25,186.0
2008-03-26,198.0
2008-04-03,198.0
2008-04-17,217.0
2008-04-20,235.0
2008-04-24,239.0
2008-04-27,243.0
2008-05-08,255.0
2008-05-11,275.0
2008-05-12,290.0
2008-05-13,300.0
2008-05-25,306.0
2008-06-01,324.0
2008-06-02,342.0
2008-06-04,368.0
2008-06-05,382.0
2008-06-08,389.0
2008-06-11,403.0
2008-06-16,435.0
2008-06-17,456.0
2008-06-18,483.0
2008-06-19,517.0
2008-06-22,552.0
2008-06-25,563.0
2008-06-26,614.0
2008-06-29,638.0
2008-06-30,663.0
2008-07-01,716.0
2008-07-02,787.0
2008-08-13,865.0
2008-10-26,850.0
2008-11-02,865.0
2008-12-08,650.0
2008-12-23,663.0
2008-12-24,676.0
2008-12-28,676.0
2008-12-29,689.0
2008-12-31,716.0
2009-01-01,781.0
2009-01-04,784.0
2009-01-05,814.0
2009-01-25,783.0
2009-01-28,785.0
2009-02-19,800.0
2009-02-22,784.0
2009-03-09,823.0
2009-03-17,807.0
2009-05-17,791.0
2009-05-19,790.0
2009-05-28,790.0
2009-06-03,790.0
2009-06-28,770.0
2009-07-23,740.0
2009-08-02,730.0
2009-08-16,758.0
2009-08-17,750.0
2009-09-01,735.0
2009-09-02,662.0
2009-09-06,596.0
2009-09-07,537.0
2009-09-09,536.0
2009-09-14,536.0
2009-10-04,546.0
2009-10-05,550.0
2009-10-12,561.0
2009-12-06,545.0
2009-12-07,550.0
2009-12-16,550.0
2010-01-03,550.0
2010-01-04,545.0
2010-01-07,555.0
2010-01-19,505.0
2010-01-20,495.0
2010-02-04,504.0
2010-05-18,494.0
2010-11-04,485.0
2010-11-24,485.0
2010-12-02,476.0
2010-12-08,458.0
2011-03-22,417.0
2011-07-10,365.0
2011-08-10,358.0
2011-09-12,344.0
2011-11-03,338.0
2011-11-15,332.0
2011-11-23,320.0
2012-04-30,314.0
2012-05-02,278.0
2012-06-25,273.0
2012-06-27,268.0
2012-07-09,270.0
2012-07-19,265.0
2012-08-08,260.0
2012-08-26,255.0
2012-10-10,245.0
2012-12-05,241.0
2012-12-26,237.0
2013-02-04,237.0
2013-08-27,198.0
2013-09-10,195.0
2013-09-16,190.0
2013-09-22,184.0
2013-09-23,184.0
2013-12-03,181.0
2013-12-04,184.0
2013-12-05,187.0
2013-12-08,190.0
2013-12-09,190.0
2013-12-10,193.0
2013-12-11,196.0
2013-12-12,206.0
2014-01-21,206.0
2014-02-05,176.0
2014-03-09,173.0
2014-03-11,173.0
2014-03-13,170.0
2014-03-26,170.0
2014-04-01,167.0
2014-04-15,170.0
2014-04-17,167.0
2014-04-20,170.0
2014-04-21,170.0
2014-04-22,173.0
2014-04-28,176.0
2014-05-04,179.0
2014-05-05,182.0
2014-05-07,180.0
2014-05-08,180.0
2014-05-12,182.0
2014-05-13,180.0
2014-05-15,181.0
2014-05-18,181.0
2014-05-19,181.0
2014-05-20,196.0
2014-05-21,196.0
2014-05-22,200.0
2014-05-25,212.0
2014-05-26,210.0
2014-05-28,221.0
2014-06-01,213.0
2014-06-02,217.0
2014-06-03,214.0
2014-06-04,218.0
2014-06-05,222.0
2014-06-09,214.0
2014-06-10,218.0
2014-06-11,222.0
2014-06-12,222.0
2014-06-15,214.0
2014-06-17,222.0
2014-06-18,230.0
2014-06-19,238.0
2014-06-25,242.0
2014-06-29,238.0
2014-06-30,242.0
2014-07-01,242.0
2014-07-06,246.0
2014-07-07,240.0
2014-07-08,236.0
2014-07-09,240.0
2014-07-13,240.0
2014-07-14,242.0
2014-07-15,240.0
2014-07-16,260.0
2014-07-17,260.0
2014-07-20,265.0
2014-07-21,265.0
2014-07-22,291.0
2014-07-23,296.0
2014-07-24,302.0
2014-07-27,307.0
2014-07-28,337.0
2014-07-30,349.0
2014-07-31,369.0
2014-08-03,385.0
2014-08-04,378.0
2014-08-05,379.0
2014-08-31,372.0
2014-09-01,358.0
2014-09-03,342.0
2014-09-04,330.0
2014-09-07,323.0
2014-09-09,317.0
2014-09-11,317.0
2014-09-14,300.0
2014-09-15,294.0
2014-09-16,304.0
2014-09-21,298.0
2014-09-23,293.0
2014-09-28,295.0
2014-09-29,291.0
2014-10-12,271.0
2014-10-19,276.0
2014-10-20,281.0
2014-10-22,280.0
2014-11-10,280.0
2014-11-11,300.0
2014-11-12,300.0
2014-11-13,305.0
2014-11-16,289.0
2014-11-17,279.0
2014-11-18,294.0
2014-11-19,295.0
2014-11-20,295.0
2014-11-24,290.0
2014-12-02,285.0
2014-12-14,280.0
2014-12-18,280.0
2015-01-25,230.0
2015-01-26,218.0
2015-02-01,238.0
2015-02-02,250.0
2015-02-03,246.0
2015-02-05,242.0
2015-02-09,244.0
2015-02-10,248.0
2015-02-12,262.0
2015-02-15,265.0
2015-02-23,280.0
2015-03-02,290.0
2015-03-03,292.0
2015-03-04,282.0
2015-03-09,292.0
2015-03-10,289.0
2015-03-15,284.0
2015-03-17,279.0
2015-03-18,274.0
2015-03-19,260.0
