Date,Open
2012-04-16,204.0
2012-04-17,176.0
2012-04-18,163.0
2012-04-19,175.0
2012-04-22,177.0
2012-04-24,192.0
2012-04-25,210.0
2012-04-26,231.0
2012-04-29,239.0
2012-04-30,235.0
2012-05-03,224.0
2012-05-07,246.0
2012-05-08,270.0
2012-05-09,264.0
2012-05-10,254.0
2012-05-13,250.0
2012-05-14,225.0
2012-05-15,203.0
2012-05-16,223.0
2012-05-17,245.0
2012-05-20,252.0
2012-05-21,238.0
2012-05-22,246.0
2012-05-23,240.0
2012-05-24,216.0
2012-05-27,230.0
2012-05-31,248.0
2012-06-03,224.0
2012-06-04,230.0
2012-06-05,224.0
2012-06-06,213.0
2012-06-07,205.0
2012-06-10,208.0
2012-06-11,197.0
2012-06-12,202.0
2012-06-13,205.0
2012-06-14,204.0
2012-06-17,201.0
2012-06-18,192.0
2012-06-19,204.0
2012-06-20,198.0
2012-06-21,203.0
2012-06-25,202.0
2012-06-26,218.0
2012-06-27,211.0
2012-06-28,219.0
2012-07-01,221.0
2012-07-02,212.0
2012-07-03,210.0
2012-07-04,210.0
2012-07-05,214.0
2012-07-08,210.0
2012-07-09,211.0
2012-07-10,213.0
2012-07-11,216.0
2012-07-12,212.0
2012-07-15,210.0
2012-07-16,215.0
2012-07-17,213.0
2012-07-18,212.0
2012-07-19,215.0
2012-07-22,220.0
2012-07-23,230.0
2012-07-24,231.0
2012-07-25,233.0
2012-07-26,225.0
2012-07-29,218.0
2012-07-30,211.0
2012-07-31,213.0
2012-08-01,213.0
2012-08-05,214.0
2012-08-06,205.0
2012-08-07,201.0
2012-08-08,192.0
2012-08-12,184.0
2012-08-13,176.0
2012-08-14,176.0
2012-08-15,175.0
2012-08-16,173.0
2012-08-19,176.0
2012-08-21,176.0
2012-08-22,167.0
2012-08-23,166.0
2012-08-26,168.0
2012-08-27,167.0
2012-08-28,170.0
2012-08-29,175.0
2012-08-30,176.0
2012-09-02,178.0
2012-09-03,189.0
2012-09-04,188.0
2012-09-06,185.0
2012-09-10,182.0
2012-09-11,181.0
2012-09-13,178.0
2012-09-16,175.0
2012-09-17,178.0
2012-09-18,180.0
2012-09-19,185.0
2012-09-20,179.0
2012-09-23,176.0
2012-09-24,170.0
2012-09-25,169.0
2012-09-26,167.0
2012-09-27,165.0
2012-09-30,170.0
2012-10-01,167.0
2012-10-02,169.0
2012-10-04,172.0
2012-10-07,170.0
2012-10-08,172.0
2012-10-09,172.0
2012-10-10,172.0
2012-10-11,170.0
2012-10-14,171.0
2012-10-17,172.0
2012-10-18,174.0
2012-10-30,177.0
2012-10-31,189.0
2012-11-01,195.0
2012-11-04,192.0
2012-11-05,193.0
2012-11-06,208.0
2012-11-07,212.0
2012-11-08,207.0
2012-11-11,206.0
2012-11-12,194.0
2012-11-18,200.0
2012-11-20,208.0
2012-11-21,212.0
2012-11-22,209.0
2012-11-25,206.0
2012-11-26,209.0
2012-11-27,206.0
2012-11-28,202.0
2012-11-29,202.0
2012-12-02,200.0
2012-12-03,195.0
2012-12-04,191.0
2012-12-05,204.0
2012-12-06,208.0
2012-12-09,207.0
2012-12-10,198.0
2012-12-11,195.0
2012-12-13,195.0
2012-12-16,195.0
2012-12-17,208.0
2012-12-18,209.0
2012-12-19,204.0
2012-12-20,207.0
2012-12-23,208.0
2012-12-24,210.0
2012-12-26,222.0
2012-12-27,239.0
2012-12-31,239.0
2013-01-01,216.0
2013-01-02,211.0
2013-01-03,217.0
2013-01-06,222.0
2013-01-07,218.0
2013-01-08,208.0
2013-01-09,209.0
2013-01-10,209.0
2013-01-13,212.0
2013-01-15,210.0
2013-01-16,213.0
2013-01-17,205.0
2013-01-20,200.0
2013-01-21,195.0
