Date,Open
2010-11-30,79.0
2010-12-09,333.0
2010-12-14,303.0
2010-12-29,300.0
2011-01-04,285.0
2011-01-05,271.0
2011-01-09,258.0
2011-01-10,236.0
2011-01-11,213.0
2011-01-12,193.0
2011-01-13,175.0
2011-01-16,158.0
2011-01-17,143.0
2011-01-18,140.0
2011-01-19,142.0
2011-01-20,144.0
2011-01-23,145.0
2011-01-24,150.0
2011-01-31,150.0
2011-02-01,148.0
2011-02-02,148.0
2011-02-03,150.0
2011-02-06,148.0
2011-02-07,151.0
2011-02-08,149.0
2011-02-09,143.0
2011-02-10,142.0
2011-02-13,143.0
2011-02-14,142.0
2011-02-15,142.0
2011-02-16,144.0
2011-02-17,143.0
2011-02-20,145.0
2011-02-21,144.0
2011-02-22,146.0
2011-02-23,144.0
2011-02-24,142.0
2011-02-27,146.0
2011-02-28,144.0
2011-03-01,144.0
2011-03-03,146.0
2011-03-07,146.0
2011-03-09,146.0
2011-03-10,148.0
2011-03-13,148.0
2011-03-14,150.0
2011-03-15,147.0
2011-03-16,137.0
2011-03-17,143.0
2011-03-20,140.0
2011-03-21,134.0
2011-03-22,134.0
2011-03-23,138.0
2011-03-24,140.0
2011-03-27,140.0
2011-03-28,131.0
2011-03-29,132.0
2011-03-30,132.0
2011-03-31,132.0
2011-04-04,135.0
2011-04-05,141.0
2011-04-06,140.0
2011-04-07,140.0
2011-04-10,138.0
2011-04-11,132.0
2011-04-13,141.0
2011-04-17,140.0
2011-04-18,136.0
2011-04-19,138.0
2011-04-20,142.0
2011-04-21,141.0
2011-04-25,146.0
2011-04-26,149.0
2011-04-27,142.0
2011-04-28,150.0
2011-05-02,150.0
2011-05-03,135.0
2011-05-05,122.0
2011-05-08,116.0
2011-05-10,118.0
2011-05-15,118.0
2011-05-16,122.0
2011-05-18,122.0
2011-05-19,129.0
2011-05-22,130.0
2011-05-23,128.0
2011-05-24,130.0
2011-05-25,131.0
2011-05-26,129.0
2011-05-30,131.0
2011-05-31,129.0
2011-06-01,129.0
2011-06-05,125.0
2011-06-06,120.0
2011-06-07,120.0
2011-06-08,115.0
2011-06-09,115.0
2011-06-12,110.0
2011-06-13,107.0
2011-06-14,110.0
2011-06-16,108.0
2011-06-29,104.0
2011-07-04,100.0
2011-07-05,100.0
2011-07-06,98.0
2011-07-07,98.0
2011-07-11,98.0
2011-07-14,99.0
2011-07-19,99.0
2011-07-21,98.0
2011-07-25,99.0
2011-07-26,100.0
2011-07-27,100.0
2011-07-31,102.0
2011-08-01,103.0
2011-08-03,104.0
2011-08-04,106.0
2011-08-07,108.0
2011-08-08,110.0
2011-08-09,110.0
2011-08-11,112.0
2011-08-15,110.0
2011-08-16,110.0
2011-08-17,110.0
2011-08-18,108.0
2011-08-22,112.0
2011-08-23,106.0
2011-08-24,104.0
2011-08-25,104.0
2011-08-28,106.0
2011-08-29,104.0
2011-08-30,107.0
2011-09-01,108.0
2011-09-04,103.0
2011-09-05,102.0
2011-09-06,102.0
2011-09-07,105.0
2011-09-08,102.0
2011-09-12,100.0
2011-09-13,98.0
2011-09-14,97.0
2011-09-19,96.0
2011-09-20,94.0
2011-09-21,91.0
2011-09-22,89.0
2011-09-25,90.0
2011-09-26,96.0
2011-09-27,97.0
2011-09-29,96.0
2011-10-02,96.0
2011-10-10,97.0
2011-10-12,100.0
2011-10-13,100.0
2011-10-16,97.0
2011-10-17,95.0
2011-10-20,96.0
2011-10-23,95.0
2011-10-24,95.0
2011-10-30,92.0
2011-10-31,92.0
2011-11-06,91.0
2011-11-08,91.0
2011-11-09,93.0
2011-11-10,95.0
2011-11-13,95.0
2011-11-14,94.0
2011-11-15,93.0
2011-11-17,93.0
2011-11-20,91.0
2011-11-21,91.0
2011-11-22,90.0
2011-11-23,92.0
2011-11-24,92.0
2011-11-27,92.0
2011-11-28,94.0
2011-11-29,93.0
2011-11-30,94.0
2011-12-01,93.0
2011-12-05,94.0
2011-12-06,94.0
2011-12-07,92.0
2011-12-08,92.0
2011-12-11,90.0
2011-12-12,89.0
2011-12-13,90.0
2011-12-14,89.0
2011-12-15,88.0
2011-12-18,88.0
2011-12-19,87.0
2011-12-20,85.0
2011-12-22,84.0
2011-12-28,84.0
2012-01-01,84.0
2012-01-02,84.0
2012-01-03,84.0
2012-01-04,87.0
2012-01-09,86.0
2012-01-10,86.0
2012-01-11,86.0
2012-01-16,85.0
2012-01-17,85.0
2012-01-18,85.0
2012-01-19,86.0
2012-01-22,87.0
2012-01-23,88.0
2012-01-25,90.0
2012-01-26,92.0
2012-01-29,92.0
2012-01-31,91.0
2012-02-01,90.0
2012-02-05,92.0
2012-02-06,90.0
2012-02-07,89.0
2012-02-08,90.0
2012-02-09,91.0
2012-02-12,90.0
2012-02-13,90.0
2012-02-14,90.0
2012-02-15,90.0
2012-02-16,90.0
2012-02-21,89.0
2012-02-23,86.0
2012-02-26,85.0
2012-02-27,85.0
2012-02-28,86.0
2012-02-29,85.0
2012-03-01,87.0
2012-03-04,91.0
2012-03-05,88.0
2012-03-06,86.0
2012-03-11,84.0
2012-03-12,88.0
2012-03-13,88.0
2012-03-14,87.0
2012-03-15,86.0
2012-03-18,89.0
2012-03-19,93.0
2012-03-20,95.0
2012-03-21,97.0
2012-03-25,97.0
2012-03-26,94.0
2012-03-27,92.0
2012-03-28,88.0
2012-03-29,80.0
2012-04-01,81.0
2012-04-02,82.0
2012-04-04,82.0
2012-04-08,82.0
2012-04-09,83.0
2012-04-10,83.0
2012-04-11,81.0
2012-04-12,82.0
2012-04-15,83.0
2012-04-19,86.0
2012-04-22,88.0
2012-04-25,90.0
2012-04-26,91.0
2012-04-29,93.0
2012-04-30,94.0
2012-05-02,98.0
2012-05-08,97.0
2012-05-09,98.0
2012-05-10,97.0
2012-05-13,97.0
2012-05-14,93.0
2012-05-17,93.0
2012-05-21,94.0
2012-05-22,92.0
2012-05-23,87.0
2012-05-24,84.0
2012-05-27,82.0
2012-05-29,85.0
2012-05-30,84.0
2012-05-31,79.0
2012-06-03,77.0
2012-06-04,77.0
2012-06-05,78.0
2012-06-06,78.0
2012-06-07,78.0
2012-06-10,78.0
2012-06-11,74.0
2012-06-12,77.0
2012-06-13,77.0
2012-06-14,78.0
2012-06-17,78.0
2012-06-18,78.0
2012-06-19,77.0
2012-06-20,79.0
2012-06-21,79.0
2012-06-25,78.0
2012-06-26,79.0
2012-06-27,81.0
2012-07-01,80.0
2012-07-02,78.0
2012-07-03,80.0
2012-07-04,82.0
2012-07-05,82.0
2012-07-08,82.0
2012-07-09,82.0
2012-07-10,82.0
2012-07-11,81.0
2012-07-12,82.0
2012-07-15,80.0
2012-07-16,79.0
2012-07-17,78.0
2012-07-18,79.0
2012-07-19,79.0
2012-07-22,80.0
2012-07-24,81.0
2012-07-25,84.0
2012-07-26,84.0
2012-07-29,89.0
2012-07-30,88.0
2012-07-31,86.0
2012-08-01,82.0
2012-08-05,84.0
2012-08-06,83.0
2012-08-07,83.0
2012-08-08,83.0
2012-08-12,83.0
2012-08-13,83.0
2012-08-14,84.0
2012-08-15,85.0
2012-08-16,88.0
2012-08-19,93.0
2012-08-21,94.0
2012-08-23,96.0
2012-08-26,92.0
2012-08-27,93.0
2012-08-28,92.0
2012-08-29,91.0
2012-08-30,91.0
2012-09-02,90.0
2012-09-03,89.0
2012-09-04,90.0
2012-09-05,91.0
2012-09-06,91.0
2012-09-09,91.0
2012-09-10,91.0
2012-09-11,90.0
2012-09-12,88.0
2012-09-13,92.0
2012-09-16,90.0
2012-09-17,92.0
2012-09-18,91.0
2012-09-19,93.0
2012-09-20,93.0
2012-09-23,94.0
2012-09-24,91.0
2012-09-25,91.0
2012-09-26,90.0
2012-09-27,89.0
2012-09-30,88.0
2012-10-01,88.0
2012-10-02,89.0
2012-10-03,90.0
2012-10-04,92.0
2012-10-10,93.0
2012-10-11,89.0
2012-10-14,91.0
2012-10-17,90.0
2012-10-18,93.0
2012-10-30,92.0
2012-10-31,94.0
2012-11-01,94.0
2012-11-04,92.0
2012-11-05,90.0
2012-11-06,90.0
2012-11-07,92.0
2012-11-11,93.0
2012-11-12,94.0
2012-11-18,93.0
2012-11-20,92.0
2012-11-21,93.0
2012-11-22,92.0
2012-11-25,92.0
2012-11-26,92.0
2012-11-27,91.0
2012-11-28,91.0
2012-11-29,90.0
2012-12-02,91.0
2012-12-03,89.0
2012-12-04,91.0
2012-12-05,91.0
2012-12-06,91.0
2012-12-09,91.0
2012-12-11,90.0
2012-12-13,94.0
2012-12-17,99.0
2012-12-20,102.0
2012-12-23,93.0
2012-12-24,91.0
2012-12-26,89.0
2012-12-27,86.0
2012-12-31,86.0
2013-01-01,85.0
2013-01-02,84.0
2013-01-03,84.0
2013-01-06,84.0
