Date,Open
2011-11-21,60.0
2011-11-27,185.0
2011-11-30,182.0
2011-12-01,179.0
2011-12-05,170.0
2011-12-13,164.0
2011-12-15,152.0
2012-01-03,149.0
2012-01-04,149.0
2012-01-05,147.0
2012-01-10,141.0
2012-01-11,127.0
2012-01-12,115.0
2012-01-16,108.0
2012-01-17,112.0
2012-01-18,109.0
2012-01-19,110.0
2012-01-22,108.0
2012-01-23,106.0
2012-01-25,106.0
2012-01-26,105.0
2012-01-29,105.0
2012-01-31,105.0
2012-02-01,106.0
2012-02-02,105.0
2012-02-05,103.0
2012-02-06,103.0
2012-02-07,103.0
2012-02-08,102.0
2012-02-09,104.0
2012-02-12,104.0
2012-02-13,102.0
2012-02-14,102.0
2012-02-15,100.0
2012-02-16,102.0
2012-02-23,105.0
2012-02-26,100.0
2012-02-27,99.0
2012-02-28,99.0
2012-02-29,101.0
2012-03-01,101.0
2012-03-04,102.0
2012-03-05,100.0
2012-03-06,102.0
2012-03-11,100.0
2012-03-12,102.0
2012-03-13,101.0
2012-03-14,100.0
2012-03-15,101.0
2012-03-19,110.0
2012-03-21,108.0
2012-03-25,98.0
2012-03-26,96.0
2012-03-27,94.0
2012-03-28,93.0
2012-03-29,98.0
2012-04-02,97.0
2012-04-03,95.0
2012-04-04,92.0
2012-04-05,92.0
2012-04-08,95.0
2012-04-09,90.0
2012-04-11,91.0
2012-04-12,90.0
2012-04-15,91.0
2012-04-17,95.0
2012-04-18,102.0
2012-04-19,110.0
2012-04-22,114.0
2012-04-24,110.0
2012-04-25,116.0
2012-04-26,120.0
2012-04-29,123.0
2012-04-30,135.0
2012-05-02,141.0
2012-05-03,137.0
2012-05-07,141.0
2012-05-08,152.0
2012-05-09,152.0
2012-05-10,156.0
2012-05-15,159.0
2012-05-16,156.0
2012-05-17,160.0
2012-06-05,168.0
2012-06-06,156.0
2012-06-07,144.0
2012-06-10,134.0
2012-06-11,121.0
2012-06-12,117.0
2012-06-13,113.0
2012-06-14,109.0
2012-06-17,99.0
2012-06-18,96.0
2012-06-19,102.0
2012-06-20,95.0
2012-06-21,98.0
2012-06-25,97.0
2012-06-26,96.0
2012-06-27,97.0
2012-07-01,95.0
2012-07-02,96.0
2012-07-05,93.0
2012-07-08,96.0
2012-07-09,95.0
2012-07-10,97.0
2012-07-11,104.0
2012-07-12,106.0
2012-07-15,116.0
2012-07-16,105.0
2012-07-17,103.0
2012-07-18,98.0
2012-07-19,99.0
2012-07-22,100.0
2012-07-23,98.0
2012-07-24,101.0
2012-07-25,100.0
2012-07-26,100.0
2012-07-29,100.0
2012-07-30,98.0
2012-08-01,95.0
2012-08-06,98.0
2012-08-07,99.0
2012-08-08,98.0
2012-08-13,96.0
2012-08-14,98.0
2012-08-15,98.0
2012-08-19,97.0
2012-08-21,96.0
2012-08-23,95.0
2012-08-27,98.0
2012-08-28,95.0
2012-08-30,96.0
2012-09-02,99.0
2012-09-03,98.0
2012-09-04,98.0
2012-09-05,97.0
2012-09-06,98.0
2012-09-13,90.0
2012-09-16,97.0
2012-09-17,102.0
2012-09-18,98.0
2012-09-19,102.0
2012-09-20,99.0
2012-09-25,102.0
2012-09-26,100.0
2012-09-27,98.0
2012-09-30,98.0
2012-10-01,98.0
2012-10-02,99.0
2012-10-03,100.0
2012-10-04,98.0
2012-10-08,100.0
2012-10-09,108.0
