Date,Open
2011-03-16,0.0
2011-03-21,335.0
2011-03-22,302.0
2011-03-28,272.0
2011-04-05,267.0
2011-04-10,241.0
2011-04-11,217.0
2011-04-13,196.0
2011-04-17,178.0
2011-04-18,161.0
2011-04-21,147.0
2011-04-25,139.0
2011-05-09,135.0
2011-05-11,130.0
2011-05-12,117.0
2011-05-15,107.0
2011-05-16,98.0
2011-05-18,98.0
2011-05-19,93.0
2011-05-22,89.0
2011-05-23,87.0
2011-05-24,91.0
2011-05-25,89.0
2011-05-26,81.0
2011-05-30,82.0
2011-05-31,85.0
2011-06-01,81.0
2011-06-02,77.0
2011-06-05,84.0
2011-06-06,77.0
2011-06-07,77.0
2011-06-08,76.0
2011-06-09,78.0
2011-06-12,70.0
2011-06-13,72.0
2011-06-14,71.0
2011-06-15,68.0
2011-06-16,71.0
2011-06-19,68.0
2011-06-20,68.0
2011-06-21,70.0
2011-06-23,77.0
2011-06-29,79.0
2011-07-03,78.0
2011-07-04,72.0
2011-07-05,71.0
2011-07-06,72.0
2011-07-07,68.0
2011-07-10,64.0
2011-07-11,70.0
2011-07-12,75.0
2011-07-13,78.0
2011-07-14,84.0
2011-07-17,88.0
2011-07-18,89.0
2011-07-19,90.0
2011-07-20,87.0
2011-07-21,88.0
2011-07-25,88.0
2011-07-27,87.0
2011-07-31,86.0
2011-08-01,82.0
2011-08-02,80.0
2011-08-04,79.0
2011-08-07,73.0
2011-08-08,70.0
2011-08-09,71.0
2011-08-10,72.0
2011-08-11,75.0
2011-08-16,68.0
2011-08-17,66.0
2011-08-18,61.0
2011-08-22,65.0
2011-08-23,66.0
2011-08-24,69.0
2011-08-25,71.0
2011-08-28,70.0
2011-08-29,71.0
2011-09-01,71.0
2011-09-04,65.0
2011-09-05,64.0
2011-09-06,64.0
2011-09-07,67.0
2011-09-08,71.0
2011-09-12,72.0
2011-09-13,72.0
2011-09-14,72.0
2011-09-15,68.0
2011-09-18,65.0
2011-09-19,62.0
2011-09-20,62.0
2011-09-21,64.0
2011-09-22,62.0
2011-09-25,62.0
2011-09-26,64.0
2011-09-27,65.0
2011-09-29,64.0
2011-10-10,63.0
2011-10-12,64.0
2011-10-13,63.0
2011-10-16,64.0
2011-10-17,61.0
2011-10-18,66.0
2011-10-19,70.0
2011-10-20,73.0
2011-10-23,71.0
2011-10-24,69.0
2011-10-25,70.0
2011-10-30,69.0
2011-11-06,68.0
2011-11-08,65.0
2011-11-09,62.0
2011-11-10,61.0
2011-11-13,64.0
2011-11-14,63.0
2011-11-15,64.0
2011-11-16,63.0
2011-11-20,64.0
2011-11-21,60.0
2011-11-22,63.0
2011-11-23,62.0
2011-11-27,66.0
2011-11-28,60.0
2011-11-29,60.0
2011-11-30,64.0
2011-12-01,63.0
2011-12-04,64.0
2011-12-05,58.0
2011-12-08,58.0
2011-12-11,57.0
2011-12-12,57.0
2011-12-13,56.0
2011-12-14,55.0
2011-12-18,54.0
2011-12-19,52.0
2011-12-20,52.0
2011-12-21,54.0
2011-12-22,55.0
2011-12-27,56.0
2011-12-28,58.0
2011-12-29,57.0
2012-01-01,58.0
2012-01-02,57.0
2012-01-03,58.0
2012-01-04,60.0
2012-01-05,59.0
2012-01-08,54.0
2012-01-09,57.0
2012-01-11,61.0
2012-01-12,67.0
2012-01-18,73.0
2012-01-22,75.0
2012-01-23,72.0
2012-01-25,67.0
2012-01-26,65.0
2012-01-29,63.0
2012-01-31,57.0
2012-02-01,56.0
2012-02-02,53.0
2012-02-05,50.0
2012-02-06,53.0
2012-02-08,53.0
2012-02-13,56.0
2012-02-14,51.0
2012-02-15,56.0
2012-02-16,59.0
2012-02-21,59.0
2012-02-23,62.0
2012-02-26,62.0
2012-02-27,65.0
2012-03-05,70.0
2012-03-12,74.0
2012-03-13,67.0
2012-03-19,69.0
2012-03-21,65.0
2012-03-25,59.0
2012-03-27,57.0
2012-03-28,54.0
2012-03-29,49.0
2012-04-01,53.0
2012-04-03,58.0
2012-04-04,54.0
2012-04-05,53.0
2012-04-08,58.0
2012-04-11,61.0
2012-04-12,55.0
2012-04-15,59.0
2012-04-16,61.0
2012-04-17,62.0
2012-04-18,63.0
2012-04-19,62.0
2012-04-22,63.0
2012-04-24,67.0
2012-04-25,70.0
2012-04-26,73.0
2012-04-29,78.0
2012-04-30,80.0
2012-05-08,84.0
2012-06-20,89.0
2012-06-25,85.0
2012-06-26,79.0
2012-06-28,76.0
2012-07-03,74.0
2012-07-18,71.0
2012-08-01,71.0
2012-08-06,70.0
2012-08-08,63.0
2012-08-19,69.0
2012-08-21,69.0
2012-09-04,66.0
2012-09-05,61.0
2012-09-06,60.0
2012-09-10,54.0
2012-09-11,49.0
2012-09-12,46.0
2012-09-13,49.0
2012-09-16,48.0
2012-09-17,48.0
2012-09-18,48.0
2012-09-19,49.0
2012-09-20,49.0
2012-09-23,48.0
2012-09-25,47.0
2012-09-26,42.0
2012-09-27,41.0
2012-09-30,41.0
2012-10-01,42.0
2012-10-02,40.0
2012-10-03,40.0
2012-10-04,40.0
2012-10-07,40.0
2012-10-08,39.0
2012-10-09,38.0
2012-10-11,39.0
2012-10-14,42.0
2012-11-04,45.0
2012-11-06,45.0
2012-11-07,42.0
2012-11-08,41.0
2012-11-11,43.0
2012-11-22,44.0
2012-11-25,43.0
2012-12-03,40.0
2012-12-05,41.0
2012-12-11,40.0
2012-12-13,39.0
2012-12-16,37.0
2012-12-17,37.0
2012-12-18,36.0
2012-12-19,39.0
2012-12-20,43.0
2012-12-23,47.0
2012-12-24,51.0
2012-12-26,54.0
2012-12-27,58.0
2012-12-31,54.0
2013-01-01,56.0
2013-01-02,51.0
2013-01-03,49.0
2013-01-06,52.0
2013-01-07,54.0
2013-01-16,56.0
2013-05-15,54.0
2013-05-26,54.0
2013-06-02,53.0
2013-06-09,54.0
2013-06-12,52.0
2013-06-18,51.0
2013-07-09,46.0
2013-07-10,42.0
2013-07-11,39.0
2013-07-14,35.0
2013-07-15,33.0
2013-07-16,31.0
2013-07-17,30.0
2013-07-21,31.0
2013-07-22,31.0
2013-07-24,31.0
2013-07-25,29.0
2013-07-28,29.0
2013-07-29,26.0
2013-07-30,25.0
2013-08-04,24.0
2013-08-06,23.0
2013-08-12,22.0
2013-08-13,22.0
2013-08-15,21.0
2013-08-18,21.0
2013-09-02,21.0
2013-09-11,21.0
2013-09-15,19.0
2013-09-17,18.0
2013-09-29,18.0
