Date,Open
2006-11-06,0.0
2006-11-13,105.0
2006-11-16,105.0
2006-11-21,105.0
2006-11-23,110.0
2006-11-26,115.0
2006-12-03,110.0
2006-12-06,111.0
2006-12-20,115.0
2006-12-31,115.0
2007-01-08,120.0
2007-01-18,116.0
2007-01-22,123.0
2007-01-24,129.0
2007-01-25,139.0
2007-01-28,151.0
2007-01-31,162.0
2007-02-07,211.0
2007-03-01,221.0
2007-03-14,232.0
2007-03-28,230.0
2007-03-29,230.0
2007-04-01,230.0
2007-04-03,230.0
2007-04-16,241.0
2007-04-25,241.0
2007-04-26,258.0
2007-04-29,270.0
2007-04-30,288.0
2007-05-06,302.0
2007-05-07,329.0
2007-05-09,335.0
2007-05-14,335.0
2007-05-16,351.0
2007-05-21,352.0
2007-05-24,352.0
2007-05-29,340.0
2007-06-03,357.0
2007-06-07,351.0
2007-06-10,351.0
2007-06-11,351.0
2007-06-13,350.0
2007-06-18,350.0
2007-06-20,367.0
2007-06-24,349.0
2007-07-03,350.0
2007-07-05,367.0
2007-07-11,368.0
2007-07-12,386.0
2007-07-29,386.0
2007-08-05,405.0
2007-08-06,425.0
2007-08-09,426.0
2007-08-13,427.0
2007-08-14,426.0
2007-08-26,443.0
2007-08-30,443.0
2007-09-09,445.0
2007-10-03,453.0
2007-10-16,462.0
2007-10-31,600.0
2007-11-05,612.0
2007-11-07,624.0
2007-11-19,624.0
2007-11-22,624.0
2007-11-28,686.0
2007-12-03,699.0
2007-12-04,726.0
2007-12-06,740.0
2007-12-09,769.0
2007-12-11,845.0
2007-12-12,928.0
2007-12-13,946.0
2007-12-17,950.0
2007-12-18,1045.0
2007-12-19,1086.0
2007-12-20,1070.0
2007-12-24,1060.0
2007-12-25,1050.0
2008-01-13,1040.0
2008-01-14,1040.0
2008-01-17,1040.0
2008-01-21,1020.0
2008-01-22,1020.0
2008-01-24,1060.0
2008-01-27,1050.0
2008-01-31,1060.0
2008-02-03,1051.0
2008-02-06,1055.0
2008-02-18,1076.0
2008-02-24,1060.0
2008-02-25,1037.0
2008-03-09,997.0
2008-03-17,978.0
2008-03-18,1016.0
2008-03-19,996.0
2008-03-20,1035.0
2008-03-27,1020.0
2008-04-02,961.0
2008-04-03,945.0
2008-04-24,982.0
2008-04-27,980.0
2008-04-28,960.0
2008-05-05,942.0
2008-05-06,942.0
2008-05-07,1017.0
2008-05-08,1057.0
2008-05-11,1078.0
2008-05-14,1100.0
2008-05-26,1122.0
2008-06-02,1189.0
2008-06-05,1166.0
2008-06-10,1236.0
2008-06-11,1213.0
2008-06-15,1212.0
2008-06-16,1183.0
2008-06-17,1230.0
2008-06-18,1304.0
2008-06-19,1280.0
2008-06-22,1357.0
2008-06-23,1467.0
2008-06-25,1440.0
2008-06-26,1556.0
2008-06-29,1570.0
2008-06-30,1570.0
2008-07-01,1600.0
2008-07-03,1520.0
2008-07-06,1500.0
2008-07-17,1480.0
2008-07-20,1539.0
2008-07-21,1632.0
2008-07-22,1664.0
2008-07-23,1650.0
2008-07-27,1620.0
2008-07-28,1625.0
2008-07-29,1605.0
2008-07-30,1670.0
2008-07-31,1716.0
2008-08-03,1785.0
2008-08-05,1790.0
2008-08-11,1790.0
2008-08-12,1760.0
2008-08-13,1800.0
2008-08-14,1765.0
2008-08-18,1789.0
2008-08-19,1750.0
2008-08-20,1755.0
2008-08-21,1756.0
2008-08-25,1760.0
2008-08-26,1700.0
2008-08-27,1666.0
2008-08-31,1635.0
2008-09-01,1610.0
2008-09-02,1600.0
2008-09-03,1632.0
2008-09-04,1697.0
2008-09-08,1676.0
2008-09-09,1700.0
2008-09-10,1715.0
2008-09-15,1710.0
2008-09-16,1744.0
2008-09-17,1897.0
2008-09-18,1930.0
2008-10-15,2035.0
2008-12-02,1600.0
2008-12-03,1610.0
2008-12-07,1600.0
2008-12-08,1599.0
2008-12-10,1630.0
2008-12-11,1693.0
2008-12-14,1627.0
2008-12-15,1595.0
2008-12-16,1477.0
2008-12-17,1360.0
2008-12-18,1410.0
2008-12-21,1390.0
2008-12-22,1405.0
2008-12-23,1403.0
2008-12-24,1395.0
2008-12-28,1375.0
2008-12-29,1450.0
2008-12-31,1464.0
2009-01-01,1520.0
2009-01-04,729.0
2009-01-05,801.0
2009-01-08,846.0
2009-01-13,846.0
2009-01-15,846.0
2009-01-18,862.0
2009-01-20,829.0
2009-01-21,805.0
2009-01-22,774.0
2009-01-25,774.0
2009-02-11,750.0
2009-02-24,735.0
2009-02-26,692.0
2009-03-01,703.0
2009-03-03,676.0
2009-03-09,675.0
2009-03-16,701.0
2009-03-19,687.0
2009-03-22,700.0
2009-03-23,720.0
2009-03-24,706.0
2009-03-25,715.0
2009-03-29,700.0
2009-03-30,686.0
2009-03-31,690.0
2009-04-01,690.0
2009-04-06,691.0
2009-04-09,718.0
2009-04-19,700.0
2009-04-22,700.0
2009-04-23,705.0
2009-04-26,730.0
2009-04-27,722.0
2009-04-28,725.0
2009-04-29,730.0
2009-04-30,745.0
2009-05-05,745.0
2009-05-06,745.0
2009-05-07,770.0
2009-05-10,765.0
2009-05-11,775.0
2009-05-12,780.0
2009-05-14,760.0
2009-05-17,760.0
2009-05-18,775.0
2009-05-19,820.0
2009-05-20,804.0
2009-05-21,816.0
2009-05-24,830.0
2009-05-25,860.0
2009-05-26,882.0
2009-05-27,900.0
2009-05-28,930.0
2009-06-01,940.0
