Date,Open
2013-01-27,263.0
2013-05-27,125.0
2013-06-09,113.0
2013-12-24,115.0
2014-01-27,117.0
2014-01-28,119.0
2014-01-29,121.0
2014-02-10,123.0
2014-02-20,125.0
2014-02-24,127.0
2014-02-26,131.0
2014-03-11,139.0
2014-03-17,146.0
2014-03-18,145.0
2014-03-20,146.0
2014-03-31,148.0
2014-04-01,148.0
2014-04-02,150.0
2014-04-07,153.0
2014-04-16,150.0
2014-04-20,159.0
2014-04-29,168.0
2014-05-04,174.0
2014-05-05,191.0
2014-05-06,210.0
2014-05-07,230.0
2014-05-08,246.0
2014-05-11,240.0
2014-05-12,236.0
2014-05-13,237.0
2014-05-19,245.0
2014-05-20,249.0
2014-05-21,253.0
2014-05-22,258.0
2014-05-26,263.0
2014-05-27,268.0
2014-06-01,278.0
2014-06-02,278.0
2014-06-09,283.0
2014-06-16,288.0
2014-06-18,293.0
2014-06-19,298.0
2014-06-25,293.0
2014-06-26,288.0
2014-06-29,283.0
2014-06-30,275.0
2014-07-02,270.0
2014-07-03,265.0
2014-07-08,265.0
2014-07-10,270.0
2014-07-15,275.0
2014-07-16,290.0
2014-07-21,295.0
2014-07-22,300.0
2014-07-24,330.0
2014-07-27,342.0
2014-07-28,361.0
2014-08-07,368.0
2014-08-14,320.0
2014-08-19,314.0
2014-10-28,314.0
2014-10-30,308.0
2014-11-05,291.0
2014-11-10,286.0
2014-11-13,287.0
2014-11-16,290.0
2014-11-19,285.0
2014-11-20,280.0
2014-11-23,287.0
2014-11-24,285.0
2014-11-25,275.0
2014-12-03,274.0
2014-12-14,233.0
2014-12-22,237.0
2014-12-23,241.0
2015-01-08,245.0
2015-01-11,269.0
2015-01-12,295.0
2015-01-14,290.0
2015-01-19,285.0
2015-01-20,295.0
2015-01-22,312.0
2015-01-26,306.0
2015-01-27,318.0
2015-01-28,320.0
2015-01-29,330.0
2015-02-01,331.0
2015-02-02,364.0
2015-02-03,355.0
2015-02-04,351.0
2015-02-05,347.0
2015-02-08,350.0
2015-02-09,351.0
2015-02-11,365.0
2015-02-12,377.0
2015-02-15,400.0
2015-02-16,429.0
2015-02-18,405.0
2015-02-22,405.0
2015-02-24,400.0
2015-03-01,386.0
2015-03-03,393.0
2015-03-04,400.0
2015-03-09,408.0
2015-03-10,408.0
2015-03-11,400.0
2015-03-16,408.0
2015-03-17,392.0
2015-03-22,399.0
2015-03-23,390.0
2015-03-25,384.0
