Date,Open
2011-01-10,81.0
2011-01-11,303.0
2011-01-17,283.0
2011-01-18,255.0
2011-01-19,230.0
2011-01-20,207.0
2011-01-23,188.0
2011-01-24,170.0
2011-01-31,153.0
2011-02-01,147.0
2011-02-02,135.0
2011-02-03,136.0
2011-02-06,135.0
2011-02-07,137.0
2011-02-08,137.0
2011-02-09,135.0
2011-02-10,135.0
2011-02-13,136.0
2011-02-14,135.0
2011-02-15,132.0
2011-02-16,131.0
2011-02-17,128.0
2011-02-20,132.0
2011-02-21,129.0
2011-02-22,124.0
2011-02-23,126.0
2011-02-24,124.0
2011-02-27,123.0
2011-02-28,119.0
2011-03-01,120.0
2011-03-03,123.0
2011-03-07,123.0
2011-03-09,118.0
2011-03-10,120.0
2011-03-13,116.0
2011-03-14,116.0
2011-03-15,114.0
2011-03-16,114.0
2011-03-17,116.0
2011-03-20,114.0
2011-03-21,115.0
2011-03-22,110.0
2011-03-23,110.0
2011-03-24,114.0
2011-03-27,110.0
2011-03-28,111.0
2011-03-29,104.0
2011-03-30,104.0
2011-03-31,105.0
2011-04-04,108.0
2011-04-05,107.0
2011-04-06,107.0
2011-04-07,107.0
2011-04-10,106.0
2011-04-11,108.0
2011-04-13,106.0
2011-04-17,109.0
2011-04-18,107.0
2011-04-19,105.0
2011-04-20,105.0
2011-04-21,107.0
2011-04-25,107.0
2011-04-26,104.0
2011-04-27,105.0
2011-04-28,107.0
2011-05-02,106.0
2011-05-03,104.0
2011-05-04,103.0
2011-05-05,102.0
2011-05-08,100.0
2011-05-09,101.0
2011-05-10,101.0
2011-05-11,102.0
2011-05-12,106.0
2011-05-15,104.0
2011-05-16,105.0
2011-05-18,104.0
2011-05-19,106.0
2011-05-22,105.0
2011-05-23,100.0
2011-05-24,101.0
2011-05-25,104.0
2011-05-26,99.0
2011-05-30,102.0
2011-05-31,105.0
2011-06-01,107.0
2011-06-02,105.0
2011-06-05,104.0
2011-06-06,98.0
2011-06-07,100.0
2011-06-08,102.0
2011-06-09,99.0
2011-06-12,102.0
2011-06-13,100.0
2011-06-14,98.0
2011-06-15,92.0
2011-06-16,88.0
2011-06-19,88.0
2011-06-20,96.0
2011-06-21,105.0
2011-06-23,105.0
2011-06-26,112.0
2011-06-29,109.0
2011-06-30,99.0
2011-07-03,96.0
2011-07-04,96.0
2011-07-05,90.0
2011-07-06,96.0
2011-07-07,98.0
2011-07-10,98.0
2011-07-11,97.0
2011-07-12,98.0
2011-07-13,99.0
2011-07-14,99.0
2011-07-17,104.0
