Date,Open
2007-05-06,212.0
2007-05-24,212.0
2007-06-07,212.0
2007-06-12,212.0
2007-06-18,210.0
2007-07-30,200.0
2007-07-31,200.0
2007-08-06,200.0
2007-08-07,200.0
2007-08-13,201.0
2007-08-14,211.0
2007-08-21,221.0
2007-08-22,225.0
2007-09-20,233.0
2007-09-23,244.0
2007-09-27,248.0
2007-10-02,250.0
2007-10-07,250.0
2007-11-06,250.0
2008-01-13,250.0
2008-01-21,245.0
2008-01-22,245.0
2008-03-26,245.0
2008-03-30,241.0
2008-05-11,253.0
2008-05-18,258.0
2008-05-26,263.0
2008-06-02,268.0
2008-06-04,294.0
2008-06-05,323.0
2008-07-10,341.0
2008-07-22,277.0
2008-08-18,272.0
2008-08-21,285.0
2008-09-03,290.0
2008-09-09,304.0
2008-09-23,319.0
2008-11-20,331.0
2008-12-08,347.0
2008-12-22,353.0
2009-01-08,367.0
2009-01-11,374.0
2009-01-13,388.0
2009-01-22,395.0
2009-01-25,395.0
2009-02-01,400.0
2009-02-02,420.0
2009-02-03,436.0
2009-03-02,444.0
2009-03-03,488.0
2009-03-04,489.0
2009-03-05,498.0
2009-03-08,547.0
2009-03-09,552.0
2009-03-11,500.0
2009-03-15,495.0
2009-03-16,486.0
2009-03-17,478.0
2009-03-18,478.0
2009-03-19,470.0
2009-03-23,506.0
2009-03-29,506.0
2009-03-31,506.0
2009-04-01,496.0
2009-04-05,500.0
2009-04-12,490.0
2009-04-13,490.0
2009-04-20,485.0
2009-04-21,485.0
2009-04-26,480.0
2009-05-05,488.0
2009-05-06,443.0
2009-05-10,460.0
2009-05-11,460.0
2009-05-12,470.0
2009-06-01,472.0
2009-06-02,480.0
2009-06-03,471.0
2009-06-04,471.0
2009-06-14,480.0
2009-06-16,489.0
2009-07-16,505.0
2009-07-30,525.0
2009-08-02,515.0
2009-08-03,495.0
2009-08-04,495.0
2009-08-11,495.0
2009-08-17,490.0
2009-08-20,499.0
2009-08-26,505.0
2009-09-06,500.0
2009-09-07,490.0
2009-09-08,481.0
2009-09-09,470.0
2009-09-10,461.0
2009-09-13,445.0
2009-09-15,445.0
2009-09-20,453.0
2009-09-22,454.0
2009-09-23,475.0
2009-10-06,484.0
2009-10-07,476.0
2009-10-22,475.0
2009-10-25,480.0
2009-10-26,489.0
2009-10-28,481.0
2009-10-29,480.0
2009-11-01,452.0
2009-11-02,428.0
2009-11-05,415.0
2009-11-08,431.0
2009-11-09,423.0
2009-11-12,428.0
2009-11-15,420.0
2009-11-26,420.0
2009-12-07,412.0
2009-12-13,402.0
2009-12-17,410.0
2009-12-21,418.0
2009-12-23,415.0
2009-12-24,415.0
2009-12-29,435.0
2010-01-31,443.0
2010-02-08,340.0
2010-02-15,334.0
2010-02-16,328.0
2010-02-17,322.0
2010-03-01,315.0
2010-03-14,315.0
2010-05-12,309.0
2010-05-13,327.0
2010-05-16,335.0
2010-05-20,335.0
2010-05-25,324.0
2010-05-26,329.0
