Date,Open
1999-11-24,306.0
1999-12-16,320.0
1999-12-24,300.0
1999-12-31,330.0
2000-01-05,330.0
2000-01-10,360.0
2000-01-28,340.0
2000-02-16,300.0
2000-02-17,44.0
2000-02-18,335.0
2000-02-21,350.0
2000-02-28,350.0
2000-03-30,385.0
2000-04-19,44.0
2000-04-28,500.0
2000-05-02,500.0
2000-05-22,450.0
2000-06-26,410.0
2000-07-25,420.0
2000-08-18,420.0
2000-09-08,400.0
2000-09-14,440.0
2000-09-20,480.0
2000-09-25,520.0
2000-10-25,572.0
2000-11-24,580.0
2000-12-18,522.0
2001-01-18,470.0
2001-01-19,590.0
2001-03-05,600.0
2001-03-07,590.0
2001-03-16,600.0
2001-03-19,600.0
2001-03-21,600.0
2001-03-26,590.0
2001-03-28,590.0
2001-03-30,590.0
2001-04-03,590.0
2001-04-20,531.0
2001-07-03,584.0
2001-09-03,580.0
2001-11-13,580.0
2002-02-12,550.0
2002-02-15,575.0
2002-05-01,518.0
2002-05-02,518.0
2002-05-03,510.0
2002-05-22,480.0
2002-05-29,480.0
2002-06-12,480.0
2002-06-13,480.0
2002-06-21,480.0
2002-06-25,480.0
2003-06-12,480.0
2003-06-18,37.0
2003-06-19,34.0
2005-01-18,31.0
2005-05-10,31.0
2005-06-15,30.0
2005-06-22,31.0
2005-06-30,32.0
2005-07-26,33.0
2005-11-13,32.0
2005-11-14,31.0
2005-11-15,30.0
2005-11-16,29.0
2005-11-17,26.0
2006-06-13,25.0
2006-12-05,25.0
2007-02-04,26.0
2007-02-21,27.0
2007-03-14,27.0
2007-03-15,27.0
2007-10-07,27.0
