Date,Open
2012-08-16,147.0
2012-08-21,200.0
2012-09-24,196.0
2012-10-08,181.0
2012-10-09,174.0
2012-11-08,171.0
2012-12-19,165.0
2013-02-25,162.0
2013-03-19,165.0
2013-03-20,150.0
2013-03-27,137.0
2013-03-31,124.0
2013-04-02,122.0
2013-04-04,116.0
2013-04-07,118.0
2013-04-08,116.0
2013-04-09,110.0
2013-04-11,110.0
2013-04-16,108.0
2013-04-18,108.0
2013-04-28,110.0
2013-04-29,110.0
2013-05-02,112.0
2013-05-16,110.0
2013-05-20,114.0
2013-05-21,116.0
2013-05-26,120.0
2013-05-28,122.0
2013-05-30,121.0
2013-06-02,112.0
2013-06-03,112.0
2013-06-13,110.0
2013-06-17,108.0
2013-06-19,108.0
2013-06-20,114.0
2013-06-23,112.0
2013-06-24,110.0
2013-07-02,112.0
2013-07-03,114.0
2013-07-29,110.0
2013-08-01,112.0
2013-08-04,114.0
2013-08-06,118.0
2013-08-07,124.0
2013-08-08,126.0
2013-08-11,124.0
2013-08-12,126.0
2013-08-13,125.0
2013-08-14,129.0
2013-08-20,129.0
2013-08-27,133.0
2013-09-04,137.0
2013-09-09,139.0
2013-11-12,141.0
2013-12-02,146.0
2013-12-03,153.0
2013-12-05,159.0
2013-12-08,162.0
2013-12-09,165.0
2013-12-11,168.0
2013-12-12,171.0
2013-12-15,177.0
2013-12-22,180.0
2013-12-24,186.0
2013-12-26,183.0
2014-02-20,201.0
2014-03-09,174.0
2014-03-25,177.0
2014-03-26,186.0
2014-04-02,188.0
2014-04-06,191.0
2014-04-10,194.0
2014-04-15,194.0
2014-04-20,197.0
2014-04-21,200.0
2014-04-23,196.0
2014-05-08,199.0
2014-05-11,190.0
2014-05-20,190.0
2014-05-22,193.0
2014-05-26,199.0
2014-05-28,202.0
2014-06-04,206.0
2014-06-16,202.0
2014-06-18,218.0
2014-06-24,224.0
2014-07-01,228.0
2014-07-07,232.0
2014-07-14,232.0
2014-07-16,244.0
2014-07-17,252.0
2014-07-20,255.0
2014-07-21,260.0
2014-07-23,280.0
2014-07-24,308.0
2014-07-31,332.0
2014-08-03,362.0
2014-08-04,398.0
2014-08-05,391.0
2014-08-06,363.0
2014-08-07,380.0
2014-08-13,381.0
2014-08-14,381.0
2014-08-18,381.0
2014-08-19,374.0
2014-08-20,385.0
2014-08-21,367.0
2014-08-24,360.0
2014-08-25,360.0
2014-08-27,353.0
2014-09-10,381.0
2014-10-12,388.0
2014-10-15,367.0
2014-10-16,360.0
2014-11-06,360.0
2014-11-16,353.0
2014-11-17,353.0
2014-11-19,360.0
2014-12-10,348.0
2014-12-24,342.0
2014-12-29,280.0
2014-12-31,275.0
2015-01-04,275.0
2015-01-08,285.0
2015-01-12,295.0
2015-01-19,306.0
2015-01-20,327.0
2015-01-25,333.0
2015-01-26,338.0
2015-01-27,335.0
2015-01-29,335.0
2015-02-01,330.0
2015-02-02,354.0
2015-02-03,359.0
2015-02-04,366.0
2015-02-11,365.0
2015-02-12,365.0
2015-02-15,372.0
2015-02-25,370.0
2015-02-26,349.0
2015-03-01,349.0
2015-03-02,342.0
2015-03-03,348.0
2015-03-15,337.0
2015-03-16,344.0
2015-03-18,338.0
2015-03-23,339.0
2015-03-24,341.0
