Date,Open
2010-06-10,82.0
2010-06-13,278.0
2010-06-14,273.0
2010-06-15,246.0
2010-06-16,244.0
2010-06-17,235.0
2010-06-20,236.0
2010-06-21,240.0
2010-06-22,243.0
2010-06-23,247.0
2010-06-24,267.0
2010-06-28,250.0
2010-06-29,235.0
2010-06-30,231.0
2010-07-01,240.0
2010-07-04,254.0
2010-07-05,240.0
2010-07-06,233.0
2010-07-07,234.0
2010-07-08,236.0
2010-07-11,237.0
2010-07-12,240.0
2010-07-13,231.0
2010-07-14,231.0
2010-07-15,235.0
2010-07-18,235.0
2010-07-19,231.0
2010-07-20,230.0
2010-07-21,244.0
2010-07-22,249.0
2010-07-25,245.0
2010-07-26,236.0
2010-07-27,238.0
2010-07-28,240.0
2010-07-29,236.0
2010-08-01,234.0
2010-08-02,237.0
2010-08-03,230.0
2010-08-04,228.0
2010-08-05,225.0
2010-08-08,225.0
2010-08-09,222.0
2010-08-10,221.0
2010-08-11,225.0
2010-08-12,226.0
2010-08-15,227.0
2010-08-16,227.0
2010-08-17,225.0
2010-08-18,226.0
2010-08-19,229.0
2010-08-22,222.0
2010-08-23,217.0
2010-08-26,214.0
2010-08-29,209.0
2010-08-30,200.0
2010-08-31,193.0
2010-09-02,190.0
2010-09-05,191.0
2010-09-06,182.0
2010-09-07,190.0
2010-09-08,187.0
2010-09-09,186.0
2010-09-12,196.0
2010-09-13,194.0
2010-09-14,184.0
2010-09-15,182.0
2010-09-16,183.0
2010-09-19,178.0
2010-09-20,175.0
2010-09-21,170.0
2010-09-23,173.0
2010-09-26,176.0
2010-09-27,175.0
2010-09-28,175.0
2010-09-29,172.0
2010-09-30,175.0
2010-10-03,177.0
2010-10-04,174.0
2010-10-05,176.0
2010-10-06,177.0
2010-10-07,175.0
2010-10-10,184.0
2010-10-11,188.0
2010-10-12,194.0
2010-10-24,200.0
2010-10-25,196.0
2010-10-26,198.0
2010-10-27,198.0
2010-10-28,195.0
2010-10-31,195.0
2010-11-01,197.0
2010-11-02,191.0
2010-11-03,190.0
2010-11-04,187.0
2010-11-09,190.0
2010-11-10,190.0
2010-11-11,190.0
2010-11-14,185.0
2010-11-15,181.0
2010-11-16,180.0
2010-11-18,176.0
2010-11-21,182.0
2010-11-22,183.0
2010-11-23,180.0
2010-11-24,179.0
2010-11-25,177.0
2010-11-28,180.0
2010-11-29,176.0
2010-11-30,173.0
2010-12-01,174.0
2010-12-02,176.0
2010-12-05,177.0
2010-12-06,175.0
2010-12-07,172.0
2010-12-08,171.0
2010-12-09,168.0
2010-12-12,168.0
2010-12-13,166.0
2010-12-14,160.0
2010-12-15,163.0
2010-12-16,162.0
2010-12-19,167.0
2010-12-20,165.0
2010-12-22,162.0
2010-12-23,161.0
2010-12-26,169.0
2010-12-27,171.0
2010-12-28,172.0
2010-12-29,173.0
2011-01-02,167.0
2011-01-03,160.0
2011-01-04,160.0
2011-01-05,160.0
2011-01-06,158.0
