Date,Open
2011-02-08,0.0
2011-02-09,207.0
2011-02-15,224.0
2011-02-16,220.0
2011-02-17,242.0
2011-02-20,266.0
2011-02-21,292.0
2011-02-22,321.0
2011-02-23,353.0
2011-02-24,388.0
2011-02-27,350.0
2011-02-28,337.0
2011-03-03,321.0
2011-03-07,289.0
2011-03-09,261.0
2011-03-10,262.0
2011-03-13,272.0
2011-03-14,260.0
2011-03-15,258.0
2011-03-16,249.0
2011-03-17,260.0
2011-03-20,265.0
2011-03-21,260.0
2011-03-22,265.0
2011-03-23,265.0
2011-03-24,265.0
2011-03-28,250.0
2011-03-29,244.0
2011-03-30,240.0
2011-03-31,216.0
2011-04-04,221.0
2011-04-05,221.0
2011-04-06,227.0
2011-04-07,227.0
2011-04-10,228.0
2011-04-11,235.0
2011-04-13,235.0
2011-04-17,240.0
2011-04-18,243.0
2011-04-19,240.0
2011-04-20,244.0
2011-04-21,246.0
2011-04-25,242.0
2011-05-02,250.0
2011-05-03,250.0
2011-05-04,248.0
2011-05-05,248.0
2011-05-10,245.0
2011-05-12,245.0
2011-05-15,242.0
2011-05-16,242.0
2011-05-18,240.0
2011-05-19,244.0
2011-05-22,248.0
2011-05-25,248.0
2011-06-06,248.0
2011-06-15,244.0
2011-06-20,235.0
2011-07-10,235.0
2011-07-11,227.0
2011-07-19,223.0
2011-08-09,219.0
2011-08-18,215.0
2011-08-23,207.0
2011-08-30,211.0
2011-09-06,207.0
2011-09-19,196.0
2011-10-17,193.0
2011-11-10,190.0
2011-11-14,184.0
2011-11-16,181.0
2011-11-17,163.0
2011-11-20,160.0
2011-11-21,153.0
2011-11-22,150.0
2011-11-24,150.0
2011-11-27,148.0
2011-12-04,138.0
2011-12-06,135.0
2011-12-07,135.0
2011-12-22,133.0
2012-01-05,133.0
2012-01-11,133.0
2012-01-12,133.0
2012-01-16,135.0
2012-01-17,133.0
2012-01-22,131.0
2012-01-29,133.0
2012-02-05,132.0
2012-02-16,132.0
2012-02-21,134.0
2012-03-06,133.0
2012-03-13,135.0
2012-03-14,137.0
2012-03-25,135.0
2012-03-27,133.0
2012-03-29,135.0
2012-04-02,132.0
2012-04-04,134.0
2012-04-09,134.0
2012-05-17,132.0
2012-05-20,134.0
2012-05-21,132.0
2012-06-11,132.0
2012-06-12,132.0
2012-06-13,130.0
2012-06-18,134.0
2012-06-19,134.0
2012-06-26,134.0
2012-06-27,134.0
2012-07-22,134.0
2012-07-23,132.0
2012-07-24,134.0
2012-07-25,135.0
2012-07-31,135.0
2012-08-01,135.0
2012-08-07,137.0
2012-08-27,139.0
2012-09-03,137.0
2012-09-09,135.0
2012-09-10,133.0
2012-09-11,133.0
2012-09-13,131.0
2012-09-16,127.0
2012-09-17,125.0
2012-09-19,125.0
2012-09-27,123.0
2012-09-30,122.0
2012-10-02,122.0
2012-10-04,120.0
2012-10-10,122.0
2012-10-11,120.0
2012-10-14,118.0
2012-11-05,118.0
2012-11-26,117.0
2012-12-26,117.0
2013-01-07,119.0
2013-01-31,119.0
2013-02-03,121.0
2013-02-04,121.0
2013-02-06,121.0
2013-04-28,123.0
2013-08-14,114.0
2013-08-20,114.0
2013-08-25,114.0
2013-08-26,116.0
2013-08-27,116.0
2013-08-29,114.0
2013-09-01,116.0
2013-09-02,116.0
2013-09-03,119.0
2013-09-04,119.0
2013-09-05,119.0
2013-09-10,115.0
2013-09-15,117.0
2013-09-16,115.0
2013-09-22,114.0
2013-09-24,116.0
2013-09-25,113.0
2013-09-26,113.0
2013-09-29,115.0
2013-10-08,113.0
2013-10-10,117.0
2013-10-20,115.0
2013-10-29,115.0
2013-11-07,117.0
2013-11-12,115.0
2013-11-26,113.0
2013-11-27,115.0
2013-12-09,113.0
2013-12-10,113.0
2013-12-12,117.0
2013-12-15,123.0
2013-12-19,127.0
2014-01-06,129.0
2014-01-09,108.0
2014-01-12,110.0
2014-01-13,112.0
2014-01-16,114.0
2014-01-20,116.0
2014-01-21,118.0
2014-01-23,128.0
2014-01-26,134.0
2014-01-27,140.0
2014-01-29,142.0
2014-02-02,150.0
2014-02-03,165.0
2014-02-09,174.0
2014-02-10,189.0
2014-02-11,192.0
2014-02-12,198.0
2014-02-13,217.0
2014-02-16,225.0
2014-02-17,237.0
2014-02-18,245.0
2014-02-20,253.0
2014-02-23,278.0
2014-02-24,283.0
2014-02-25,311.0
2014-02-26,342.0
2014-03-03,354.0
2014-03-04,347.0
2014-03-06,341.0
2014-03-09,335.0
2014-03-11,329.0
2014-04-06,323.0
2014-05-04,317.0
2014-05-05,311.0
2014-05-06,299.0
2014-05-18,294.0
2014-05-25,279.0
2014-05-28,275.0
2014-06-01,275.0
2014-06-04,270.0
2014-06-05,260.0
2014-06-11,255.0
2014-06-12,250.0
2014-06-17,255.0
2014-06-18,260.0
2014-06-23,265.0
2014-06-24,260.0
2014-06-29,255.0
2014-07-01,246.0
2014-07-06,250.0
2014-07-07,255.0
2014-07-08,265.0
2014-07-10,270.0
2014-07-15,275.0
2014-07-20,280.0
2014-07-22,300.0
2014-07-23,318.0
2014-07-24,342.0
2014-07-27,348.0
2014-07-30,354.0
2014-07-31,369.0
2014-08-03,386.0
2014-08-04,365.0
2014-08-05,365.0
2014-08-06,360.0
2014-08-13,350.0
2014-08-18,340.0
2014-08-20,334.0
2014-08-21,366.0
2014-08-27,368.0
2014-08-28,382.0
2014-08-31,389.0
2014-09-04,396.0
2014-09-07,403.0
2014-09-09,363.0
2014-09-10,328.0
2014-09-11,325.0
2014-09-14,296.0
2014-09-15,318.0
2014-09-16,305.0
2014-09-17,335.0
2014-09-21,341.0
2014-09-23,335.0
2014-09-24,341.0
2014-09-28,335.0
2014-09-29,335.0
2014-10-08,329.0
2014-10-09,325.0
2014-10-12,330.0
2014-10-14,325.0
2014-10-15,331.0
2014-10-16,340.0
2014-10-21,333.0
2014-10-22,339.0
2014-10-27,345.0
2014-10-28,341.0
2014-10-30,329.0
2014-11-02,325.0
2014-11-03,336.0
2014-11-05,342.0
2014-11-06,340.0
2014-11-10,340.0
2014-11-11,334.0
2014-11-12,322.0
2014-11-13,322.0
2014-11-16,326.0
2014-11-17,318.0
2014-11-18,320.0
2014-11-19,352.0
2014-11-20,387.0
2014-11-23,392.0
2014-11-24,388.0
2014-11-25,353.0
2014-11-30,346.0
2014-12-01,340.0
2014-12-03,343.0
2014-12-08,343.0
2014-12-09,348.0
2014-12-11,375.0
2014-12-14,377.0
2014-12-16,384.0
2014-12-17,391.0
2014-12-21,394.0
2014-12-22,377.0
2014-12-23,375.0
2014-12-24,382.0
2015-01-01,313.0
2015-01-05,302.0
2015-01-06,314.0
2015-01-07,344.0
2015-01-08,378.0
2015-01-11,407.0
2015-01-12,423.0
2015-01-13,446.0
2015-01-14,490.0
2015-01-18,490.0
2015-01-19,443.0
2015-01-20,438.0
2015-01-26,472.0
2015-01-28,475.0
2015-01-29,460.0
2015-02-01,455.0
2015-02-02,490.0
2015-02-04,472.0
2015-02-08,478.0
2015-02-09,515.0
2015-02-10,520.0
2015-02-11,561.0
2015-02-12,612.0
2015-02-15,647.0
2015-02-16,631.0
2015-02-18,619.0
2015-02-22,625.0
2015-02-23,613.0
2015-02-24,589.0
2015-02-25,578.0
2015-03-02,580.0
2015-03-03,575.0
2015-03-04,576.0
2015-03-09,580.0
2015-03-10,574.0
2015-03-12,575.0
2015-03-16,583.0
2015-03-18,561.0
2015-03-22,560.0
2015-03-23,570.0
2015-03-24,560.0
2015-03-26,582.0
