Date,Open
2013-02-27,0.0
2013-02-28,160.0
2013-03-03,144.0
2013-03-05,132.0
2013-03-06,130.0
2013-03-07,129.0
2013-03-11,127.0
2013-04-23,127.0
2013-05-26,125.0
2013-07-08,121.0
2013-08-06,121.0
2013-08-19,121.0
2013-12-15,119.0
2014-02-16,121.0
2014-02-17,123.0
2014-03-05,113.0
2014-03-06,117.0
2014-03-10,121.0
2014-03-20,129.0
2014-03-23,135.0
2014-04-02,137.0
2014-04-03,145.0
2014-04-06,151.0
2014-04-07,157.0
2014-04-09,163.0
2014-04-10,178.0
2014-04-13,181.0
2014-04-15,196.0
2014-04-16,199.0
2014-04-17,214.0
2014-04-21,230.0
2014-04-22,253.0
2014-04-23,278.0
2014-04-27,305.0
2014-04-28,311.0
2014-04-29,341.0
2014-05-18,341.0
2014-06-01,329.0
2014-06-02,323.0
2014-06-03,291.0
2014-06-11,276.0
2014-06-12,271.0
2014-06-15,281.0
2014-06-17,309.0
2014-06-25,321.0
2014-06-26,327.0
2014-07-02,345.0
2014-07-07,345.0
2014-07-09,350.0
2014-07-10,343.0
2014-07-13,346.0
2014-07-14,359.0
2014-07-17,366.0
2014-07-23,373.0
2014-08-06,387.0
2014-09-04,401.0
2014-09-10,405.0
2014-11-12,413.0
2014-11-13,372.0
2014-11-16,351.0
2014-11-17,332.0
2014-12-07,330.0
2014-12-09,319.0
2014-12-10,313.0
2015-01-26,279.0
2015-02-04,306.0
2015-02-10,306.0
2015-02-11,335.0
2015-02-12,367.0
2015-02-15,403.0
2015-02-16,403.0
2015-02-18,388.0
2015-03-01,380.0
2015-03-04,380.0
2015-03-09,373.0
2015-03-10,368.0
2015-03-11,370.0
2015-03-12,375.0
2015-03-15,412.0
2015-03-16,420.0
2015-03-17,412.0
2015-03-23,410.0
2015-03-25,396.0
2015-03-26,397.0
2015-03-29,390.0
