Date,Open
2011-08-07,129.0
2011-08-09,335.0
2011-08-10,323.0
2011-08-11,317.0
2011-08-15,299.0
2011-08-16,279.0
2011-08-17,259.0
2011-08-18,235.0
2011-08-23,219.0
2011-08-25,215.0
2011-08-28,205.0
2011-08-29,194.0
2011-08-30,179.0
2011-09-04,170.0
2011-09-05,158.0
2011-09-06,152.0
2011-09-07,141.0
2011-09-08,127.0
2011-09-12,115.0
2011-09-13,106.0
2011-09-14,107.0
2011-09-15,109.0
2011-09-18,107.0
2011-09-19,107.0
2011-09-20,106.0
2011-09-21,107.0
2011-09-22,108.0
2011-09-25,108.0
2011-09-26,109.0
2011-09-27,108.0
2011-09-29,109.0
2011-10-02,109.0
2011-10-09,110.0
2011-10-10,111.0
2011-10-12,110.0
2011-10-13,110.0
2011-10-16,111.0
2011-10-17,112.0
2011-10-18,109.0
2011-10-19,109.0
2011-10-20,110.0
2011-10-23,109.0
2011-10-24,108.0
2011-10-25,109.0
2011-10-30,109.0
2011-10-31,109.0
2011-11-02,109.0
2011-11-03,119.0
2011-11-06,111.0
2011-11-08,111.0
2011-11-09,109.0
2011-11-10,108.0
2011-11-13,110.0
2011-11-14,109.0
2011-11-15,109.0
2011-11-16,109.0
2011-11-17,108.0
2011-11-20,109.0
2011-11-21,109.0
2011-11-22,108.0
2011-11-23,112.0
2011-11-24,110.0
2011-11-27,111.0
2011-11-28,110.0
2011-11-29,110.0
2011-11-30,112.0
2011-12-01,110.0
2011-12-04,110.0
2011-12-05,109.0
2011-12-06,108.0
2011-12-07,109.0
2011-12-08,110.0
2011-12-11,110.0
2011-12-12,111.0
2011-12-13,111.0
2011-12-14,108.0
2011-12-15,111.0
2011-12-18,111.0
2011-12-19,111.0
2011-12-20,109.0
2011-12-21,102.0
2011-12-22,100.0
2011-12-26,100.0
2011-12-29,100.0
2012-01-01,100.0
2012-01-02,100.0
2012-01-03,100.0
2012-01-04,98.0
2012-01-05,99.0
2012-01-08,100.0
2012-01-09,101.0
2012-01-10,104.0
2012-01-11,100.0
2012-01-12,99.0
2012-01-16,105.0
2012-01-17,98.0
2012-01-18,99.0
2012-01-19,99.0
2012-01-22,100.0
2012-01-23,98.0
2012-01-25,98.0
2012-01-26,97.0
2012-01-29,99.0
2012-01-31,97.0
2012-02-01,98.0
2012-02-02,98.0
2012-02-05,98.0
2012-02-06,97.0
2012-02-07,95.0
2012-02-08,95.0
2012-02-09,96.0
2012-02-12,96.0
2012-02-13,97.0
2012-02-14,97.0
2012-02-15,96.0
2012-02-16,97.0
2012-02-21,98.0
2012-02-23,96.0
2012-02-26,99.0
2012-02-27,99.0
2012-02-28,97.0
2012-02-29,97.0
2012-03-01,96.0
2012-03-04,97.0
2012-03-05,98.0
2012-03-06,97.0
2012-03-11,97.0
2012-03-12,98.0
2012-03-13,98.0
2012-03-14,100.0
2012-03-15,99.0
2012-03-18,98.0
2012-03-19,99.0
2012-03-20,100.0
2012-03-21,98.0
2012-03-25,98.0
2012-03-26,98.0
2012-03-27,98.0
2012-03-28,99.0
2012-03-29,98.0
2012-04-01,97.0
2012-04-02,97.0
2012-04-03,98.0
2012-04-04,98.0
2012-04-05,98.0
2012-04-08,98.0
2012-04-09,97.0
2012-04-10,98.0
2012-04-11,98.0
2012-04-12,101.0
2012-04-15,106.0
2012-04-16,112.0
2012-04-17,116.0
2012-04-18,118.0
2012-04-19,120.0
2012-04-22,117.0
2012-04-24,118.0
2012-04-25,126.0
2012-04-26,130.0
2012-04-29,132.0
2012-04-30,134.0
2012-05-03,134.0
2012-05-07,134.0
2012-05-09,136.0
2012-05-10,128.0
2012-05-13,126.0
2012-05-14,116.0
2012-05-15,110.0
2012-05-16,112.0
2012-05-17,122.0
2012-05-20,124.0
2012-05-21,120.0
2012-05-22,117.0
2012-05-23,117.0
2012-05-24,119.0
2012-05-27,119.0
2012-05-29,120.0
2012-06-03,118.0
2012-06-04,117.0
2012-06-05,112.0
2012-06-06,106.0
2012-06-07,105.0
2012-06-10,110.0
2012-06-11,105.0
2012-06-12,107.0
2012-06-13,105.0
2012-06-14,105.0
2012-06-17,107.0
2012-06-18,105.0
2012-06-19,106.0
2012-06-20,106.0
2012-06-21,106.0
2012-06-25,105.0
2012-06-26,110.0
2012-06-27,107.0
2012-06-28,108.0
2012-07-01,110.0
2012-07-02,110.0
2012-07-03,109.0
2012-07-04,105.0
2012-07-05,110.0
2012-07-08,107.0
2012-07-09,107.0
2012-07-10,106.0
2012-07-11,108.0
2012-07-12,106.0
2012-07-15,108.0
2012-07-16,108.0
2012-07-17,108.0
2012-07-18,110.0
2012-07-19,118.0
2012-07-22,120.0
2012-07-23,119.0
2012-07-24,119.0
2012-07-25,117.0
2012-07-26,117.0
2012-07-29,115.0
2012-07-30,111.0
2012-07-31,114.0
2012-08-01,112.0
2012-08-05,114.0
2012-08-06,116.0
2012-08-07,114.0
2012-08-08,117.0
2012-08-12,116.0
2012-08-13,115.0
2012-08-14,116.0
2012-08-15,119.0
2012-08-16,117.0
2012-08-19,115.0
2012-08-21,115.0
2012-08-22,115.0
2012-08-23,118.0
2012-08-26,117.0
2012-08-27,115.0
2012-08-28,116.0
2012-08-29,114.0
2012-08-30,122.0
2012-09-02,118.0
2012-09-03,125.0
2012-09-04,124.0
2012-09-05,124.0
2012-09-06,126.0
2012-09-09,126.0
2012-09-10,125.0
2012-09-11,126.0
2012-09-12,127.0
2012-09-16,126.0
2012-09-17,128.0
2012-09-18,130.0
2012-09-19,130.0
2012-09-20,126.0
2012-09-23,128.0
2012-09-24,127.0
2012-09-25,124.0
2012-09-26,124.0
2012-09-27,123.0
2012-09-30,123.0
2012-10-01,121.0
2012-10-02,121.0
2012-10-03,123.0
2012-10-08,125.0
2012-10-09,121.0
2012-10-10,122.0
2012-10-11,124.0
2012-10-14,125.0
2012-10-15,123.0
2012-10-17,124.0
2012-10-18,124.0
2012-10-31,126.0
2012-11-01,128.0
2012-11-04,124.0
2012-11-05,125.0
2012-11-06,130.0
2012-11-07,130.0
2012-11-08,136.0
2012-11-11,138.0
2012-11-12,136.0
2012-11-18,133.0
2012-11-20,134.0
2012-11-21,134.0
2012-11-22,133.0
2012-11-25,131.0
2012-11-26,136.0
2012-11-27,134.0
2012-11-28,133.0
2012-11-29,132.0
2012-12-05,129.0
2012-12-06,125.0
2012-12-18,123.0
2012-12-19,122.0
2012-12-20,118.0
2012-12-23,113.0
2012-12-24,117.0
2012-12-26,119.0
2012-12-27,119.0
2012-12-31,120.0
2013-01-02,116.0
2013-01-03,114.0
2013-01-06,114.0
2013-01-07,115.0
2013-01-08,115.0
2013-01-09,115.0
2013-01-10,116.0
2013-01-13,113.0
2013-01-15,115.0
2013-01-16,113.0
2013-01-17,114.0
2013-01-20,115.0
2013-01-21,123.0
2013-01-22,127.0
2013-01-23,125.0
2013-01-24,122.0
2013-01-27,120.0
2013-01-28,119.0
2013-01-30,122.0
2013-01-31,118.0
2013-02-03,118.0
2013-02-04,120.0
2013-02-05,118.0
2013-02-06,122.0
2013-02-07,120.0
2013-02-10,119.0
2013-02-12,120.0
2013-02-13,124.0
2013-02-14,127.0
2013-02-19,126.0
2013-02-20,130.0
2013-02-21,128.0
2013-02-24,128.0
2013-02-26,124.0
2013-02-27,125.0
2013-02-28,125.0
2013-03-03,127.0
2013-03-04,127.0
2013-03-05,130.0
2013-03-06,126.0
2013-03-07,128.0
2013-03-11,126.0
2013-03-13,126.0
2013-03-14,128.0
2013-03-17,130.0
2013-03-18,126.0
2013-03-19,128.0
2013-03-20,127.0
2013-03-21,128.0
2013-03-24,130.0
2013-03-25,129.0
2013-03-27,123.0
2013-03-28,123.0
2013-03-31,126.0
2013-04-01,123.0
2013-04-02,122.0
2013-04-03,126.0
2013-04-04,128.0
2013-04-07,129.0
2013-04-08,127.0
2013-04-09,127.0
2013-04-11,125.0
2013-04-15,125.0
2013-04-16,127.0
2013-04-17,126.0
2013-04-18,125.0
2013-04-21,127.0
2013-04-22,125.0
2013-04-23,123.0
2013-04-25,125.0
2013-04-28,128.0
2013-04-30,132.0
2013-05-02,124.0
2013-05-05,122.0
2013-05-06,122.0
2013-05-07,121.0
2013-05-08,124.0
2013-05-09,123.0
2013-05-12,123.0
2013-05-13,122.0
2013-05-14,121.0
2013-05-15,123.0
2013-05-16,128.0
2013-05-19,125.0
2013-05-20,126.0
2013-05-21,128.0
2013-05-22,128.0
2013-05-23,127.0
2013-05-26,125.0
2013-05-27,123.0
2013-05-28,122.0
2013-05-30,123.0
2013-06-02,126.0
2013-06-04,125.0
2013-06-05,126.0
2013-06-06,126.0
2013-06-09,129.0
2013-06-10,124.0
2013-06-11,127.0
2013-06-12,128.0
2013-06-13,124.0
2013-06-16,124.0
2013-06-18,130.0
2013-06-19,125.0
2013-06-20,124.0
2013-06-23,123.0
2013-06-24,124.0
2013-06-25,125.0
2013-06-26,123.0
2013-06-27,125.0
2013-06-30,125.0
2013-07-01,125.0
2013-07-02,125.0
2013-07-03,127.0
2013-07-04,123.0
2013-07-07,123.0
2013-07-08,124.0
2013-07-09,127.0
2013-07-10,125.0
2013-07-11,124.0
2013-07-14,124.0
2013-07-15,124.0
2013-07-16,126.0
2013-07-17,124.0
2013-07-18,122.0
2013-07-21,132.0
2013-07-22,140.0
2013-07-23,136.0
2013-07-24,137.0
2013-07-25,132.0
2013-07-28,132.0
2013-07-29,130.0
2013-07-30,134.0
2013-07-31,141.0
2013-08-04,141.0
2013-08-07,139.0
2013-08-08,137.0
2013-08-11,133.0
2013-08-12,135.0
2013-08-13,133.0
2013-08-14,130.0
2013-08-15,132.0
2013-08-18,139.0
2013-08-19,138.0
2013-08-20,142.0
2013-08-25,156.0
2013-08-26,165.0
2013-08-29,157.0
2013-09-01,157.0
2013-09-02,152.0
2013-09-03,155.0
2013-09-04,150.0
2013-09-05,153.0
2013-09-08,150.0
2013-09-09,150.0
2013-09-10,147.0
2013-09-11,161.0
2013-09-12,154.0
2013-09-15,154.0
2013-09-16,155.0
2013-09-17,158.0
2013-09-19,157.0
2013-09-22,151.0
2013-09-23,145.0
2013-09-24,149.0
2013-09-25,150.0
2013-09-26,151.0
2013-09-29,154.0
2013-09-30,155.0
2013-10-01,149.0
2013-10-02,150.0
2013-10-03,148.0
2013-10-06,153.0
2013-10-09,156.0
2013-10-10,153.0
2013-10-21,153.0
2013-10-22,153.0
2013-10-23,155.0
2013-10-24,156.0
2013-10-27,157.0
2013-10-28,160.0
2013-10-29,157.0
2013-10-30,157.0
2013-11-06,161.0
2013-11-07,157.0
2013-11-10,153.0
2013-11-12,156.0
2013-11-13,159.0
2013-11-14,168.0
2013-11-24,173.0
2013-11-25,188.0
2013-11-26,193.0
2013-11-27,195.0
2013-11-28,195.0
2013-12-01,210.0
2013-12-02,218.0
2013-12-03,229.0
2013-12-05,244.0
2013-12-08,232.0
2013-12-09,228.0
2013-12-11,226.0
2013-12-16,224.0
2013-12-18,232.0
2013-12-19,234.0
2013-12-23,230.0
2013-12-24,226.0
2013-12-26,222.0
2013-12-31,226.0
2014-01-07,222.0
2014-01-08,218.0
2014-01-09,214.0
2014-01-12,210.0
2014-01-13,203.0
2014-01-14,204.0
2014-01-16,205.0
2014-01-19,218.0
2014-01-20,222.0
2014-01-21,244.0
2014-01-22,268.0
2014-01-23,281.0
