Date,Open
2008-06-08,0.0
2008-06-09,308.0
2008-06-10,332.0
2008-06-16,348.0
2008-06-19,365.0
2008-06-24,383.0
2008-06-26,421.0
2008-06-29,442.0
2008-06-30,450.0
2008-07-01,490.0
2008-07-02,534.0
2008-07-03,582.0
2008-07-09,623.0
2008-07-14,654.0
2008-07-15,686.0
2008-07-16,699.0
2008-07-17,768.0
2008-07-20,798.0
2008-07-21,845.0
2008-07-27,878.0
2008-07-28,965.0
2008-07-29,1061.0
2008-07-30,1167.0
2008-07-31,1200.0
2008-08-03,1215.0
2008-08-04,1225.0
2008-08-05,1220.0
2008-08-07,1215.0
2008-08-10,1216.0
2008-08-11,1210.0
2008-08-12,1225.0
2008-08-13,1220.0
2008-08-14,1190.0
2008-08-18,1190.0
2008-08-19,1170.0
2008-08-20,1125.0
2008-08-21,1120.0
2008-08-24,1100.0
2008-08-25,1110.0
2008-08-26,1090.0
2008-08-27,1090.0
2008-08-31,1090.0
2008-09-03,1091.0
2008-09-04,1075.0
2008-09-07,1070.0
2008-09-08,1075.0
2008-09-09,1110.0
2008-09-10,1095.0
2008-09-11,1076.0
2008-09-15,1060.0
2008-09-16,1100.0
2008-09-17,1098.0
2008-09-18,1057.0
2008-09-21,1060.0
2008-09-22,1019.0
2008-09-23,1120.0
2008-09-24,1122.0
2008-09-25,1057.0
2008-09-28,1060.0
2008-10-01,1081.0
2008-10-05,1091.0
2008-10-13,1091.0
2008-10-15,1087.0
2008-10-19,1140.0
2008-10-20,1101.0
2008-10-21,1097.0
2008-10-22,1015.0
2008-10-23,1028.0
2008-10-26,1048.0
2008-10-27,1050.0
2008-11-02,1035.0
2008-11-03,1060.0
2008-11-05,1061.0
2008-11-06,1045.0
2008-11-09,1045.0
2008-11-10,1039.0
2008-11-11,1019.0
2008-11-12,1009.0
2008-11-13,1000.0
2008-11-16,1000.0
2008-11-17,970.0
2008-11-18,960.0
2008-11-19,900.0
2008-11-20,900.0
2008-11-23,920.0
2008-11-24,902.0
2008-11-25,902.0
2008-11-26,848.0
2008-12-02,864.0
2008-12-03,880.0
2008-12-04,863.0
2008-12-07,852.0
2008-12-08,865.0
2008-12-10,865.0
2008-12-11,894.0
2008-12-14,901.0
2008-12-15,907.0
2008-12-16,900.0
2008-12-17,900.0
2008-12-18,890.0
2008-12-21,888.0
2008-12-22,880.0
2008-12-23,880.0
2008-12-24,833.0
2008-12-28,833.0
2008-12-29,833.0
2008-12-31,855.0
2009-01-01,870.0
2009-01-04,871.0
2009-01-05,875.0
2009-01-06,878.0
2009-01-07,885.0
2009-01-08,821.0
2009-01-11,821.0
2009-01-12,760.0
2009-01-13,750.0
2009-01-18,765.0
2009-01-19,765.0
2009-01-20,760.0
2009-01-21,765.0
2009-01-22,750.0
2009-01-25,749.0
2009-01-26,720.0
2009-01-28,692.0
2009-02-01,706.0
2009-02-02,705.0
2009-02-03,705.0
2009-02-04,691.0
2009-02-05,700.0
2009-02-08,706.0
2009-02-09,720.0
2009-02-10,700.0
2009-02-11,715.0
2009-02-12,733.0
2009-02-15,720.0
2009-02-19,715.0
2009-02-22,717.0
2009-02-24,767.0
2009-02-26,756.0
2009-03-01,755.0
2009-03-02,755.0
2009-03-03,705.0
2009-03-04,765.0
2009-03-05,723.0
2009-03-08,765.0
2009-03-09,740.0
2009-03-11,759.0
2009-03-15,745.0
2009-03-16,760.0
2009-03-17,717.0
2009-03-18,712.0
2009-03-19,716.0
2009-03-22,706.0
2009-03-23,720.0
2009-03-24,734.0
2009-03-25,712.0
2009-03-29,711.0
2009-03-30,710.0
2009-03-31,716.0
2009-04-01,720.0
2009-04-02,706.0
2009-04-06,710.0
2009-04-07,730.0
2009-04-08,725.0
2009-04-09,711.0
2009-04-12,725.0
2009-04-13,676.0
2009-04-16,692.0
2009-04-19,691.0
2009-04-20,704.0
2009-04-22,700.0
2009-04-23,686.0
2009-04-26,694.0
2009-04-27,700.0
2009-04-28,688.0
2009-04-29,662.0
2009-04-30,670.0
2009-05-03,686.0
2009-05-04,699.0
2009-05-05,709.0
2009-05-06,685.0
2009-05-07,700.0
2009-05-10,705.0
2009-05-11,691.0
2009-05-12,665.0
2009-05-13,680.0
2009-05-17,667.0
2009-05-19,700.0
2009-05-20,742.0
2009-05-21,745.0
2009-05-24,740.0
2009-05-25,745.0
2009-05-26,731.0
2009-05-27,744.0
2009-05-28,731.0
2009-05-31,736.0
2009-06-01,740.0
2009-06-02,754.0
2009-06-04,799.0
2009-06-08,799.0
2009-06-14,790.0
2009-06-15,790.0
2009-06-16,720.0
2009-06-17,734.0
2009-06-18,725.0
2009-06-21,725.0
2009-06-22,700.0
2009-06-23,690.0
2009-06-24,690.0
2009-06-25,677.0
2009-06-28,677.0
2009-06-29,670.0
2009-07-01,660.0
2009-07-06,647.0
2009-07-07,650.0
2009-07-08,645.0
2009-07-09,662.0
2009-07-12,670.0
2009-07-19,670.0
2009-07-21,661.0
2009-07-26,661.0
2009-07-27,665.0
2009-07-28,675.0
2009-07-29,675.0
2009-08-02,650.0
2009-08-03,683.0
2009-08-04,714.0
2009-08-09,760.0
2009-08-10,775.0
2009-08-11,770.0
2009-08-12,777.0
2009-08-16,770.0
2009-08-17,780.0
2009-08-18,731.0
2009-08-20,725.0
2009-08-23,720.0
2009-08-24,721.0
2009-08-25,730.0
2009-08-26,720.0
2009-08-27,734.0
2009-08-30,734.0
2009-08-31,745.0
2009-09-01,717.0
2009-09-02,676.0
2009-09-06,660.0
2009-09-07,670.0
2009-09-08,671.0
2009-09-09,665.0
2009-09-10,695.0
2009-09-13,696.0
2009-09-14,685.0
2009-09-15,675.0
2009-09-16,670.0
2009-09-17,670.0
2009-09-20,676.0
2009-09-23,702.0
2009-09-24,720.0
2009-10-04,720.0
2009-10-08,744.0
2009-10-11,725.0
2009-10-12,725.0
2009-10-13,711.0
2009-10-14,730.0
2009-10-21,715.0
2009-10-22,690.0
2009-10-25,695.0
2009-10-26,725.0
2009-10-27,725.0
2009-10-28,725.0
2009-10-29,720.0
2009-11-01,722.0
2009-11-02,683.0
2009-11-03,683.0
2009-11-04,700.0
2009-11-05,700.0
2009-11-09,700.0
2009-11-10,702.0
2009-11-11,710.0
2009-11-12,705.0
2009-11-17,691.0
2009-11-18,690.0
2009-11-23,700.0
2009-11-24,686.0
2009-11-30,686.0
2009-12-01,667.0
2009-12-03,654.0
2009-12-06,615.0
2009-12-07,603.0
2009-12-08,617.0
2009-12-09,629.0
2009-12-10,641.0
2009-12-13,667.0
2009-12-14,700.0
2010-01-21,686.0
2010-02-03,294.0
2010-02-16,284.0
2010-03-01,275.0
2010-03-02,280.0
2010-03-30,280.0
2010-04-08,270.0
2010-05-18,265.0
2010-05-20,250.0
2010-05-23,245.0
2010-05-24,240.0
2010-05-25,240.0
2010-05-26,245.0
2010-05-30,250.0
2010-06-03,255.0
2010-06-07,250.0
2010-06-08,249.0
2010-06-20,249.0
2010-06-29,249.0
2010-07-08,245.0
2010-07-12,245.0
2010-07-14,245.0
2010-07-18,241.0
2010-07-20,236.0
2010-08-02,230.0
2010-08-22,222.0
2010-08-23,222.0
2010-09-02,222.0
2010-09-05,218.0
2010-09-06,214.0
2010-09-07,198.0
2010-09-19,195.0
2010-09-30,195.0
2010-10-05,186.0
2010-10-10,186.0
2010-10-11,183.0
2010-10-21,165.0
2010-11-03,168.0
2010-11-10,170.0
2010-11-11,170.0
2010-11-15,170.0
2010-11-16,161.0
2010-11-24,159.0
2010-11-25,153.0
2010-11-29,145.0
2010-11-30,143.0
2010-12-05,143.0
2010-12-08,141.0
2010-12-09,133.0
2010-12-12,131.0
2010-12-14,133.0
