Date,Open
2014-02-05,711.0
2014-02-06,378.0
2014-02-10,399.0
2014-02-11,399.0
2014-02-12,414.0
2014-02-13,455.0
2014-02-16,473.0
2014-02-17,520.0
2014-02-18,572.0
2014-02-20,629.0
2014-02-23,691.0
2014-02-24,760.0
2014-02-25,836.0
2014-02-26,918.0
2014-03-03,856.0
2014-03-04,813.0
2014-03-05,797.0
2014-03-06,795.0
2014-03-09,775.0
2014-03-10,780.0
2014-03-11,765.0
2014-03-12,750.0
2014-03-13,738.0
2014-03-17,750.0
2014-03-18,705.0
2014-03-19,681.0
2014-03-20,681.0
2014-03-23,690.0
2014-03-24,680.0
2014-03-25,666.0
2014-03-26,675.0
2014-03-27,679.0
2014-03-31,693.0
2014-04-01,710.0
2014-04-02,710.0
2014-04-03,701.0
2014-04-06,680.0
2014-04-07,681.0
2014-04-09,700.0
2014-04-10,705.0
2014-04-13,704.0
2014-04-15,701.0
2014-04-16,712.0
2014-04-17,715.0
2014-04-20,710.0
2014-04-21,710.0
2014-04-22,685.0
2014-04-23,698.0
2014-04-27,675.0
2014-04-28,681.0
2014-04-29,702.0
2014-04-30,699.0
2014-05-04,685.0
2014-05-05,733.0
2014-05-06,760.0
2014-05-07,736.0
2014-05-08,731.0
2014-05-11,701.0
2014-05-12,699.0
2014-05-13,720.0
2014-05-15,770.0
2014-05-18,770.0
2014-05-19,708.0
2014-05-20,712.0
2014-05-21,711.0
2014-05-22,711.0
2014-05-25,711.0
2014-05-26,718.0
2014-05-27,730.0
2014-05-28,718.0
2014-06-01,720.0
2014-06-02,720.0
2014-06-03,710.0
2014-06-04,730.0
2014-06-05,695.0
2014-06-08,686.0
2014-06-09,680.0
2014-06-10,695.0
2014-06-11,694.0
2014-06-12,700.0
2014-06-15,691.0
2014-06-16,703.0
2014-06-17,696.0
2014-06-18,708.0
2014-06-19,681.0
2014-06-23,678.0
2014-06-24,670.0
2014-06-30,736.0
2014-07-01,700.0
2014-07-02,721.0
2014-07-03,730.0
2014-07-06,730.0
2014-07-07,745.0
2014-07-08,725.0
2014-07-09,710.0
2014-07-10,695.0
2014-07-13,728.0
2014-07-14,744.0
2014-07-15,712.0
2014-07-16,720.0
2014-07-17,740.0
2014-07-20,745.0
2014-07-21,819.0
2014-07-22,900.0
2014-07-23,900.0
2014-07-24,870.0
2014-07-27,860.0
2014-07-28,845.0
2014-07-30,813.0
2014-07-31,792.0
2014-08-03,800.0
2014-08-04,780.0
2014-08-05,780.0
2014-08-06,770.0
2014-08-07,790.0
2014-08-12,803.0
2014-08-13,787.0
2014-08-14,800.0
2014-08-18,775.0
2014-08-19,770.0
2014-08-20,751.0
2014-08-21,715.0
2014-08-24,707.0
2014-08-25,701.0
2014-08-26,661.0
2014-08-27,680.0
2014-08-28,690.0
2014-09-01,714.0
2014-09-03,700.0
2014-09-04,690.0
2014-09-07,670.0
2014-09-09,632.0
2014-09-10,640.0
2014-09-11,683.0
2014-09-14,670.0
2014-09-16,657.0
2014-09-17,655.0
2014-09-22,644.0
2014-09-23,630.0
2014-09-24,630.0
2014-09-28,620.0
2014-09-29,622.0
2014-09-30,634.0
2014-10-09,640.0
2014-10-12,630.0
2014-10-13,620.0
2014-10-14,608.0
2014-10-15,642.0
2014-10-16,636.0
2014-10-19,659.0
2014-10-20,672.0
2014-10-21,680.0
2014-10-22,690.0
2014-10-26,670.0
2014-10-27,665.0
2014-10-28,678.0
2014-10-30,671.0
2014-11-03,675.0
2014-11-04,654.0
2014-11-05,649.0
2014-11-06,680.0
2014-11-09,654.0
2014-11-10,641.0
2014-11-11,625.0
2014-11-12,630.0
2014-11-13,620.0
2014-11-16,610.0
2014-11-17,620.0
2014-11-18,610.0
2014-11-19,583.0
2014-11-20,605.0
2014-11-23,593.0
2014-11-24,615.0
2014-11-25,630.0
2014-11-30,625.0
2014-12-01,613.0
2014-12-02,598.0
2014-12-03,605.0
2014-12-04,600.0
2014-12-07,590.0
2014-12-08,595.0
2014-12-09,580.0
2014-12-10,574.0
2014-12-11,565.0
2014-12-14,587.0
2014-12-15,610.0
2014-12-16,606.0
2014-12-17,600.0
2014-12-18,607.0
2014-12-21,620.0
2014-12-22,601.0
2014-12-23,603.0
2014-12-24,600.0
2014-12-28,600.0
2014-12-29,622.0
2014-12-31,640.0
2015-01-01,704.0
2015-01-04,774.0
2015-01-05,828.0
2015-01-06,890.0
2015-01-07,934.0
2015-01-08,920.0
2015-01-11,930.0
2015-01-12,915.0
2015-01-13,907.0
2015-01-14,900.0
2015-01-18,900.0
2015-01-19,910.0
2015-01-20,910.0
2015-01-22,915.0
2015-01-25,900.0
2015-01-26,910.0
2015-01-27,902.0
2015-01-28,906.0
2015-01-29,925.0
2015-02-01,930.0
2015-02-02,925.0
2015-02-03,994.0
2015-02-04,998.0
2015-02-05,1025.0
2015-02-08,1005.0
2015-02-09,1000.0
2015-02-10,1005.0
2015-02-11,992.0
2015-02-12,1007.0
2015-02-15,1000.0
2015-02-16,1040.0
2015-02-18,1056.0
2015-02-22,1010.0
2015-02-23,1065.0
2015-02-24,1045.0
2015-02-25,1040.0
2015-03-01,1056.0
2015-03-02,1043.0
2015-03-03,1117.0
2015-03-04,1086.0
2015-03-09,1149.0
2015-03-10,1185.0
2015-03-11,1158.0
2015-03-12,1136.0
2015-03-15,1127.0
2015-03-16,1110.0
2015-03-17,1075.0
2015-03-18,1100.0
2015-03-19,1105.0
2015-03-22,1106.0
2015-03-23,1078.0
2015-03-24,1057.0
2015-03-25,1081.0
2015-03-26,1070.0
