Date,Open
2011-02-13,148.0
2011-03-15,331.0
2011-03-16,307.0
2011-03-17,277.0
2011-03-20,257.0
2011-03-21,239.0
2011-03-22,216.0
2011-03-23,195.0
2011-03-24,176.0
2011-03-27,159.0
2011-03-28,144.0
2011-03-30,130.0
2011-03-31,118.0
2011-04-04,109.0
2011-04-05,104.0
2011-04-06,102.0
2011-04-07,100.0
2011-04-10,102.0
2011-04-11,100.0
2011-04-13,98.0
2011-04-17,99.0
2011-04-18,99.0
2011-04-19,98.0
2011-04-20,96.0
2011-04-21,93.0
2011-04-25,91.0
2011-04-27,95.0
2011-04-28,104.0
2011-05-02,94.0
2011-05-03,90.0
2011-05-04,91.0
2011-05-05,92.0
2011-05-08,92.0
2011-05-09,92.0
2011-05-10,92.0
2011-05-11,90.0
2011-05-12,95.0
2011-05-15,100.0
2011-05-16,92.0
2011-05-18,95.0
2011-05-19,97.0
2011-05-22,97.0
2011-05-23,97.0
2011-05-24,97.0
2011-05-25,95.0
2011-05-26,95.0
2011-05-30,97.0
2011-05-31,99.0
2011-06-01,100.0
2011-06-02,100.0
2011-06-05,96.0
2011-06-06,96.0
2011-06-07,93.0
2011-06-08,93.0
2011-06-15,93.0
2011-06-16,93.0
2011-06-19,89.0
2011-06-23,89.0
2011-06-26,92.0
2011-06-27,91.0
2011-06-29,95.0
2011-06-30,97.0
2011-07-03,97.0
2011-07-04,93.0
2011-07-05,92.0
2011-07-06,92.0
2011-07-07,93.0
2011-07-10,91.0
2011-07-11,92.0
2011-07-12,92.0
2011-07-13,93.0
2011-07-14,92.0
2011-07-18,95.0
2011-07-20,96.0
2011-07-24,95.0
2011-07-26,96.0
2011-07-27,97.0
2011-07-31,98.0
2011-08-01,96.0
2011-08-02,96.0
2011-08-03,95.0
2011-08-04,92.0
2011-08-07,86.0
2011-08-08,87.0
2011-08-09,86.0
2011-08-10,88.0
2011-08-11,86.0
2011-08-16,86.0
2011-08-17,85.0
2011-08-18,85.0
2011-08-22,83.0
2011-08-23,84.0
2011-08-24,85.0
2011-08-25,83.0
2011-08-28,79.0
2011-08-29,77.0
2011-08-30,71.0
2011-09-04,71.0
2011-09-05,72.0
2011-09-06,74.0
2011-09-07,72.0
2011-09-08,71.0
2011-09-12,70.0
2011-09-13,71.0
2011-09-14,72.0
2011-09-15,73.0
2011-09-18,77.0
2011-09-19,77.0
2011-09-20,77.0
2011-09-21,75.0
2011-09-22,70.0
2011-09-25,70.0
2011-09-26,72.0
2011-09-27,72.0
2011-09-29,73.0
2011-10-10,74.0
2011-10-12,73.0
2011-10-13,74.0
2011-10-16,75.0
2011-10-17,73.0
2011-10-19,76.0
2011-10-23,75.0
2011-10-24,75.0
2011-10-25,77.0
2011-10-30,75.0
2011-10-31,72.0
2011-11-08,72.0
2011-11-09,74.0
2011-11-10,75.0
2011-11-14,76.0
2011-11-15,76.0
2011-11-16,76.0
2011-11-17,76.0
2011-11-20,75.0
2011-11-21,75.0
2011-11-22,75.0
2011-11-23,71.0
2011-11-27,71.0
2011-11-29,72.0
2011-11-30,72.0
2011-12-01,71.0
2011-12-04,69.0
2011-12-07,66.0
2011-12-08,65.0
2011-12-12,66.0
2011-12-13,63.0
2011-12-18,64.0
2011-12-19,66.0
2011-12-20,66.0
2011-12-22,67.0
2011-12-26,67.0
2011-12-27,65.0
2011-12-28,63.0
2011-12-29,65.0
2012-01-01,67.0
2012-01-02,66.0
2012-01-03,65.0
2012-01-04,65.0
2012-01-05,65.0
2012-01-08,65.0
2012-01-09,64.0
2012-01-10,65.0
2012-01-11,65.0
2012-01-12,65.0
2012-01-17,65.0
2012-01-18,67.0
2012-01-19,68.0
2012-01-22,69.0
2012-01-23,67.0
2012-01-25,69.0
2012-01-29,69.0
2012-01-31,70.0
2012-02-01,71.0
2012-02-02,72.0
2012-02-05,72.0
2012-02-09,72.0
2012-02-13,72.0
2012-02-14,65.0
2012-02-15,62.0
2012-02-16,62.0
2012-02-21,61.0
2012-02-23,63.0
2012-02-26,64.0
2012-02-28,63.0
2012-02-29,64.0
2012-03-04,65.0
2012-03-05,64.0
2012-03-06,64.0
2012-03-11,64.0
2012-03-18,65.0
2012-03-19,60.0
2012-03-20,60.0
2012-03-21,59.0
2012-03-25,60.0
2012-03-26,59.0
2012-03-27,60.0
2012-03-29,61.0
2012-04-01,59.0
2012-04-02,59.0
2012-04-03,58.0
2012-04-04,58.0
2012-04-05,58.0
2012-04-08,57.0
2012-04-09,57.0
2012-04-10,58.0
2012-04-15,59.0
2012-04-17,60.0
