Date,Open
2009-01-07,0.0
2009-01-08,517.0
2009-01-11,568.0
2009-01-12,568.0
2009-01-13,575.0
2009-01-15,632.0
2009-01-18,588.0
2009-01-19,530.0
2009-01-20,519.0
2009-01-21,475.0
2009-01-22,460.0
2009-01-25,406.0
2009-01-26,408.0
2009-01-28,400.0
2009-02-01,435.0
2009-02-02,474.0
2009-02-03,500.0
2009-02-04,500.0
2009-02-08,500.0
2009-02-10,510.0
2009-02-11,520.0
2009-02-12,510.0
2009-02-15,525.0
2009-02-16,490.0
2009-02-17,481.0
2009-02-19,481.0
2009-02-24,490.0
2009-02-26,501.0
2009-03-01,511.0
2009-03-02,501.0
2009-03-03,491.0
2009-03-04,510.0
2009-03-05,510.0
2009-03-08,500.0
2009-03-09,510.0
2009-03-11,510.0
2009-03-12,501.0
2009-03-16,500.0
2009-03-17,463.0
2009-03-18,501.0
2009-03-19,500.0
2009-03-22,500.0
2009-03-23,510.0
2009-03-24,500.0
2009-03-25,519.0
2009-03-29,520.0
2009-03-30,490.0
2009-03-31,485.0
2009-04-01,476.0
2009-04-02,467.0
2009-04-05,460.0
2009-04-06,460.0
2009-04-07,469.0
2009-04-08,480.0
2009-04-09,479.0
2009-04-12,470.0
2009-04-13,467.0
2009-04-20,450.0
2009-04-23,417.0
2009-04-26,415.0
2009-04-27,409.0
2009-04-28,400.0
2009-04-29,399.0
2009-04-30,395.0
2009-05-03,400.0
2009-05-04,395.0
2009-05-05,395.0
2009-05-06,397.0
2009-05-07,397.0
2009-05-10,412.0
2009-05-11,420.0
2009-05-12,445.0
2009-05-13,460.0
2009-05-14,469.0
2009-05-17,460.0
2009-05-18,451.0
2009-05-20,450.0
2009-05-21,414.0
2009-05-24,407.0
2009-05-26,406.0
2009-05-27,408.0
2009-05-28,432.0
2009-05-31,440.0
2009-06-02,450.0
2009-06-03,450.0
2009-06-04,440.0
2009-06-07,439.0
2009-06-08,447.0
2009-06-09,449.0
2009-06-11,457.0
2009-06-14,455.0
2009-06-15,455.0
2009-06-23,450.0
2009-06-24,425.0
2009-06-28,418.0
