Date,Open
2006-10-12,251.0
2006-10-15,251.0
2007-01-15,251.0
2007-02-04,250.0
2007-02-05,245.0
2007-02-25,245.0
2007-03-12,246.0
2007-04-02,250.0
2007-04-04,262.0
2007-04-08,275.0
2007-04-09,288.0
2007-04-10,300.0
2007-04-22,300.0
2007-06-26,300.0
2007-07-15,315.0
2007-07-22,315.0
2007-07-29,330.0
2007-08-01,330.0
2007-08-14,330.0
2007-11-07,330.0
2007-11-08,335.0
2007-12-02,341.0
2007-12-24,347.0
2008-01-09,353.0
2008-03-16,20.0
2008-03-23,714.0
2008-03-25,720.0
2008-03-26,706.0
2008-03-27,720.0
2008-05-06,710.0
2008-05-08,734.0
2008-05-11,748.0
2008-05-15,762.0
2008-05-18,792.0
2008-05-22,780.0
2008-05-27,795.0
2008-06-19,780.0
2008-06-25,780.0
2008-07-07,780.0
2008-07-21,795.0
2008-07-22,874.0
2008-08-11,874.0
2008-08-25,891.0
2008-09-22,926.0
2008-09-23,944.0
2008-10-05,962.0
2008-10-13,1040.0
2008-11-06,1040.0
2008-11-11,1065.0
2008-11-17,1020.0
2008-11-20,1040.0
2008-11-23,1080.0
2008-11-24,1142.0
2008-11-25,1203.0
2008-11-27,1200.0
2008-11-30,1200.0
2008-12-01,1210.0
2008-12-03,1258.0
2008-12-04,1283.0
2008-12-07,1258.0
2008-12-08,1304.0
2008-12-11,1280.0
2008-12-16,1255.0
2008-12-17,1280.0
2008-12-18,1235.0
2008-12-22,1164.0
2008-12-23,1150.0
2008-12-24,1110.0
2008-12-28,1091.0
2008-12-29,1100.0
2008-12-31,1115.0
2009-01-01,1149.0
2009-01-04,1188.0
2009-02-15,1190.0
2009-02-16,725.0
2009-03-29,726.0
2009-04-23,725.0
2009-04-26,782.0
2009-04-27,797.0
2009-04-28,770.0
2009-04-30,775.0
2009-05-03,780.0
2009-05-06,781.0
2009-05-07,751.0
2009-05-10,700.0
2009-05-14,715.0
2009-05-17,701.0
2009-06-09,701.0
2009-06-29,715.0
2009-06-30,786.0
2009-07-02,800.0
2009-07-09,800.0
2009-07-28,810.0
2009-07-30,810.0
2009-08-02,820.0
2009-08-03,821.0
2009-08-04,861.0
2009-08-09,895.0
2009-08-10,930.0
2009-08-11,948.0
2009-08-12,1003.0
2009-08-17,1020.0
2009-08-18,990.0
2009-08-19,971.0
2009-08-25,975.0
2009-08-26,970.0
2009-08-27,970.0
2009-08-30,980.0
2009-08-31,980.0
2009-09-24,961.0
2009-10-05,960.0
2009-10-06,970.0
2009-10-08,970.0
2009-10-11,951.0
2009-10-13,940.0
2009-10-25,930.0
2009-11-01,912.0
2009-11-04,895.0
2009-12-06,878.0
2009-12-20,861.0
2009-12-27,861.0
2009-12-28,878.0
2010-03-18,933.0
2010-03-22,610.0
2010-03-23,565.0
2010-03-25,509.0
2010-03-28,481.0
2010-03-29,472.0
2010-03-30,454.0
2010-03-31,451.0
2010-04-06,451.0
2010-04-07,455.0
2010-04-08,448.0
2010-04-11,460.0
2010-04-12,455.0
2010-04-13,440.0
2010-04-19,448.0
2010-04-25,440.0
2010-04-26,430.0
2010-04-27,414.0
2010-04-28,406.0
2010-05-10,400.0
2010-05-11,392.0
2010-05-19,385.0
2010-05-20,390.0
2010-06-13,397.0
2010-06-14,410.0
2010-06-16,415.0
2010-06-17,425.0
2010-06-21,417.0
2010-06-22,409.0
2010-06-23,405.0
2010-06-29,405.0
2010-07-01,397.0
2010-07-05,404.0
2010-07-06,396.0
2010-07-07,390.0
2010-07-08,388.0
2010-07-11,395.0
2010-07-12,418.0
2010-08-09,426.0
2010-08-18,418.0
2010-08-22,410.0
2010-08-29,394.0
2010-09-12,387.0
2010-09-13,373.0
2010-09-15,366.0
2010-09-16,359.0
2010-09-21,355.0
2010-09-26,355.0
2010-09-28,352.0
2010-09-30,340.0
2010-10-03,334.0
2010-10-04,330.0
2010-10-05,324.0
2010-10-13,318.0
2010-10-26,316.0
2010-11-02,310.0
2010-11-16,310.0
2010-11-24,310.0
2010-12-02,315.0
2010-12-13,315.0
2010-12-14,315.0
2010-12-16,320.0
2011-01-03,314.0
2011-01-04,310.0
2011-01-12,311.0
2011-01-13,312.0
2011-01-17,318.0
2011-03-27,324.0
2011-03-29,324.0
2014-07-15,325.0
2014-07-16,306.0
2014-07-17,334.0
2014-07-20,328.0
2014-07-22,316.0
2014-07-24,310.0
2014-07-27,304.0
2014-07-28,298.0
2014-07-30,288.0
2014-07-31,316.0
2014-08-03,347.0
2014-08-05,340.0
2014-08-06,345.0
2014-08-07,335.0
2014-08-13,319.0
2014-08-14,320.0
2014-08-18,321.0
2014-08-19,320.0
2014-08-20,337.0
2014-08-21,370.0
2014-08-24,362.0
2014-08-25,360.0
2014-08-26,346.0
2014-08-27,348.0
2014-08-28,364.0
2014-08-31,353.0
2014-09-10,334.0
