Date,Open
2007-03-29,147.0
2007-04-04,147.0
2007-04-10,150.0
2007-04-16,150.0
2007-04-17,150.0
2007-04-19,153.0
2007-04-22,153.0
2007-04-23,153.0
2007-05-03,153.0
2007-05-10,153.0
2007-05-13,155.0
2007-05-14,155.0
2007-05-15,155.0
2007-05-20,156.0
2007-05-21,156.0
2007-05-23,156.0
2007-06-17,156.0
2007-06-19,156.0
2007-06-24,156.0
2007-06-27,160.0
2007-07-02,164.0
2007-07-03,163.0
2007-07-15,163.0
2007-07-16,163.0
2007-07-18,163.0
2007-07-19,163.0
2007-07-24,160.0
2007-07-25,160.0
2007-07-26,168.0
2007-07-29,169.0
2007-07-31,167.0
2007-08-06,168.0
2007-08-07,170.0
2007-08-14,170.0
2007-09-06,171.0
2007-09-24,180.0
2007-09-30,183.0
2007-10-02,186.0
2007-10-03,189.0
2007-10-04,195.0
2007-10-10,198.0
2007-10-29,201.0
2007-12-11,205.0
2007-12-27,215.0
2008-01-07,219.0
2008-02-04,235.0
2008-02-25,235.0
2008-03-11,231.0
2008-03-12,231.0
2008-03-16,235.0
2008-03-18,235.0
2008-03-24,237.0
2008-03-31,248.0
2008-04-01,267.0
2008-04-02,267.0
2008-04-27,277.0
2008-05-27,275.0
2008-06-04,270.0
2008-06-05,275.0
2008-07-08,280.0
2008-07-17,285.0
2008-07-30,299.0
2008-09-22,313.0
2008-10-15,319.0
2008-10-19,319.0
2008-10-20,337.0
2008-10-27,349.0
2008-11-11,366.0
2008-11-12,363.0
2008-11-24,370.0
2008-12-02,370.0
2008-12-08,388.0
2008-12-16,388.0
2008-12-24,407.0
2008-12-28,427.0
2009-01-20,469.0
2009-02-03,386.0
2009-02-04,393.0
2009-02-19,400.0
2009-02-22,428.0
2009-02-26,470.0
2009-03-01,517.0
2009-03-04,542.0
2009-03-05,596.0
2009-03-08,655.0
2009-03-09,627.0
2009-03-11,590.0
2009-03-12,600.0
2009-03-16,600.0
2009-03-17,588.0
2009-03-18,535.0
2009-03-19,540.0
2009-03-24,540.0
2009-03-30,530.0
2009-04-05,540.0
2009-04-07,520.0
2009-04-12,510.0
2009-04-16,510.0
2009-04-22,520.0
2009-04-23,500.0
2009-05-06,490.0
2009-05-07,480.0
2009-05-10,480.0
2009-05-11,475.0
2009-05-14,480.0
2009-05-17,489.0
2009-05-18,495.0
2009-05-20,514.0
2009-05-25,504.0
2009-05-26,554.0
2009-05-27,587.0
2009-05-28,634.0
2009-05-31,630.0
2009-06-01,616.0
2009-07-30,561.0
2009-08-02,448.0
2009-08-03,492.0
2009-08-04,541.0
2009-08-09,595.0
2009-08-10,641.0
2009-08-11,635.0
2009-08-12,615.0
2009-08-16,598.0
2009-08-17,597.0
2009-08-18,608.0
2009-08-19,596.0
2009-08-20,607.0
2009-08-23,590.0
2009-08-24,586.0
2009-08-25,565.0
2009-08-26,566.0
2009-08-30,556.0
2009-08-31,545.0
2009-09-01,536.0
2009-09-02,530.0
2009-09-06,550.0
2009-09-07,552.0
2009-09-08,555.0
2009-09-09,552.0
2009-09-10,550.0
2009-09-13,530.0
2009-09-14,526.0
2009-09-15,520.0
2009-09-16,523.0
2009-09-17,535.0
2009-09-20,561.0
2009-09-23,562.0
2009-09-24,562.0
2009-10-04,562.0
2009-10-07,562.0
2009-10-08,540.0
2009-10-11,540.0
2009-10-14,540.0
2009-10-22,520.0
2009-10-25,510.0
2009-10-26,510.0
2009-10-27,500.0
2009-10-29,498.0
2009-11-01,491.0
2009-11-02,493.0
2009-11-03,490.0
2009-11-04,495.0
2009-11-12,504.0
2009-11-17,505.0
2009-12-01,505.0
2009-12-03,495.0
2009-12-06,486.0
2009-12-07,477.0
2009-12-08,468.0
2009-12-09,465.0
2009-12-10,465.0
2009-12-23,474.0
2009-12-24,485.0
2009-12-28,515.0
2009-12-29,404.0
2009-12-31,404.0
2010-01-03,410.0
2010-01-04,410.0
2010-01-07,406.0
2010-01-14,414.0
2010-01-17,422.0
2010-01-18,415.0
2010-01-20,410.0
2010-03-01,402.0
2010-03-07,394.0
2010-03-09,387.0
2010-03-31,394.0
2010-04-01,387.0
2010-04-06,373.0
2010-04-27,352.0
2010-05-11,345.0
2010-05-12,311.0
2010-05-13,280.0
2010-05-16,255.0
2010-05-17,232.0
2010-05-18,243.0
2010-05-19,245.0
2010-05-20,253.0
2010-05-23,278.0
2010-05-24,288.0
2010-05-25,278.0
2010-05-26,301.0
2010-05-30,295.0
2010-05-31,306.0
2010-06-02,312.0
2010-06-03,306.0
2010-06-06,276.0
2010-06-07,262.0
2010-06-08,255.0
2010-06-10,280.0
2010-06-13,275.0
2010-06-14,275.0
2010-06-15,278.0
2010-06-20,275.0
2010-06-21,275.0
2010-06-22,265.0
2010-06-23,265.0
2010-06-24,255.0
2010-06-29,255.0
2010-06-30,251.0
2010-07-01,246.0
2010-07-04,255.0
2010-07-05,246.0
2010-07-07,246.0
2010-07-11,255.0
2010-07-14,255.0
2010-07-15,250.0
2010-07-19,250.0
2010-07-20,251.0
2010-07-21,256.0
2010-07-22,251.0
2010-07-25,250.0
2010-07-26,255.0
2010-07-28,252.0
2010-08-01,246.0
2010-08-02,250.0
2010-08-04,255.0
2010-08-05,255.0
2010-08-08,254.0
2010-08-09,254.0
2010-08-10,245.0
2010-08-11,249.0
2010-08-12,273.0
2010-08-15,283.0
2010-08-16,283.0
2010-08-17,280.0
2010-08-19,265.0
2010-08-22,265.0
2010-08-23,260.0
2010-08-26,260.0
2010-08-30,265.0
2010-08-31,260.0
2010-09-02,260.0
2010-09-05,265.0
2010-09-07,250.0
2010-09-09,252.0
2010-09-12,262.0
2010-09-14,262.0
2010-09-15,258.0
2010-09-16,256.0
2010-09-19,260.0
2010-09-20,251.0
2010-09-21,255.0
2010-09-23,260.0
2010-09-27,260.0
2010-09-28,255.0
2010-09-30,255.0
2010-10-03,260.0
2010-10-04,260.0
2010-10-05,260.0
2010-10-06,265.0
2010-10-11,270.0
2010-10-12,277.0
2010-10-25,268.0
2010-10-26,273.0
2010-10-28,275.0
2010-11-02,280.0
2010-11-03,285.0
2010-11-10,290.0
2010-11-11,290.0
2010-11-14,285.0
2010-11-16,280.0
2010-11-18,285.0
2010-11-23,295.0
2010-11-25,285.0
2010-11-28,293.0
2010-12-01,288.0
2010-12-02,293.0
2010-12-08,297.0
2010-12-09,292.0
2010-12-12,280.0
2010-12-19,270.0
2010-12-22,270.0
2010-12-23,280.0
2010-12-26,281.0
2010-12-27,281.0
2010-12-28,285.0
2010-12-29,280.0
2011-01-04,267.0
2011-01-12,209.0
2011-01-19,205.0
2011-01-23,202.0
2011-02-07,200.0
2011-02-09,200.0
2011-02-20,198.0
2011-02-22,198.0
2011-02-23,195.0
2011-02-24,195.0
2011-02-27,194.0
2011-02-28,194.0
2011-03-01,188.0
2011-03-03,184.0
2011-03-07,184.0
2011-03-14,184.0
2011-03-24,184.0
2011-03-31,181.0
2011-04-11,180.0
2011-04-19,180.0
2011-04-20,177.0
2011-04-26,174.0
2011-04-27,171.0
2011-05-16,171.0
2011-05-19,170.0
2011-05-26,171.0
2011-06-16,169.0
2011-06-20,160.0
2011-06-23,155.0
2011-06-27,161.0
2011-06-29,145.0
2011-06-30,143.0
2011-07-03,141.0
2011-07-06,141.0
2011-07-10,139.0
2011-07-11,137.0
2011-07-19,136.0
2011-07-25,138.0
2011-07-26,138.0
2011-07-27,144.0
2011-07-28,146.0
2011-07-31,150.0
2011-08-01,151.0
2011-08-02,151.0
2011-08-03,157.0
2011-08-04,154.0
2011-08-08,151.0
2011-08-15,148.0
2011-08-16,148.0
2011-08-28,148.0
2011-09-04,146.0
2011-09-22,144.0
2011-09-26,140.0
2011-09-27,138.0
2011-10-02,136.0
2011-10-12,136.0
2011-10-13,132.0
2011-10-17,132.0
2011-10-19,131.0
2011-10-23,129.0
2011-10-24,125.0
2011-10-25,121.0
2011-10-30,125.0
2011-10-31,127.0
2011-11-03,131.0
2011-11-06,129.0
2011-11-08,131.0
2011-11-13,135.0
2011-11-14,135.0
2011-11-15,135.0
2011-11-17,135.0
2011-11-21,134.0
2011-11-24,134.0
2011-11-27,132.0
2011-11-29,134.0
2011-12-04,136.0
2011-12-05,136.0
2011-12-06,135.0
2011-12-07,139.0
2011-12-11,143.0
2011-12-12,141.0
2011-12-15,139.0
2011-12-21,135.0
2011-12-27,131.0
2011-12-28,130.0
2011-12-29,128.0
2012-01-01,126.0
2012-01-04,125.0
2012-01-05,122.0
2012-01-08,127.0
2012-01-09,124.0
2012-01-10,126.0
2012-01-11,125.0
2012-01-16,119.0
2012-01-17,123.0
2012-01-22,125.0
2012-01-23,129.0
2012-01-26,131.0
2012-01-29,131.0
2012-01-31,129.0
2012-02-02,129.0
2012-02-06,123.0
