Date,Open
2014-10-14,100.0
2014-10-27,307.0
2014-11-02,337.0
2014-11-03,353.0
2014-11-11,367.0
2014-11-17,395.0
2014-11-18,405.0
2014-11-19,445.0
2014-11-20,489.0
2014-11-23,527.0
2014-11-24,579.0
2014-11-25,636.0
2014-11-30,699.0
2014-12-01,659.0
2014-12-02,623.0
2014-12-03,596.0
2014-12-04,585.0
2014-12-07,590.0
2014-12-08,600.0
2014-12-09,581.0
2014-12-10,580.0
2014-12-11,580.0
2014-12-14,590.0
2014-12-15,615.0
2014-12-16,620.0
2014-12-17,598.0
2014-12-18,600.0
2014-12-21,600.0
2014-12-22,608.0
2014-12-23,590.0
2014-12-24,575.0
2014-12-28,580.0
2014-12-29,600.0
2014-12-31,591.0
2015-01-01,639.0
2015-01-04,669.0
2015-01-05,698.0
2015-01-06,717.0
2015-01-07,720.0
2015-01-08,769.0
2015-01-11,845.0
2015-01-12,851.0
2015-01-13,818.0
2015-01-14,840.0
2015-01-18,823.0
2015-01-19,806.0
2015-01-20,795.0
2015-01-22,791.0
2015-01-25,775.0
2015-01-26,800.0
2015-01-27,801.0
2015-01-28,800.0
2015-01-29,801.0
2015-02-01,799.0
2015-02-02,790.0
2015-02-03,800.0
2015-02-04,817.0
2015-02-05,860.0
2015-02-08,851.0
2015-02-09,825.0
2015-02-10,830.0
2015-02-11,835.0
2015-02-12,830.0
2015-02-15,838.0
2015-02-16,897.0
2015-02-18,945.0
2015-02-22,945.0
2015-02-23,897.0
2015-02-24,950.0
2015-02-25,1041.0
2015-02-26,985.0
2015-03-01,995.0
2015-03-02,988.0
2015-03-03,970.0
2015-03-04,960.0
2015-03-09,953.0
2015-03-10,966.0
2015-03-11,940.0
2015-03-12,942.0
2015-03-15,925.0
2015-03-16,925.0
2015-03-17,880.0
2015-03-18,909.0
2015-03-19,910.0
2015-03-22,909.0
2015-03-23,895.0
2015-03-24,885.0
2015-03-25,875.0
2015-03-26,860.0
2015-03-29,850.0
2015-03-30,860.0
2015-03-31,870.0
