Date,Open
2007-03-28,330.0
2007-03-29,328.0
2007-04-01,331.0
2007-04-02,349.0
2007-04-04,348.0
2007-04-05,335.0
2007-04-08,330.0
2007-04-09,320.0
2007-04-10,326.0
2007-04-11,325.0
2007-04-12,332.0
2007-04-15,340.0
2007-04-16,345.0
2007-04-17,344.0
2007-04-18,345.0
2007-04-19,345.0
2007-04-22,345.0
2007-04-23,345.0
2007-04-25,340.0
2007-04-26,338.0
2007-04-29,335.0
2007-04-30,339.0
2007-05-03,340.0
2007-05-06,340.0
2007-05-07,340.0
2007-05-08,340.0
2007-05-09,349.0
2007-05-10,350.0
2007-05-13,350.0
2007-05-14,345.0
2007-05-15,342.0
2007-05-16,345.0
2007-05-17,347.0
2007-05-20,350.0
2007-05-21,378.0
2007-05-22,380.0
2007-05-23,372.0
2007-05-24,367.0
2007-05-28,368.0
2007-05-29,320.0
2007-05-30,320.0
2007-06-03,325.0
2007-06-04,338.0
2007-06-05,338.0
2007-06-06,344.0
2007-06-07,345.0
2007-06-10,345.0
2007-06-11,345.0
2007-06-12,345.0
2007-06-13,357.0
2007-06-14,378.0
2007-06-18,370.0
2007-06-19,365.0
2007-06-24,360.0
2007-06-25,355.0
2007-06-26,355.0
2007-06-27,360.0
2007-07-01,360.0
2007-07-02,362.0
2007-07-03,366.0
2007-07-04,375.0
2007-07-05,382.0
2007-07-09,401.0
2007-07-10,405.0
2007-07-11,415.0
2007-07-12,433.0
2007-07-15,459.0
2007-07-16,492.0
2007-07-17,505.0
2007-07-18,505.0
2007-07-19,472.0
2007-07-22,465.0
2007-07-23,475.0
2007-07-25,475.0
2007-07-26,465.0
2007-07-30,455.0
2007-07-31,427.0
2007-08-05,395.0
2007-08-06,421.0
2007-08-07,435.0
2007-08-08,440.0
2007-08-09,430.0
2007-08-13,425.0
2007-08-14,425.0
2007-08-15,420.0
2007-08-16,410.0
2007-08-19,405.0
2007-08-20,400.0
2007-08-21,400.0
2007-08-22,401.0
2007-08-23,402.0
2007-08-24,407.0
2007-08-26,415.0
2007-08-27,417.0
2007-08-30,425.0
2007-09-02,425.0
2007-09-03,430.0
2007-09-05,430.0
2007-09-06,428.0
2007-09-09,414.0
2007-09-10,430.0
2007-09-11,440.0
2007-09-12,462.0
2007-09-13,458.0
2007-09-16,450.0
2007-09-17,449.0
2007-09-18,435.0
2007-09-19,436.0
2007-09-20,425.0
2007-09-23,433.0
2007-09-24,440.0
2007-09-26,440.0
2007-09-27,450.0
2007-09-30,475.0
2007-10-01,520.0
2007-10-02,545.0
2007-10-03,555.0
2007-10-04,578.0
2007-10-07,595.0
2007-10-08,630.0
2007-10-09,588.0
2007-10-10,558.0
2007-10-11,529.0
2007-10-14,575.0
2007-10-15,600.0
2007-10-16,574.0
2007-10-17,564.0
2007-10-30,564.0
2007-10-31,550.0
2007-11-01,540.0
2007-11-04,537.0
2007-11-05,571.0
2007-11-06,565.0
2007-11-07,543.0
2007-11-08,540.0
2007-11-12,560.0
2007-11-13,556.0
2007-11-14,550.0
2007-11-15,545.0
2007-11-18,567.0
2007-11-19,571.0
2007-11-20,610.0
2007-11-22,600.0
2007-11-25,615.0
2007-11-26,616.0
2007-11-27,615.0
2007-11-28,596.0
2007-11-29,602.0
2007-12-02,630.0
2007-12-03,668.0
2007-12-04,705.0
2007-12-05,760.0
2007-12-06,806.0
2007-12-09,815.0
2007-12-10,825.0
2007-12-11,810.0
2007-12-12,816.0
2007-12-13,780.0
2007-12-16,800.0
2007-12-17,840.0
2007-12-18,899.0
2007-12-19,945.0
2007-12-20,970.0
2007-12-23,930.0
2007-12-24,904.0
2007-12-25,880.0
2007-12-26,830.0
2007-12-27,780.0
2008-01-07,835.0
2008-01-10,752.0
2008-01-13,760.0
2008-01-14,745.0
