Date,Open
2008-04-30,0.0
2008-05-04,250.0
2008-05-05,250.0
2008-05-06,250.0
2008-05-07,250.0
2008-05-14,250.0
2008-05-15,250.0
2008-05-22,250.0
2008-06-01,250.0
2008-06-02,250.0
2008-06-11,250.0
2008-06-16,250.0
2008-06-18,250.0
2008-06-19,250.0
2008-06-22,250.0
2008-06-25,250.0
2008-06-26,250.0
2008-07-01,250.0
2008-07-06,250.0
2008-07-27,250.0
2008-08-12,245.0
2008-08-14,245.0
2008-08-18,256.0
2008-08-21,245.0
2008-08-24,253.0
2008-09-18,255.0
2008-09-23,255.0
2008-09-24,260.0
2008-09-25,265.0
2009-02-08,270.0
2009-04-13,265.0
2009-04-23,260.0
2009-06-24,255.0
2009-07-23,250.0
2009-10-13,245.0
2010-01-05,245.0
2010-08-22,241.0
2010-10-12,237.0
2010-12-28,237.0
2013-08-12,237.0
2013-08-13,174.0
2013-08-15,168.0
2013-08-18,153.0
2014-08-07,150.0
2014-10-15,153.0
2015-01-06,153.0
