Date,Open
2012-10-17,0.0
2012-10-18,163.0
2012-10-30,148.0
2012-10-31,139.0
2012-11-01,145.0
2012-11-04,150.0
2012-11-05,158.0
2012-11-06,157.0
2012-11-07,158.0
2012-11-08,166.0
2012-11-11,163.0
2012-11-18,163.0
2012-12-11,166.0
2012-12-23,154.0
2012-12-24,151.0
2013-01-01,150.0
2013-01-06,144.0
2013-01-09,142.0
2013-01-10,140.0
2013-01-27,138.0
2013-01-30,130.0
2013-01-31,128.0
2013-02-03,124.0
2013-02-07,126.0
2013-02-10,124.0
2013-02-12,124.0
2013-02-14,126.0
2013-02-19,125.0
2013-02-28,130.0
2013-03-03,128.0
2013-03-11,128.0
2013-03-13,126.0
2013-03-14,124.0
2013-03-17,128.0
2013-03-19,128.0
2013-03-21,126.0
2013-03-24,121.0
2013-03-25,118.0
2013-03-27,117.0
2013-03-31,119.0
2013-04-02,119.0
2013-04-03,118.0
2013-04-08,124.0
2013-04-09,126.0
2013-04-11,126.0
2013-04-25,120.0
2013-04-28,122.0
2013-04-29,122.0
2013-05-02,124.0
2013-05-05,118.0
2013-05-09,118.0
2013-05-12,116.0
2013-05-13,118.0
2013-05-14,116.0
2013-05-15,118.0
2013-05-16,124.0
2013-05-19,124.0
2013-05-21,126.0
2013-05-22,126.0
2013-05-23,126.0
2013-05-27,123.0
2013-05-28,124.0
2013-06-02,126.0
2013-06-03,124.0
2013-06-04,126.0
2013-06-05,126.0
2013-06-06,126.0
2013-06-09,126.0
2013-06-12,123.0
2013-06-13,125.0
2013-06-16,125.0
2013-06-17,126.0
2013-06-18,125.0
2013-06-19,129.0
2013-06-20,127.0
2013-06-23,127.0
2013-06-24,122.0
2013-06-26,121.0
2013-06-30,120.0
2013-07-01,123.0
2013-07-04,122.0
2013-07-10,124.0
2013-07-21,125.0
2013-07-22,127.0
2013-07-23,129.0
2013-07-24,132.0
2013-07-31,130.0
2013-08-01,130.0
2013-08-05,140.0
2013-08-06,142.0
2013-08-08,140.0
2013-08-11,131.0
2013-08-12,130.0
2013-08-13,136.0
2013-08-14,138.0
2013-08-15,140.0
2013-08-18,147.0
2013-08-19,154.0
2013-08-20,151.0
2013-08-25,165.0
2013-08-26,162.0
2013-08-27,159.0
2013-08-29,157.0
2013-09-01,162.0
2013-09-02,167.0
2013-09-03,164.0
2013-09-04,165.0
2013-09-05,156.0
2013-09-09,162.0
2013-09-10,166.0
2013-09-11,171.0
2013-09-12,171.0
2013-09-15,173.0
2013-09-16,172.0
2013-09-17,169.0
2013-09-22,166.0
2013-09-25,163.0
2013-09-26,157.0
2013-09-29,151.0
2013-09-30,163.0
2013-10-01,158.0
2013-10-03,164.0
2013-10-06,160.0
2013-10-07,157.0
2013-10-22,157.0
2013-10-29,154.0
2013-11-12,154.0
2013-11-13,163.0
2013-11-24,169.0
2013-12-04,184.0
2013-12-05,196.0
2013-12-11,172.0
2013-12-15,169.0
2013-12-18,172.0
2013-12-22,175.0
2013-12-24,175.0
2013-12-26,192.0
2014-01-01,196.0
2014-01-09,192.0
2014-01-16,195.0
2014-01-23,205.0
2014-02-03,213.0
2014-02-04,221.0
2014-02-05,229.0
2014-02-06,237.0
2014-02-09,249.0
2014-02-11,273.0
2014-02-12,278.0
2014-02-13,288.0
2014-02-16,293.0
2014-02-17,322.0
2014-02-18,325.0
2014-02-20,337.0
2014-02-23,343.0
2014-02-24,331.0
2014-02-25,337.0
2014-03-03,331.0
2014-03-04,326.0
2014-03-05,330.0
2014-03-06,331.0
2014-03-09,325.0
2014-03-10,326.0
2014-03-11,339.0
2014-03-12,357.0
2014-03-13,343.0
2014-03-17,338.0
2014-03-18,325.0
2014-03-23,318.0
2014-03-25,324.0
2014-03-26,330.0
2014-03-27,333.0
2014-03-31,330.0
2014-04-03,342.0
2014-04-06,274.0
2014-04-17,271.0
2014-04-21,266.0
2014-04-22,256.0
2014-04-27,261.0
2014-04-28,258.0
2014-04-29,260.0
2014-04-30,255.0
2014-05-05,255.0
2014-05-06,260.0
2014-05-08,265.0
2014-05-11,280.0
2014-05-12,270.0
2014-05-18,275.0
2014-05-19,280.0
2014-05-20,290.0
2014-05-25,294.0
2014-05-26,294.0
2014-05-27,294.0
2014-05-28,299.0
2014-06-01,294.0
2014-06-02,294.0
2014-06-03,299.0
2014-06-11,295.0
2014-06-17,290.0
2014-06-25,290.0
2014-06-26,290.0
2014-06-30,285.0
2014-07-01,290.0
2014-07-03,285.0
2014-07-13,280.0
2014-07-16,285.0
2014-07-20,290.0
