Date,Open
2007-04-17,250.0
2007-05-09,250.0
2007-05-17,255.0
2007-05-20,267.0
2007-05-29,280.0
2007-06-04,294.0
2007-06-17,308.0
2007-06-21,323.0
2007-06-26,339.0
2007-06-27,355.0
2007-07-11,355.0
2007-07-18,372.0
2007-08-13,390.0
2007-08-14,409.0
2007-09-02,409.0
2007-11-07,402.0
2007-11-25,426.0
2007-12-16,434.0
2007-12-18,442.0
2008-01-20,450.0
2008-01-22,1220.0
2008-01-23,1240.0
2008-02-10,1220.0
2008-02-13,1200.0
2008-02-21,1220.0
2008-02-28,1196.0
2008-03-18,1219.0
2008-03-20,1125.0
2008-03-25,1103.0
2008-04-29,1060.0
2008-04-30,1060.0
2008-05-04,1081.0
2008-05-06,1102.0
2008-05-07,1168.0
2010-05-20,1191.0
2010-06-15,343.0
2010-07-07,331.0
2010-07-11,319.0
2010-07-20,288.0
2010-08-03,288.0
2010-08-05,283.0
2010-08-09,278.0
2010-08-11,274.0
2010-08-18,265.0
2010-09-08,255.0
2010-09-13,250.0
2010-09-20,229.0
2010-09-21,230.0
2010-10-25,222.0
2010-11-01,222.0
2010-11-23,222.0
2010-12-15,226.0
2010-12-16,222.0
2010-12-19,218.0
2011-01-06,214.0
2011-01-17,210.0
2011-01-18,206.0
2011-02-28,209.0
2011-03-22,205.0
2011-03-24,201.0
2011-05-19,191.0
2011-05-24,188.0
2011-05-25,188.0
2011-05-31,182.0
2011-06-13,179.0
2011-06-20,179.0
2011-08-10,180.0
2011-08-15,181.0
2011-10-12,178.0
2011-12-20,179.0
2011-12-21,176.0
2011-12-27,173.0
2012-01-05,179.0
2012-01-23,179.0
2012-03-04,176.0
2012-03-27,170.0
2012-05-09,164.0
2012-05-31,161.0
2012-06-04,164.0
2012-09-04,164.0
2012-12-06,161.0
2013-03-13,161.0
2013-03-24,161.0
2013-04-03,164.0
2013-04-04,165.0
2013-05-05,162.0
2013-05-20,165.0
2013-05-21,168.0
2013-05-22,160.0
2013-06-25,160.0
2013-06-27,160.0
2013-06-30,163.0
2013-09-02,166.0
2013-09-08,166.0
2014-01-05,163.0
2014-01-07,162.0
2014-01-13,165.0
2014-01-14,168.0
2014-01-23,180.0
2014-01-26,183.0
2014-01-27,186.0
2014-01-28,192.0
2014-01-29,198.0
2014-02-02,205.0
2014-02-03,209.0
2014-02-04,206.0
2014-02-05,218.0
2014-02-06,238.0
2014-02-09,260.0
2014-02-10,270.0
2014-02-12,270.0
2014-02-24,265.0
2014-03-05,260.0
2014-04-06,245.0
2014-04-13,241.0
2014-04-23,237.0
2014-05-07,233.0
2014-05-19,229.0
2014-05-22,225.0
2014-05-25,217.0
2014-05-26,217.0
2014-05-28,213.0
2014-06-02,217.0
2014-06-05,225.0
2014-06-08,224.0
2014-06-10,216.0
2014-06-15,215.0
2014-06-25,219.0
2014-06-26,231.0
2014-07-01,239.0
2014-07-02,262.0
2014-07-03,282.0
2014-07-07,297.0
2014-07-08,308.0
2014-07-09,320.0
2014-07-10,340.0
2014-07-17,366.0
2014-07-20,380.0
2014-07-21,394.0
2014-07-22,395.0
2014-07-23,410.0
2014-07-24,410.0
2014-07-27,400.0
2014-07-30,385.0
2014-07-31,392.0
2014-08-03,371.0
2014-08-05,365.0
2014-08-06,351.0
2014-08-07,345.0
2014-08-12,334.0
2014-08-13,340.0
2014-08-18,334.0
2014-08-19,323.0
2014-08-21,317.0
2014-08-27,317.0
2014-08-31,320.0
2014-09-03,326.0
2014-09-09,320.0
2014-09-10,331.0
2014-09-11,345.0
2014-09-16,328.0
2014-09-21,330.0
2014-09-22,324.0
2014-09-23,318.0
2014-09-24,307.0
2014-09-28,322.0
2014-09-29,320.0
2014-10-09,315.0
2014-11-02,320.0
2014-11-12,314.0
2014-12-02,308.0
2014-12-03,308.0
2014-12-09,308.0
2014-12-21,308.0
2014-12-22,302.0
2014-12-24,295.0
2015-01-26,300.0
2015-01-27,306.0
2015-02-05,318.0
2015-02-12,324.0
2015-03-04,330.0
