Date,Open
2014-03-04,0.0
2014-03-27,102.0
2014-04-01,108.0
2014-07-03,110.0
2014-07-06,118.0
2014-07-07,126.0
2014-07-08,138.0
2014-07-13,150.0
2014-07-14,159.0
2014-08-03,162.0
2014-08-06,165.0
2014-08-18,180.0
2014-08-19,189.0
2014-08-20,207.0
2014-08-21,226.0
2014-08-24,218.0
2014-08-25,235.0
2014-08-26,227.0
2014-08-28,214.0
2014-09-04,218.0
2014-09-09,222.0
2014-09-28,226.0
2014-09-30,222.0
2014-10-19,218.0
2014-10-20,214.0
2014-10-21,210.0
2014-11-16,210.0
2014-12-09,210.0
2014-12-16,192.0
2014-12-21,189.0
2015-01-19,167.0
2015-01-26,170.0
