Date,Open
2014-09-07,0.0
2014-09-11,250.0
2014-09-15,275.0
2014-09-16,302.0
2014-09-17,296.0
2014-09-21,295.0
2014-09-22,271.0
2014-09-23,273.0
2014-09-24,270.0
2014-09-28,275.0
2014-09-29,278.0
2014-09-30,273.0
2014-10-08,286.0
2014-10-09,286.0
2014-10-12,288.0
2014-10-13,284.0
2014-10-14,285.0
2014-10-15,313.0
2014-10-16,307.0
2014-10-19,316.0
2014-10-20,347.0
2014-10-21,351.0
2014-10-22,375.0
2014-10-26,397.0
2014-10-27,400.0
2014-10-28,399.0
2014-10-30,438.0
2014-11-02,417.0
2014-11-03,422.0
2014-11-05,425.0
2014-11-06,426.0
2014-11-09,420.0
2014-11-10,410.0
2014-11-11,442.0
2014-11-13,458.0
2014-11-16,470.0
2014-11-17,432.0
2014-11-18,398.0
2014-11-19,406.0
2014-11-20,422.0
2014-11-24,418.0
2014-11-25,410.0
2014-11-30,418.0
2014-12-01,440.0
2014-12-07,465.0
2014-12-08,447.0
2014-12-09,423.0
2014-12-10,401.0
2014-12-11,402.0
2014-12-14,410.0
2014-12-17,402.0
2014-12-18,400.0
2014-12-23,392.0
2014-12-24,399.0
2014-12-28,402.0
2014-12-29,400.0
2014-12-31,395.0
2015-01-01,395.0
2015-01-04,426.0
2015-01-05,445.0
2015-01-06,469.0
2015-01-07,445.0
2015-01-08,455.0
2015-01-11,485.0
2015-01-12,503.0
2015-01-13,500.0
2015-01-14,510.0
2015-01-18,520.0
2015-01-19,511.0
2015-01-20,549.0
2015-01-22,561.0
2015-01-25,612.0
2015-01-26,671.0
2015-01-28,684.0
2015-01-29,671.0
2015-02-01,621.0
2015-02-04,575.0
2015-02-08,561.0
2015-02-09,533.0
2015-02-10,569.0
2015-02-11,610.0
2015-02-12,671.0
2015-02-15,690.0
2015-02-16,710.0
2015-02-18,686.0
2015-02-22,690.0
2015-02-23,701.0
2015-02-24,662.0
2015-02-25,626.0
2015-03-01,648.0
2015-03-02,637.0
2015-03-03,626.0
2015-03-04,630.0
2015-03-09,661.0
2015-03-10,727.0
2015-03-11,799.0
2015-03-12,844.0
2015-03-15,893.0
2015-03-16,920.0
2015-03-17,904.0
2015-03-18,904.0
2015-03-19,902.0
2015-03-22,900.0
2015-03-23,890.0
