Date,Open
2011-11-03,280.0
2011-11-06,312.0
2011-11-08,289.0
2011-11-13,274.0
2011-11-14,249.0
2011-11-15,233.0
2011-11-16,210.0
2011-11-17,189.0
2011-11-20,171.0
2011-11-21,154.0
2011-11-22,146.0
2011-11-23,160.0
2011-11-24,153.0
2011-11-27,158.0
2011-11-28,162.0
2011-11-29,160.0
2011-11-30,160.0
2011-12-01,169.0
2011-12-04,162.0
2011-12-11,152.0
2011-12-12,137.0
2011-12-13,140.0
2011-12-14,135.0
2011-12-15,142.0
2011-12-18,141.0
2011-12-19,145.0
2011-12-20,149.0
2011-12-21,151.0
2011-12-22,146.0
2011-12-26,146.0
2011-12-27,148.0
2011-12-28,146.0
2011-12-29,142.0
2012-01-01,144.0
2012-01-02,146.0
2012-01-03,148.0
2012-01-04,151.0
2012-01-05,150.0
2012-01-08,152.0
2012-01-09,153.0
2012-01-10,156.0
2012-01-11,160.0
2012-01-12,164.0
2012-01-16,161.0
2012-01-17,159.0
2012-01-18,157.0
2012-01-19,161.0
2012-01-22,160.0
2012-01-23,159.0
2012-01-25,157.0
2012-01-26,155.0
2012-01-29,157.0
2012-01-31,163.0
2012-02-01,162.0
2012-02-02,164.0
2012-02-05,165.0
2012-02-06,165.0
2012-02-07,161.0
2012-02-08,161.0
2012-02-09,162.0
2012-02-12,162.0
2012-02-13,161.0
2012-02-14,162.0
2012-02-15,159.0
2012-02-16,162.0
2012-02-21,160.0
2012-02-23,164.0
2012-02-26,160.0
2012-02-27,162.0
2012-02-28,161.0
2012-02-29,161.0
2012-03-01,167.0
2012-03-05,162.0
2012-03-06,163.0
2012-03-11,171.0
2012-03-12,165.0
2012-03-13,164.0
2012-03-14,170.0
2012-03-15,169.0
2012-03-18,170.0
2012-03-19,170.0
2012-03-20,170.0
2012-03-21,168.0
2012-03-25,171.0
2012-03-26,166.0
2012-03-27,168.0
2012-03-28,169.0
2012-03-29,170.0
2012-04-01,167.0
2012-04-02,168.0
2012-04-03,171.0
2012-04-04,170.0
2012-04-05,170.0
2012-04-08,169.0
2012-04-09,175.0
2012-04-10,179.0
2012-04-11,179.0
2012-04-12,194.0
2012-04-15,191.0
2012-04-16,197.0
2012-04-17,200.0
2012-04-18,196.0
2012-04-19,210.0
2012-04-22,209.0
2012-04-24,229.0
2012-04-25,251.0
2012-04-26,271.0
2012-04-29,291.0
2012-04-30,279.0
2012-05-02,270.0
2012-05-03,265.0
2012-05-07,280.0
2012-05-08,285.0
2012-05-09,279.0
2012-05-10,272.0
2012-05-13,255.0
2012-05-14,241.0
2012-05-15,233.0
2012-05-16,249.0
2012-05-17,268.0
2012-05-20,288.0
2012-05-21,260.0
2012-05-22,259.0
2012-05-23,256.0
2012-05-24,242.0
2012-05-27,250.0
2012-05-29,270.0
2012-05-30,245.0
2012-05-31,221.0
2012-06-03,231.0
2012-06-04,247.0
2012-06-05,253.0
2012-06-06,239.0
2012-06-07,234.0
2012-06-10,248.0
2012-06-11,230.0
2012-06-12,234.0
2012-06-13,233.0
2012-06-14,236.0
2012-06-17,226.0
2012-06-19,233.0
2012-06-20,232.0
2012-06-21,232.0
2012-06-25,232.0
2012-06-28,251.0
2012-07-01,242.0
2012-07-02,242.0
2012-07-03,239.0
2012-07-04,241.0
2012-07-05,239.0
2012-07-08,241.0
2012-07-09,241.0
2012-07-10,248.0
2012-07-11,253.0
2012-07-12,256.0
2012-07-15,256.0
2012-07-16,273.0
2012-07-17,248.0
2012-07-18,260.0
2012-07-19,271.0
2012-07-22,289.0
2012-07-23,292.0
2012-07-24,295.0
2012-07-25,290.0
2012-07-26,295.0
2012-07-29,299.0
2012-07-30,290.0
2012-07-31,289.0
2012-08-01,288.0
2012-08-05,290.0
2012-08-06,290.0
2012-08-07,297.0
2012-08-08,294.0
2012-08-12,295.0
2012-08-13,285.0
2012-08-14,284.0
2012-08-15,289.0
2012-08-16,280.0
2012-08-19,278.0
2012-08-21,284.0
2012-08-22,292.0
2012-08-23,296.0
2012-08-26,291.0
2012-08-27,292.0
2012-08-28,292.0
2012-08-29,295.0
2012-08-30,294.0
2012-09-02,293.0
2012-09-03,322.0
2012-09-04,325.0
2012-09-05,330.0
2012-09-06,320.0
2012-09-09,326.0
2012-09-10,316.0
2012-09-11,320.0
2012-09-12,326.0
2012-09-13,324.0
2012-09-16,323.0
2012-09-17,324.0
2012-09-18,318.0
2012-09-19,334.0
2012-09-20,326.0
2012-09-23,324.0
2012-09-24,326.0
2012-09-25,324.0
2012-09-26,322.0
2012-09-27,321.0
2012-09-30,317.0
2012-10-01,318.0
2012-10-02,333.0
2012-10-03,307.0
2012-10-04,296.0
2012-10-07,323.0
2012-10-08,238.0
2012-10-09,218.0
2012-10-11,215.0
2012-10-14,211.0
2012-10-15,215.0
2012-10-18,213.0
2012-10-30,213.0
2012-11-01,215.0
2012-11-04,235.0
2012-11-05,256.0
2012-11-06,281.0
2012-11-07,281.0
2012-11-08,290.0
2012-11-11,294.0
2012-11-12,290.0
2012-11-18,284.0
2012-11-20,284.0
2012-11-21,275.0
2012-11-22,272.0
2012-11-25,274.0
2012-11-26,264.0
2012-11-27,268.0
2012-11-28,263.0
2012-11-29,250.0
2012-12-02,255.0
2012-12-04,250.0
2012-12-05,260.0
2012-12-06,260.0
2012-12-09,266.0
2012-12-10,266.0
2012-12-11,261.0
2012-12-13,266.0
2012-12-16,261.0
2012-12-17,271.0
2012-12-18,274.0
2012-12-19,259.0
2012-12-20,264.0
2012-12-23,270.0
2012-12-24,270.0
2012-12-26,263.0
2012-12-27,260.0
2013-01-01,264.0
2013-01-02,258.0
2013-01-03,253.0
2013-01-06,259.0
2013-01-07,263.0
2013-01-08,268.0
2013-01-10,270.0
2013-01-13,265.0
2013-01-15,270.0
2013-01-16,267.0
2013-01-17,262.0
2013-01-20,270.0
2013-01-21,261.0
2013-01-22,266.0
2013-01-23,271.0
2013-01-24,272.0
2013-01-27,274.0
2013-01-28,269.0
2013-01-30,270.0
2013-01-31,270.0
2013-02-03,271.0
2013-02-04,280.0
2013-02-05,279.0
2013-02-06,275.0
2013-02-10,275.0
2013-02-12,275.0
2013-02-13,275.0
2013-02-14,280.0
2013-02-17,283.0
2013-02-19,300.0
2013-02-20,285.0
2013-02-21,283.0
2013-02-24,280.0
2013-02-25,270.0
2013-02-26,285.0
2013-02-27,280.0
2013-02-28,288.0
2013-03-03,290.0
2013-03-04,292.0
2013-03-05,290.0
2013-03-06,288.0
2013-03-07,293.0
2013-03-11,296.0
2013-03-13,300.0
2013-03-14,302.0
2013-03-17,294.0
2013-03-18,289.0
2013-03-19,280.0
2013-03-20,280.0
2013-03-24,280.0
2013-03-25,280.0
2013-03-27,278.0
2013-04-01,279.0
2013-04-02,274.0
2013-04-04,274.0
2013-04-07,269.0
2013-04-08,270.0
2013-04-09,271.0
2013-04-11,268.0
2013-04-15,267.0
2013-04-17,270.0
2013-04-18,280.0
2013-04-21,280.0
2013-04-23,281.0
2013-04-25,286.0
2013-04-28,281.0
2013-04-29,279.0
2013-04-30,278.0
2013-05-06,278.0
2013-05-07,273.0
2013-05-08,278.0
2013-05-12,278.0
2013-05-13,273.0
2013-05-14,278.0
2013-05-15,283.0
2013-05-19,278.0
2013-05-23,278.0
2013-05-26,279.0
2013-05-27,272.0
2013-05-28,274.0
2013-06-02,268.0
2013-06-03,268.0
2013-06-04,265.0
2013-06-05,261.0
2013-06-06,265.0
2013-06-09,269.0
2013-06-10,265.0
2013-06-11,267.0
2013-06-12,265.0
2013-06-13,264.0
2013-06-17,265.0
2013-06-19,267.0
2013-06-20,266.0
2013-06-23,261.0
2013-06-24,260.0
2013-06-25,260.0
2013-06-26,265.0
2013-06-27,265.0
2013-06-30,268.0
2013-07-01,258.0
2013-07-02,260.0
2013-07-03,260.0
2013-07-04,267.0
2013-07-07,262.0
2013-07-08,254.0
2013-07-09,256.0
2013-07-10,265.0
2013-07-11,265.0
2013-07-17,264.0
2013-07-18,265.0
2013-07-21,291.0
2013-07-22,302.0
2013-07-24,301.0
2013-07-25,288.0
2013-07-28,276.0
2013-07-29,289.0
2013-07-30,294.0
2013-07-31,292.0
2013-08-01,300.0
2013-08-04,301.0
2013-08-05,299.0
2013-08-07,300.0
2013-08-08,300.0
2013-08-11,300.0
2013-08-12,303.0
2013-08-13,310.0
2013-08-14,328.0
2013-08-15,334.0
2013-08-18,331.0
2013-08-19,333.0
2013-08-20,350.0
2013-08-25,362.0
2013-08-26,360.0
2013-08-27,353.0
2013-08-29,346.0
2013-09-01,340.0
2013-09-02,335.0
2013-09-03,340.0
2013-09-04,340.0
2013-09-05,335.0
2013-09-08,365.0
2013-09-09,335.0
2013-09-10,358.0
2013-09-11,370.0
2013-09-12,356.0
2013-09-15,350.0
2013-09-16,350.0
2013-09-17,355.0
2013-09-19,359.0
2013-09-22,360.0
2013-09-29,294.0
2013-09-30,286.0
2013-10-01,270.0
2013-10-07,265.0
2013-10-21,265.0
2013-10-22,275.0
2013-10-23,280.0
2013-10-24,299.0
2013-10-27,302.0
2013-10-28,317.0
2013-10-29,335.0
2013-10-30,341.0
2013-10-31,339.0
2013-11-10,340.0
2013-11-11,342.0
2013-11-12,367.0
2013-11-13,380.0
2013-11-14,395.0
2013-11-26,399.0
2013-11-27,351.0
2013-11-28,386.0
2013-12-01,424.0
2013-12-02,410.0
2013-12-03,451.0
2013-12-05,469.0
2013-12-08,487.0
2013-12-09,460.0
2013-12-10,451.0
2013-12-11,432.0
2013-12-12,415.0
2013-12-16,420.0
2013-12-19,436.0
2013-12-22,430.0
2013-12-23,416.0
2013-12-24,416.0
2013-12-26,415.0
2013-12-29,425.0
2013-12-31,438.0
2014-01-01,439.0
2014-01-02,435.0
2014-01-05,447.0
2014-01-06,450.0
2014-01-07,480.0
2014-01-08,495.0
2014-01-09,504.0
2014-01-12,490.0
2014-01-13,516.0
2014-01-14,567.0
2014-01-16,586.0
2014-01-19,571.0
2014-01-20,579.0
2014-01-21,570.0
2014-01-22,570.0
2014-01-23,550.0
2014-01-26,550.0
2014-01-27,530.0
2014-01-28,500.0
2014-01-29,500.0
2014-02-02,510.0
2014-02-03,500.0
2014-02-04,515.0
2014-02-05,525.0
2014-02-06,535.0
2014-02-09,550.0
2014-02-10,554.0
2014-02-11,549.0
2014-02-12,539.0
2014-02-13,535.0
2014-02-16,560.0
2014-02-17,540.0
2014-02-18,550.0
2014-02-20,550.0
2014-02-23,540.0
2014-02-24,560.0
2014-02-25,550.0
2014-02-26,550.0
2014-03-03,540.0
2014-03-06,531.0
2014-03-09,525.0
2014-03-10,515.0
2014-03-11,522.0
2014-03-12,535.0
2014-03-13,535.0
2014-03-17,520.0
2014-03-18,510.0
2014-03-19,490.0
2014-03-20,490.0
2014-03-23,495.0
2014-03-24,490.0
2014-03-25,491.0
2014-03-26,482.0
2014-03-27,500.0
2014-03-31,493.0
2014-04-01,499.0
2014-04-02,510.0
2014-04-03,510.0
2014-04-06,510.0
2014-04-07,505.0
2014-04-09,525.0
2014-04-10,525.0
2014-04-13,560.0
2014-04-15,559.0
2014-04-16,555.0
2014-04-17,548.0
2014-04-20,548.0
2014-04-21,538.0
2014-04-22,540.0
2014-04-23,545.0
2014-04-27,542.0
2014-04-28,530.0
2014-04-29,505.0
2014-04-30,510.0
2014-05-04,520.0
2014-05-05,525.0
2014-05-06,552.0
2014-05-07,541.0
2014-05-08,544.0
2014-05-11,526.0
2014-05-12,524.0
2014-05-13,525.0
2014-05-15,515.0
2014-05-18,515.0
2014-05-19,555.0
2014-05-20,526.0
2014-05-21,520.0
2014-05-22,525.0
2014-05-25,530.0
2014-05-26,532.0
2014-05-27,540.0
2014-05-28,535.0
2014-06-01,545.0
2014-06-02,540.0
2014-06-03,536.0
2014-06-04,550.0
2014-06-05,540.0
2014-06-08,540.0
2014-06-09,549.0
2014-06-10,550.0
2014-06-11,545.0
2014-06-12,535.0
2014-06-15,532.0
2014-06-16,545.0
2014-06-17,547.0
2014-06-18,545.0
2014-06-19,545.0
2014-06-23,540.0
2014-06-24,530.0
2014-06-25,535.0
2014-06-26,542.0
2014-06-29,532.0
2014-06-30,545.0
2014-07-01,555.0
2014-07-02,583.0
2014-07-03,628.0
2014-07-06,609.0
2014-07-07,620.0
2014-07-08,600.0
2014-07-09,622.0
2014-07-10,635.0
2014-07-13,630.0
2014-07-14,635.0
2014-07-16,630.0
2014-07-17,630.0
2014-07-20,693.0
2014-07-21,762.0
2014-07-22,731.0
2014-07-23,740.0
2014-07-24,750.0
2014-07-27,745.0
2014-07-28,795.0
2014-07-30,800.0
2014-07-31,793.0
2014-08-03,765.0
2014-08-04,760.0
2014-08-05,745.0
2014-08-06,760.0
2014-08-07,776.0
2014-08-12,740.0
2014-08-13,735.0
2014-08-14,720.0
2014-08-18,734.0
2014-08-19,730.0
2014-08-20,735.0
2014-08-21,725.0
2014-08-24,670.0
2014-08-25,690.0
2014-08-26,665.0
2014-08-27,635.0
2014-08-28,680.0
2014-08-31,734.0
2014-09-01,707.0
2014-09-03,675.0
2014-09-04,685.0
2014-09-07,645.0
2014-09-09,630.0
2014-09-10,691.0
2014-09-11,670.0
2014-09-14,720.0
2014-09-15,770.0
2014-09-16,779.0
2014-09-17,791.0
